"var","categoria","A Andrés Petrillo por Juntos por el Cambio","A Juan Esleiman por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.276,0.04,0.081,0.069,0.08
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.323,0.047,0.084,0.045,0.087
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.123,0.011,0.047,0.111,0.027
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.069,0.614,0.075,0.323,0.403
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.057,0.121,0.063,0.043,0.085
"P06","En el frente de todos, a Leonardo Grosso",0.023,0.1,0,0.088,0.052
"P06","Al candidato de Javier Milei",0.077,0.02,0.548,0.037,0.055
"P06","Al Candidato de la izquierda",0,0.007,0.011,0.166,0.009
"P06","No sabe",0.052,0.04,0.091,0.118,0.202
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.317,0.119,0.06,0.152,0.075
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.328,0.005,0.092,0.059,0.051
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.112,0.038,0.047,0,0.051
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.077,0.469,0.063,0.369,0.335
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.055,0.164,0.02,0.02,0.047
"P08","En el Frente de Todos, a Leonardo Grosso",0.038,0.144,0.002,0.185,0.083
"P08","Al candidato de Javier Milei",0.041,0.034,0.603,0,0.061
"P08","Al Candidato del Frente de Izquierda",0.002,0,0.011,0.172,0.003
"P08","No sabe",0.03,0.027,0.102,0.043,0.294
"P10","A Santiago López Medrano por Juntos por el Cambio",0.694,0.096,0.118,0.12,0.132
"P10","A Gabriel Katopodis por el Frente de Todos",0.141,0.758,0.072,0.402,0.371
"P10","Al candidato de los liberales libertarios",0.057,0.029,0.702,0.015,0.03
"P10","Al candidato del Frente de Izquierda",0.014,0.042,0.018,0.334,0.048
"P10","No sabe",0.094,0.075,0.09,0.129,0.419
"P12","A Santiago López Medrano por Juntos por el Cambio",0.72,0.114,0.07,0.155,0.107
"P12","A Fernando Moreira por el Frente de Todos",0.117,0.752,0.056,0.334,0.268
"P12","Al candidato de los liberales libertarios",0.069,0.009,0.738,0.015,0.021
"P12","Al candidato del Frente de Izquierda",0.008,0.034,0.019,0.412,0.014
"P12","No sabe",0.086,0.091,0.117,0.084,0.59
"P14","A Santiago López Medrano por Juntos por el Cambio",0.76,0.163,0.075,0.111,0.09
"P14","A Juan Esleiman por el Frente de Todos",0.1,0.686,0.051,0.057,0.121
"P14","Al candidato de los liberales libertarios",0.068,0.009,0.817,0.045,0.022
"P14","Al candidato del Frente de Izquierda",0.009,0.024,0.019,0.676,0.009
"P14","No sabe",0.063,0.118,0.038,0.111,0.758
"P16","A Andrés Petrillo por Juntos por el Cambio",0.73,0.097,0.065,0.074,0.07
"P16","A Gabriel Katopodis por el Frente de Todos",0.105,0.813,0.064,0.379,0.353
"P16","Al candidato de los liberales libertarios",0.04,0.01,0.811,0.045,0.027
"P16","Al candidato del Frente de Izquierda",0.018,0.002,0,0.421,0.003
"P16","No sabe",0.107,0.078,0.06,0.081,0.547
"P17","A Andrés Petrillo por Juntos por el Cambio",0.865,0.019,0.037,0,0.042
"P17","A Fernando Moreira por el Frente de Todos",0.06,0.897,0.039,0.248,0.256
"P17","Al candidato de los liberales libertarios",0.032,0.011,0.862,0.081,0.002
