"var","categoria","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza","Solo como gobernador a José Luis Espert","A los candidatos a presidente y gobernador del Frente de Izquierda","No sabe"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.313,0.003,0.038,0.165,0.023,0.05
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.303,0.071,0.113,0.187,0.12,0.17
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.114,0.023,0.037,0.035,0,0.044
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.061,0.615,0.127,0.165,0.315,0.308
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.058,0.107,0.073,0.02,0.023,0.185
"P06","En el frente de todos, a Leonardo Grosso",0.027,0.134,0.005,0,0.087,0.024
"P06","Al candidato de Javier Milei",0.048,0,0.485,0.281,0,0.014
"P06","Al Candidato de la izquierda",0,0.011,0.026,0,0.252,0.02
"P06","No sabe",0.076,0.036,0.096,0.147,0.18,0.185
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.283,0.105,0.022,0.186,0.064,0.12
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.281,0.019,0.117,0.205,0.12,0.136
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.14,0.034,0.045,0.036,0.204,0.048
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.115,0.477,0.116,0.108,0.062,0.282
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.037,0.15,0.013,0.048,0.015,0.064
"P08","En el Frente de Todos, a Leonardo Grosso",0.042,0.177,0,0.006,0.274,0.043
"P08","Al candidato de Javier Milei",0.027,0.002,0.556,0.288,0,0.014
"P08","Al Candidato del Frente de Izquierda",0.004,0.004,0.026,0,0.261,0.004
"P08","No sabe",0.071,0.032,0.105,0.123,0,0.289
"P10","A Santiago López Medrano por Juntos por el Cambio",0.675,0.074,0.17,0.275,0.12,0.161
"P10","A Gabriel Katopodis por el Frente de Todos",0.126,0.801,0.14,0.171,0.191,0.294
"P10","Al candidato de los liberales libertarios",0.048,0.013,0.552,0.351,0.323,0.093
"P10","Al candidato del Frente de Izquierda",0.027,0.05,0.04,0,0.366,0.022
"P10","No sabe",0.124,0.062,0.098,0.203,0,0.43
"P12","A Santiago López Medrano por Juntos por el Cambio",0.708,0.114,0.099,0.304,0.12,0.178
"P12","A Fernando Moreira por el Frente de Todos",0.097,0.747,0.144,0.106,0.118,0.227
"P12","Al candidato de los liberales libertarios",0.025,0,0.61,0.34,0,0.077
"P12","Al candidato del Frente de Izquierda",0.003,0.012,0.026,0,0.602,0.009
"P12","No sabe",0.167,0.127,0.121,0.25,0.16,0.509
"P14","A Santiago López Medrano por Juntos por el Cambio",0.705,0.075,0.166,0.323,0.12,0.198
"P14","A Juan Esleiman por el Frente de Todos",0.123,0.626,0.101,0.191,0.073,0.2
"P14","Al candidato de los liberales libertarios",0.031,0.006,0.607,0.339,0,0.091
"P14","Al candidato del Frente de Izquierda",0.003,0.037,0.045,0,0.634,0.009
"P14","No sabe",0.138,0.256,0.081,0.147,0.173,0.502
"P16","A Andrés Petrillo por Juntos por el Cambio",0.638,0.074,0.146,0.351,0.12,0.167
"P16","A Gabriel Katopodis por el Frente de Todos",0.152,0.805,0.185,0.244,0.41,0.252
"P16","Al candidato de los liberales libertarios",0.061,0.007,0.574,0.301,0,0.096
"P16","Al candidato del Frente de Izquierda",0,0.015,0,0,0.328,0.021
"P16","No sabe",0.149,0.099,0.095,0.104,0.142,0.464
"P17","A Andrés Petrillo por Juntos por el Cambio",0.683,0.042,0.196,0.323,0.12,0.192
"P17","A Fernando Moreira por el Frente de Todos",0.093,0.81,0.087,0.112,0.408,0.269
"P17","Al candidato de los liberales libertarios",0.074,0.003,0.596,0.303,0.023,0.086
