"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P07","Muy buena",0.419,0.017,0.008
"P07","Buena",0.101,0,0.02
"P07","Ni buena ni mala",0.007,0.272,0.3
"P07","Mala",0.312,0.128,0.437
"P07","Muy mala",0.154,0.583,0.13
"P07","No sabe",0.007,0,0.105
"P08","Muy buena",0.42,0.224,0.052
"P08","Buena",0.074,0.375,0.134
"P08","Ni buena ni mala",0.462,0.153,0.221
"P08","Mala",0.007,0.017,0.016
"P08","Muy mala",0.015,0.017,0.146
"P08","No sabe",0.022,0.214,0.431
"P09","Muy buena",0.276,0,0.008
"P09","Buena",0,0.042,0.173
"P09","Ni buena ni mala",0.433,0.091,0.036
"P09","Mala",0.066,0.083,0.433
"P09","Muy mala",0.225,0.533,0.237
"P09","No sabe",0,0.251,0.113
"P10","Muy buena",0.319,0.033,0.02
"P10","Buena",0.007,0.351,0.047
"P10","Ni buena ni mala",0.209,0.361,0.178
"P10","Mala",0.313,0.017,0.02
"P10","Muy mala",0.116,0,0.3
"P10","No sabe",0.036,0.238,0.435
"P11","Muy buena",0.32,0.017,0.02
"P11","Buena",0.022,0.245,0.031
"P11","Ni buena ni mala",0.13,0.165,0.052
"P11","Mala",0.462,0.26,0.418
"P11","Muy mala",0.066,0.1,0.367
"P11","No sabe",0,0.213,0.112
"P12","Muy buena",0.342,0.058,0.205
"P12","Buena",0.022,0.334,0.079
"P12","Ni buena ni mala",0.406,0.261,0.154
"P12","Mala",0.014,0.025,0.008
"P12","Muy mala",0,0.017,0.276
"P12","No sabe",0.216,0.305,0.278
"P13","Muy buena",0.283,0.017,0.105
"P13","Buena",0.007,0.008,0.028
"P13","Ni buena ni mala",0.349,0.653,0.178
"P13","Mala",0.015,0.008,0.173
"P13","Muy mala",0.115,0.046,0.146
"P13","No sabe",0.231,0.268,0.37
"P14","Muy buena",0.276,0.008,0.004
"P14","Buena",0.014,0.038,0.004
"P14","Ni buena ni mala",0.349,0.265,0.178
"P14","Mala",0.015,0.166,0.284
"P14","Muy mala",0.007,0,0.028
"P14","No sabe",0.339,0.523,0.502
"P15","La seguridad",0.283,0.017,0.016
"P15","El tránsito",0.008,0.037,0.008
"P15","El arreglo de las calles",0.143,0.033,0.027
"P15","El estado de las escuelas y la educación",0.007,0,0.135
"P15","El sistema de salud",0.007,0.008,0.004
"P15","El deporte y la cultura",0.406,0.033,0.189
"P15","La obra pública",0.007,0,0
"P15","La luminaria",0.022,0.28,0.185
"P15","No sabe",0.117,0.592,0.436
"P16","La seguridad",0.691,0.664,0.479
"P16","El tránsito",0,0.025,0.016
"P16","El arreglo de las calles",0.123,0.033,0.024
"P16","El estado de las escuelas y la educación",0.007,0.017,0.311
"P16","El sistema de salud",0.15,0.037,0.016
"P16","El deporte y la cultura",0,0.183,0.008
"P16","La obra pública",0.007,0.008,0.004
"P16","La luminaria",0.007,0,0.008
"P16","No sabe",0.015,0.033,0.134
"P17","Agua corriente y cloacas",0.646,0.464,0.478
"P17","Energía eléctrica",0.029,0.008,0.136
"P17","Red de gas natural",0.108,0.391,0.169
"P17","Recolección de residuos",0.022,0.05,0.04
"P17","Ninguno",0.195,0.087,0.177
"P18","Los robos",0.774,0.618,0.564
"P18","El narcotráfico",0.16,0.054,0.231
"P18","La ausencia de patrulleros y personal policial",0.044,0.241,0.193
"P18","Otro",0.015,0.07,0.012
"P18","Ninguno",0.007,0.017,0
"P19","Muy buena",0.433,0.025,0.008
"P19","Buena",0.101,0.025,0.036
"P19","Ni buena ni mala",0.036,0.375,0.452
"P19","Mala",0.327,0.19,0.189
"P19","Muy mala",0.095,0.377,0.162
"P19","No sabe",0.008,0.008,0.153
"P20","Muy buena",0.283,0,0.008
"P20","Buena",0.007,0.033,0.02
"P20","Ni buena ni mala",0.288,0.347,0.489
"P20","Mala",0.319,0.371,0.067
"P20","Muy mala",0.088,0.241,0.158
"P20","No sabe",0.015,0.008,0.258
"P21","Al candidato del Frente de Todos",0.29,0.008,0.131
"P21","Al candidato de Juntos por el Cambio",0.459,0.95,0.834
"P21","Al candidato de la Izquierda",0.101,0.008,0
"P21","A otro candidato",0,0.025,0.027
"P21","No sabe",0.15,0.009,0.008
"P22","A Gustavo Menéndez",0.699,1,0.614
"P22","A Karina Menéndez",0,0,0.386
"P22","A Florencia Lizaraso",0,0,0
"P22","A Raúl Otahacé",0,0,0
"P22","No sabe",0.301,0,0
"P27","A Horacio Rodriguez Larreta",0.484,0.321,0.489
"P27","A Mauricio Macri",0.145,0.454,0.142
"P27","A Patricia Bullrich",0.349,0.2,0.24
"P27","A Facundo Manes",0.015,0.017,0.028
"P27","A Martín Lousteau",0.007,0.008,0.101
"P29","Muy buena",0.297,0.025,0.013
"P29","Buena",0,0.008,0.109
"P29","Ni buena ni mala",0.015,0.017,0.277
"P29","Mala",0.304,0.009,0.036
"P29","Muy mala",0.384,0.941,0.561
"P29","No sabe",0,0,0.004
"P30","Muy buena",0.605,0.427,0.334
"P30","Buena",0.068,0.196,0.169
"P30","Ni buena ni mala",0.292,0.37,0.301
"P30","Mala",0.02,0.007,0.066
"P30","Muy mala",0.015,0,0.13
"P30","No sabe",0,0,0
"P31","Muy buena",0.286,0.017,0.146
"P31","Buena",0,0,0.104
"P31","Ni buena ni mala",0,0.008,0
"P31","Mala",0.121,0.15,0.145
"P31","Muy mala",0.593,0.825,0.605
"P31","No sabe",0,0,0
"P32","Muy buena",0.783,0.323,0.429
"P32","Buena",0.06,0.519,0.239
"P32","Ni buena ni mala",0.157,0.141,0.195
"P32","Mala",0,0.008,0.117
"P32","Muy mala",0,0.009,0.02
"P32","No sabe",0,0,0
"P33","Muy buena",0.286,0.007,0.097
"P33","Buena",0.007,0.01,0.083
