"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Muy buena",0.491,0.209,0.245,0.144,0.286,0.119,0.32,0.015,0.037
"P07","Buena",0.029,0.073,0.218,0.219,0.052,0.191,0.114,0,0.087
"P07","Ni buena ni mala",0.192,0.08,0.259,0.235,0.191,0.2,0.186,0.277,0.145
"P07","Mala",0.096,0.176,0.112,0.25,0.196,0.269,0.046,0.201,0.264
"P07","Muy mala",0.192,0.326,0.111,0.141,0.275,0.194,0.103,0.507,0.449
"P07","No sabe",0,0.136,0.055,0.011,0,0.027,0.231,0,0.018
"P08","Muy buena",0.26,0.071,0.03,0.07,0.026,0.02,0.036,0.043,0.096
"P08","Buena",0.049,0.226,0.118,0.186,0.076,0.079,0.064,0.1,0.112
"P08","Ni buena ni mala",0.456,0.362,0.434,0.311,0.227,0.401,0.202,0.392,0.319
"P08","Mala",0.088,0.099,0.147,0.149,0.165,0.122,0.187,0.014,0.156
"P08","Muy mala",0.051,0.075,0.087,0.139,0.272,0.119,0.109,0.155,0.172
"P08","No sabe",0.096,0.167,0.184,0.145,0.234,0.259,0.402,0.296,0.145
"P09","Muy buena",0.243,0.261,0.137,0.312,0.402,0.081,0.289,0.009,0.004
"P09","Buena",0.061,0.064,0.145,0.114,0.021,0.188,0.141,0.125,0.051
"P09","Ni buena ni mala",0.419,0.171,0.498,0.191,0.045,0.298,0.155,0.259,0.224
"P09","Mala",0.096,0.179,0.077,0.109,0.138,0.166,0.058,0.106,0.245
"P09","Muy mala",0.181,0.234,0.036,0.113,0.394,0.177,0.047,0.47,0.443
"P09","No sabe",0,0.091,0.107,0.161,0,0.09,0.31,0.031,0.033
"P10","Muy buena",0.181,0.085,0.018,0.181,0.094,0.021,0.045,0.01,0.046
"P10","Buena",0.004,0.204,0.1,0.001,0.036,0.062,0.043,0.08,0.13
"P10","Ni buena ni mala",0.445,0.472,0.44,0.326,0.254,0.304,0.262,0.43,0.331
"P10","Mala",0.142,0.01,0.15,0.186,0.164,0.115,0.158,0.073,0.082
"P10","Muy mala",0.025,0.028,0.106,0.154,0.281,0.209,0.145,0.112,0.227
"P10","No sabe",0.203,0.201,0.186,0.152,0.171,0.289,0.347,0.295,0.184
"P11","Muy buena",0.319,0.305,0.04,0.204,0.226,0.06,0.023,0.079,0.104
"P11","Buena",0.046,0.09,0.151,0.124,0.135,0.186,0.09,0.073,0.09
"P11","Ni buena ni mala",0.347,0.342,0.385,0.172,0.177,0.143,0.275,0.11,0.172
"P11","Mala",0.183,0.119,0.215,0.202,0.03,0.224,0.16,0.268,0.164
"P11","Muy mala",0.105,0.044,0.167,0.18,0.355,0.261,0.205,0.442,0.422
"P11","No sabe",0,0.1,0.042,0.118,0.077,0.126,0.247,0.028,0.048
"P12","Muy buena",0.174,0.154,0.023,0.01,0.03,0.08,0.023,0.087,0.087
"P12","Buena",0.005,0.349,0.049,0.084,0.051,0.115,0.04,0.081,0.085
"P12","Ni buena ni mala",0.516,0.279,0.475,0.441,0.267,0.246,0.421,0.296,0.218
"P12","Mala",0.013,0.049,0.085,0.163,0.144,0.063,0.031,0.056,0.115
"P12","Muy mala",0.079,0.028,0.07,0.132,0.26,0.189,0.066,0.214,0.218
"P12","No sabe",0.213,0.141,0.298,0.17,0.248,0.307,0.419,0.266,0.277
"P13","Muy buena",0.161,0.206,0.039,0,0.058,0.019,0,0.104,0.007
"P13","Buena",0.024,0.164,0.054,0.095,0.114,0.032,0.058,0.015,0.042
"P13","Ni buena ni mala",0.354,0.384,0.441,0.48,0.185,0.317,0.254,0.384,0.291
"P13","Mala",0.029,0.052,0.091,0.114,0.101,0.137,0,0.057,0.12
"P13","Muy mala",0.047,0.028,0.04,0.119,0.23,0.065,0.161,0.035,0.196
"P13","No sabe",0.385,0.166,0.335,0.192,0.312,0.43,0.527,0.405,0.344
"P14","Muy buena",0.259,0,0.051,0.001,0.058,0.008,0,0,0.022
"P14","Buena",0,0.405,0.061,0,0.027,0.022,0,0,0.013
"P14","Ni buena ni mala",0.363,0.355,0.432,0.445,0.213,0.364,0.259,0.347,0.263
"P14","Mala",0.012,0.037,0.069,0.309,0.154,0.064,0.102,0.038,0.127
"P14","Muy mala",0.009,0.033,0.03,0.022,0.267,0.088,0.091,0.105,0.208
"P14","No sabe",0.357,0.17,0.357,0.223,0.281,0.454,0.548,0.51,0.367
"P16","La seguridad",0.916,0.414,0.496,0.55,0.5,0.454,0.548,0.571,0.409
"P16","El tránsito",0.03,0.182,0.078,0.083,0.024,0.039,0.053,0,0.006
"P16","El arreglo de las calles",0.028,0.21,0.197,0.111,0.167,0.233,0.061,0.199,0.103
"P16","El estado de las escuelas y la educación",0,0.045,0.098,0.138,0.009,0.028,0.086,0.094,0.108
"P16","El sistema de salud",0.026,0.139,0.06,0.022,0.229,0.086,0.157,0.023,0.089
"P16","El deporte y la cultura",0,0,0.002,0,0.03,0.137,0,0.017,0.006
"P16","La obra pública",0,0.01,0.007,0.001,0,0,0.012,0.044,0.015
"P16","La luminaria",0,0,0.028,0,0.033,0,0,0.011,0.033
"P16","No sabe",0,0,0.034,0.095,0.008,0.023,0.083,0.041,0.231
"P17","Agua corriente y cloacas",0.637,0.393,0.419,0.345,0.495,0.318,0.439,0.492,0.449
"P17","Energía eléctrica",0.073,0.304,0.064,0.171,0.049,0.061,0.163,0.043,0.145
"P17","Red de gas natural",0.112,0.135,0.201,0.042,0.117,0.262,0.069,0.151,0.108
"P17","Recolección de residuos",0.154,0.032,0.155,0.331,0.114,0.247,0.272,0.131,0.2
"P17","Ninguno",0.024,0.136,0.161,0.111,0.225,0.112,0.057,0.183,0.098
"P18","Los robos",0.629,0.808,0.651,0.646,0.647,0.477,0.776,0.629,0.578
"P18","El narcotráfico",0.07,0.063,0.109,0.149,0.202,0.21,0.012,0.2,0.088
"P18","La ausencia de patrulleros y personal policial",0.252,0.032,0.195,0.088,0.042,0.232,0.132,0.105,0.227
"P18","Otro",0.049,0.097,0.018,0.117,0.029,0.028,0.015,0.042,0.069
"P18","Ninguno",0,0,0.027,0,0.08,0.053,0.065,0.024,0.038
"P19","Muy buena",0.337,0.32,0.229,0.134,0.122,0.16,0.247,0.005,0.042
"P19","Buena",0.027,0.104,0.172,0.358,0.265,0.153,0.192,0.063,0.102
"P19","Ni buena ni mala",0.178,0.192,0.344,0.292,0.108,0.238,0.241,0.429,0.303
"P19","Mala",0.262,0.115,0.144,0.145,0.157,0.21,0.285,0.218,0.224
"P19","Muy mala",0.196,0.258,0.042,0.043,0.348,0.092,0.035,0.182,0.247
"P19","No sabe",0,0.011,0.069,0.028,0,0.147,0,0.103,0.082
"P20","Muy buena",0.336,0.044,0.142,0.036,0.149,0.075,0.188,0,0.027
"P20","Buena",0.028,0.359,0.224,0.195,0.044,0.173,0.189,0.033,0.058
"P20","Ni buena ni mala",0.212,0.156,0.351,0.499,0.263,0.376,0.586,0.53,0.28
"P20","Mala",0.273,0.144,0.101,0.157,0.225,0.222,0.012,0.254,0.218
"P20","Muy mala",0.133,0.286,0.14,0.057,0.311,0.105,0.025,0.081,0.327
"P20","No sabe",0.018,0.011,0.042,0.056,0.008,0.049,0,0.102,0.09
"P21","Al candidato del Frente de Todos",0.417,0.379,0.45,0.464,0.276,0.273,0.543,0.086,0.198
"P21","Al candidato de Juntos por el Cambio",0.112,0.135,0.145,0.232,0.093,0.264,0.055,0.372,0.239
"P21","Al candidato de la Izquierda",0.084,0.073,0.046,0.024,0.08,0.112,0.015,0.166,0.104
"P21","A otro candidato",0.202,0.296,0.155,0.121,0.179,0.127,0.053,0.347,0.22
"P21","No sabe",0.185,0.117,0.204,0.159,0.372,0.224,0.334,0.029,0.239
"P22","A Gustavo Menéndez",0.957,0.181,0.417,0.378,0.175,0.266,0.709,0.381,0.425
"P22","A Karina Menéndez",0.018,0.036,0.114,0.159,0.118,0.505,0.121,0.149,0.039
"P22","A Florencia Lizaraso",0.025,0,0.253,0,0.046,0.014,0.023,0.009,0.015
"P22","A Raúl Otahacé",0,0.391,0.124,0.018,0.501,0.067,0.147,0.242,0.328
"P22","No sabe",0,0.392,0.092,0.445,0.16,0.148,0,0.219,0.193
"P23","Frente de Todos y el peronismo",0.244,0.257,0.604,0.483,0.35,0.398,0.577,0.12,0.173
"P23","Cambiemos",0.278,0.095,0.049,0.268,0.08,0.139,0.029,0.357,0.256
"P23","Liberales",0.045,0.309,0.184,0.126,0.127,0.145,0.087,0.298,0.252
"P23","Izquierda",0.123,0,0.062,0.076,0.073,0.017,0.014,0.061,0.045
"P23","No sabe",0.31,0.339,0.101,0.047,0.37,0.301,0.293,0.164,0.274
"P25","A Alberto Fernández",0.766,0.116,0.388,0.714,0.136,0.399,0.259,0.052,0.477
"P25","A Sergio Massa",0.213,0.802,0.067,0.087,0.046,0.053,0.016,0.57,0.008
"P25","A algún candidato del peronismo",0.021,0.082,0.203,0.123,0.538,0.272,0.272,0.06,0.24
"P25","A algún candidato del kirchnerismo",0,0,0.342,0.076,0.28,0.276,0.453,0.318,0.275
"P26","A Alberto Fernández",0.77,0.065,0.381,0.713,0,0.026,0.229,0,0.109
"P26","A Sergio Massa",0.18,0.73,0.074,0.087,0.144,0.008,0.263,0.104,0.006
"P26","A algún candidato del peronismo",0,0.082,0.173,0.088,0,0.196,0,0.557,0.174
"P26","A Cristina Fernández de Kirchner",0.05,0.123,0.372,0.112,0.856,0.77,0.508,0.339,0.711
"P27","A Horacio Rodriguez Larreta",0.933,0,0.739,0.971,0,0.371,0,0.833,0.105
"P27","A Mauricio Macri",0,0.136,0.098,0,0,0.221,1,0.024,0.407
"P27","A Patricia Bullrich",0.067,0.591,0.13,0,1,0.408,0,0.107,0.329
"P27","A Facundo Manes",0,0.273,0.033,0.029,0,0,0,0.024,0.025
"P27","A Martín Lousteau",0,0,0,0,0,0,0,0.012,0.134
"P28","Seguro lo votaria",0.866,0.142,0.64,0.029,0.333,0.518,1,0.036,0.081
"P28","Quizás lo votaría",0.045,0.589,0.131,0,0.333,0.037,0,0.404,0.361
"P28","Nunca lo votaría",0.089,0.269,0.229,0.971,0.334,0.445,0,0.56,0.558
"P29","Muy buena",0.486,0.067,0.177,0.311,0.258,0.039,0.158,0.027,0.09
