"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P07","Muy buena",0.185,0.169,0.198,0.073,0.123
"P07","Buena",0.124,0.108,0.181,0.1,0.175
"P07","Ni buena ni mala",0.195,0.139,0.237,0.156,0.24
"P07","Mala",0.17,0.141,0.121,0.405,0.146
"P07","Muy mala",0.273,0.429,0.263,0.209,0.262
"P07","No sabe",0.053,0.014,0,0.057,0.054
"P08","Muy buena",0.082,0.135,0.022,0.026,0.09
"P08","Buena",0.091,0.11,0.139,0.18,0.06
"P08","Ni buena ni mala",0.359,0.354,0.311,0.405,0.436
"P08","Mala",0.139,0.058,0.153,0.139,0.068
"P08","Muy mala",0.15,0.217,0.059,0.054,0.192
"P08","No sabe",0.179,0.126,0.316,0.196,0.154
"P09","Muy buena",0.111,0.243,0.13,0.086,0.102
"P09","Buena",0.104,0.049,0.134,0.108,0.15
"P09","Ni buena ni mala",0.283,0.233,0.211,0.34,0.325
"P09","Mala",0.17,0.166,0.141,0.178,0.056
"P09","Muy mala",0.289,0.283,0.27,0.181,0.219
"P09","No sabe",0.043,0.026,0.114,0.107,0.148
"P10","Muy buena",0.051,0.064,0.039,0.077,0.032
"P10","Buena",0.085,0.199,0.098,0.072,0.017
"P10","Ni buena ni mala",0.358,0.351,0.266,0.439,0.325
"P10","Mala",0.126,0.093,0.106,0.133,0.081
"P10","Muy mala",0.177,0.115,0.244,0.061,0.229
"P10","No sabe",0.203,0.178,0.247,0.218,0.316
"P11","Muy buena",0.072,0.251,0.057,0.194,0.11
"P11","Buena",0.128,0.086,0.087,0.115,0.152
"P11","Ni buena ni mala",0.256,0.183,0.139,0.241,0.237
"P11","Mala",0.194,0.181,0.232,0.182,0.154
"P11","Muy mala",0.309,0.244,0.34,0.174,0.258
"P11","No sabe",0.041,0.055,0.145,0.094,0.089
"P12","Muy buena",0.074,0.12,0.043,0.072,0.073
"P12","Buena",0.125,0.085,0.046,0.115,0.037
"P12","Ni buena ni mala",0.327,0.354,0.287,0.339,0.279
"P12","Mala",0.089,0.141,0.042,0.109,0.063
"P12","Muy mala",0.203,0.12,0.159,0.053,0.179
"P12","No sabe",0.182,0.18,0.423,0.312,0.369
"P13","Muy buena",0.053,0.137,0.015,0.02,0.03
"P13","Buena",0.07,0,0.036,0.058,0.022
"P13","Ni buena ni mala",0.331,0.404,0.293,0.363,0.357
"P13","Mala",0.106,0.119,0.087,0.118,0.052
"P13","Muy mala",0.126,0.098,0.122,0.031,0.156
"P13","No sabe",0.314,0.242,0.447,0.41,0.383
"P14","Muy buena",0.048,0.039,0.006,0.057,0.012
"P14","Buena",0.049,0.126,0.041,0.027,0.011
"P14","Ni buena ni mala",0.329,0.35,0.295,0.408,0.338
"P14","Mala",0.121,0.156,0.092,0.084,0
"P14","Muy mala",0.102,0.103,0.144,0.024,0.149
"P14","No sabe",0.351,0.226,0.422,0.4,0.49
"P15","La seguridad",0.101,0.044,0.048,0.055,0.014
"P15","El tránsito",0.065,0.19,0.061,0.012,0.08
"P15","El arreglo de las calles",0.185,0.107,0.244,0.154,0.253
"P15","El estado de las escuelas y la educación",0.046,0.087,0.016,0.1,0.053
"P15","El sistema de salud",0.046,0.017,0.03,0.024,0.075
"P15","El deporte y la cultura",0.147,0.108,0.331,0.257,0.184
"P15","La obra pública",0.043,0.06,0.018,0.059,0.019
"P15","La luminaria",0.069,0.023,0.057,0.041,0.091
"P15","No sabe",0.298,0.364,0.195,0.298,0.231
"P16","La seguridad",0.575,0.556,0.389,0.455,0.386
"P16","El tránsito",0.032,0.186,0.057,0.01,0.014
"P16","El arreglo de las calles",0.142,0.072,0.184,0.184,0.158
"P16","El estado de las escuelas y la educación",0.051,0.018,0.122,0.124,0.077
"P16","El sistema de salud",0.059,0.139,0.085,0.024,0.213
"P16","El deporte y la cultura",0.015,0.011,0.061,0.077,0
"P16","La obra pública",0.006,0,0.011,0.017,0.017
"P16","La luminaria",0.015,0.018,0.015,0.021,0.02
"P16","No sabe",0.105,0,0.076,0.088,0.115
"P18","Los robos",0.701,0.571,0.571,0.436,0.63
"P18","El narcotráfico",0.107,0.138,0.184,0.135,0.082
"P18","La ausencia de patrulleros y personal policial",0.145,0.272,0.216,0.258,0.103
"P18","Otro",0.031,0.013,0.019,0.105,0.09
"P18","Ninguno",0.016,0.006,0.01,0.066,0.095
"P19","Muy buena",0.181,0.068,0.275,0.066,0.096
"P19","Buena",0.172,0.098,0.06,0.175,0.146
"P19","Ni buena ni mala",0.284,0.242,0.335,0.184,0.371
"P19","Mala",0.179,0.241,0.134,0.341,0.081
"P19","Muy mala",0.157,0.314,0.098,0.139,0.1
"P19","No sabe",0.027,0.037,0.098,0.095,0.206
"P20","Muy buena",0.077,0.072,0.174,0.07,0.074
"P20","Buena",0.178,0.166,0.066,0.149,0.083
"P20","Ni buena ni mala",0.339,0.224,0.329,0.403,0.371
"P20","Mala",0.194,0.139,0.262,0.184,0.09
"P20","Muy mala",0.176,0.38,0.135,0.131,0.225
"P20","No sabe",0.036,0.019,0.034,0.063,0.157
"P21","Al candidato del Frente de Todos",0.328,0.3,0.3,0.229,0.42
"P21","Al candidato de Juntos por el Cambio",0.176,0.17,0.163,0.259,0.3
"P21","Al candidato de la Izquierda",0.123,0.097,0.064,0.057,0.013
"P21","A otro candidato",0.192,0.265,0.228,0.177,0.069
"P21","No sabe",0.181,0.168,0.245,0.278,0.198
"P22","A Gustavo Menéndez",0.578,0.208,0.329,0.381,0.206
"P22","A Karina Menéndez",0.146,0.179,0.504,0.063,0.067
"P22","A Florencia Lizaraso",0.035,0,0.092,0.115,0.124
"P22","A Raúl Otahacé",0.065,0.106,0.046,0.39,0.348
"P22","No sabe",0.176,0.507,0.029,0.051,0.255
"P23","Frente de Todos y el peronismo",0.316,0.271,0.389,0.423,0.385
"P23","Cambiemos",0.201,0.184,0.185,0.073,0.204
"P23","Liberales",0.221,0.374,0.208,0.107,0.072
"P23","Izquierda",0.055,0.067,0.074,0.024,0.009
"P23","No sabe",0.207,0.104,0.144,0.373,0.33
"P25","A Alberto Fernández",0.241,0.535,0.9,0.455,0.16
"P25","A Sergio Massa",0.105,0.329,0.018,0.078,0.106
"P25","A algún candidato del peronismo",0.346,0,0.049,0.234,0.149
"P25","A algún candidato del kirchnerismo",0.308,0.136,0.033,0.233,0.585
"P26","A Alberto Fernández",0.083,0.516,0.308,0.445,0.051
"P26","A Sergio Massa",0.08,0.307,0.012,0.049,0.163
"P26","A algún candidato del peronismo",0.236,0,0.034,0.224,0.051
"P26","A Cristina Fernández de Kirchner",0.601,0.177,0.646,0.282,0.735
"P27","A Horacio Rodriguez Larreta",0.33,0.126,0.616,0.315,0.799
"P27","A Mauricio Macri",0.259,0.076,0.293,0.211,0.061
"P27","A Patricia Bullrich",0.393,0.076,0.091,0.316,0.115
"P27","A Facundo Manes",0.011,0.076,0,0.158,0.025
"P27","A Martín Lousteau",0.007,0.646,0,0,0
"P28","Seguro lo votaria",0.334,0.102,0.142,0.158,0.325
"P28","Quizás lo votaría",0.211,0.025,0.45,0.316,0.128
"P28","Nunca lo votaría",0.455,0.873,0.408,0.526,0.547
"P29","Muy buena",0.116,0.175,0.136,0.218,0.048
"P29","Buena",0.128,0.13,0.208,0.169,0.237
"P29","Ni buena ni mala",0.221,0.083,0.134,0.236,0.279
"P29","Mala",0.201,0.132,0.088,0.147,0.126
"P29","Muy mala",0.301,0.48,0.422,0.202,0.306
"P29","No sabe",0.033,0,0.012,0.028,0.004
"P30","Muy buena",0.08,0.242,0.128,0.105,0.057
"P30","Buena",0.163,0.081,0.066,0.171,0.074
"P30","Ni buena ni mala",0.13,0.07,0.051,0.13,0.244
"P30","Mala",0.237,0.295,0.192,0.096,0.176
"P30","Muy mala",0.378,0.312,0.512,0.416,0.442
"P30","No sabe",0.012,0,0.051,0.082,0.007
"P31","Muy buena",0.286,0.396,0.206,0.278,0.298
"P31","Buena",0.041,0.024,0.155,0.21,0.268
"P31","Ni buena ni mala",0.083,0.072,0.096,0.097,0.029
"P31","Mala",0.163,0.077,0.132,0.104,0.039
"P31","Muy mala",0.397,0.431,0.399,0.289,0.329
"P31","No sabe",0.03,0,0.012,0.022,0.037
"P32","Muy buena",0.185,0.194,0.185,0.149,0.111
"P32","Buena",0.149,0.1,0.087,0.201,0.058
"P32","Ni buena ni mala",0.153,0.165,0.258,0.102,0.268
"P32","Mala",0.148,0.193,0.178,0.175,0.068
"P32","Muy mala",0.346,0.348,0.221,0.215,0.434
"P32","No sabe",0.019,0,0.071,0.158,0.061
"P33","Muy buena",0.082,0.123,0.091,0.025,0.048
"P33","Buena",0.093,0.133,0.115,0.128,0.185
"P33","Ni buena ni mala",0.339,0.154,0.217,0.314,0.211
"P33","Mala",0.177,0.115,0.072,0.169,0.149
"P33","Muy mala",0.292,0.453,0.423,0.251,0.249
"P33","No sabe",0.017,0.022,0.082,0.113,0.158
"P34","Muy buena",0.156,0.272,0.138,0.146,0.103
"P34","Buena",0.148,0.1,0.191,0.153,0.033
"P34","Ni buena ni mala",0.148,0.119,0.11,0.138,0.185
"P34","Mala",0.122,0.097,0.247,0.079,0.135
"P34","Muy mala",0.397,0.412,0.253,0.382,0.357
"P34","No sabe",0.029,0,0.061,0.102,0.187
"P35","Muy buena",0.114,0.41,0.145,0.117,0.052
"P35","Buena",0.13,0.085,0.045,0.099,0.072
"P35","Ni buena ni mala",0.202,0.194,0.451,0.201,0.245
"P35","Mala",0.111,0.099,0.121,0.219,0.148
"P35","Muy mala",0.382,0.176,0.185,0.261,0.381
"P35","No sabe",0.061,0.036,0.053,0.103,0.102
