"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Muy buena",0.167,0.348,0.083,0.125,0.053,0.361,0.057,0.188,0.193
"P07","Buena",0.077,0.214,0.214,0.148,0.143,0.015,0.052,0.166,0.249
"P07","Ni buena ni mala",0.208,0.048,0.207,0.36,0.137,0.011,0.137,0.108,0.144
"P07","Mala",0.197,0.031,0.276,0.194,0.147,0.5,0.007,0.061,0.235
"P07","Muy mala",0.319,0.225,0.139,0.158,0.482,0.113,0.747,0.477,0.16
"P07","No sabe",0.032,0.134,0.081,0.015,0.038,0,0,0,0.019
"P08","Muy buena",0.096,0.07,0.057,0.04,0.018,0.055,0,0.06,0.02
"P08","Buena",0.12,0.204,0.155,0.027,0.029,0.079,0.104,0.11,0.107
"P08","Ni buena ni mala",0.431,0.249,0.419,0.446,0.115,0.031,0.433,0.441,0.264
"P08","Mala",0.076,0.199,0.116,0.085,0.211,0.157,0.149,0.171,0.342
"P08","Muy mala",0.1,0.063,0.059,0.063,0.48,0.076,0.177,0.2,0.19
"P08","No sabe",0.177,0.215,0.194,0.339,0.147,0.602,0.137,0.018,0.077
"P09","Muy buena",0.112,0.466,0.065,0.084,0.111,0.301,0.057,0.082,0.099
"P09","Buena",0.093,0.08,0.228,0.155,0.022,0.015,0.052,0.019,0.084
"P09","Ni buena ni mala",0.299,0.215,0.264,0.318,0.25,0.448,0,0.41,0.228
"P09","Mala",0.166,0.037,0.231,0.181,0.096,0.123,0,0,0.145
"P09","Muy mala",0.246,0.193,0.189,0.119,0.395,0.113,0.747,0.422,0.379
"P09","No sabe",0.084,0.009,0.023,0.143,0.126,0,0.144,0.067,0.065
"P10","Muy buena",0.073,0.08,0.017,0.013,0.061,0.037,0,0.06,0.036
"P10","Buena",0.1,0.23,0.095,0.011,0.028,0,0.15,0,0.099
"P10","Ni buena ni mala",0.389,0.144,0.494,0.419,0.174,0.463,0.178,0.138,0.234
"P10","Mala",0.126,0.114,0.054,0.209,0.041,0.038,0.149,0.049,0.163
"P10","Muy mala",0.109,0.193,0.116,0.065,0.482,0,0.17,0.29,0.371
"P10","No sabe",0.203,0.239,0.224,0.283,0.214,0.462,0.353,0.463,0.097
"P11","Muy buena",0.153,0.22,0.054,0.138,0.08,0.037,0.216,0.202,0.001
"P11","Buena",0.107,0.028,0.254,0.078,0.025,0.356,0.354,0.076,0.057
"P11","Ni buena ni mala",0.232,0.391,0.232,0.148,0.138,0.015,0,0.189,0.3
"P11","Mala",0.18,0.145,0.235,0.362,0.2,0.157,0.11,0.22,0.037
"P11","Muy mala",0.259,0.195,0.195,0.21,0.376,0.134,0.32,0.132,0.587
"P11","No sabe",0.069,0.021,0.03,0.064,0.181,0.301,0,0.181,0.018
"P12","Muy buena",0.081,0.016,0.038,0.065,0.111,0.338,0,0,0.04
"P12","Buena",0.088,0.241,0.178,0.053,0.019,0.027,0,0.018,0.059
"P12","Ni buena ni mala",0.407,0.129,0.37,0.166,0.191,0.101,0.203,0.126,0.217
"P12","Mala",0.082,0.104,0.044,0.091,0.018,0.146,0.149,0.185,0.188
"P12","Muy mala",0.13,0.201,0.082,0.039,0.361,0,0.17,0.211,0.345
"P12","No sabe",0.212,0.309,0.288,0.586,0.3,0.388,0.478,0.46,0.151
"P13","Muy buena",0.041,0.212,0.043,0.025,0.097,0,0,0,0
"P13","Buena",0.039,0.024,0.116,0.156,0.015,0.076,0,0,0.012
"P13","Ni buena ni mala",0.429,0.241,0.399,0.151,0.179,0.134,0.196,0.118,0.249
"P13","Mala",0.107,0.055,0.038,0.094,0.032,0.301,0.149,0.118,0.175
"P13","Muy mala",0.066,0.042,0.05,0.009,0.355,0,0.386,0.264,0.296
"P13","No sabe",0.318,0.426,0.354,0.565,0.322,0.489,0.269,0.5,0.268
"P14","Muy buena",0.036,0.008,0.083,0,0.027,0,0.007,0,0.04
"P14","Buena",0.027,0.204,0.113,0.007,0.056,0.076,0,0.024,0.009
"P14","Ni buena ni mala",0.404,0.317,0.318,0.302,0.183,0.369,0.253,0.184,0.209
"P14","Mala",0.123,0.04,0.026,0.069,0.043,0.055,0.092,0.019,0.202
"P14","Muy mala",0.048,0.139,0.134,0.013,0.364,0,0.17,0.286,0.224
"P14","No sabe",0.362,0.292,0.326,0.609,0.327,0.5,0.478,0.487,0.316
"P15","La seguridad",0.122,0.042,0.012,0,0.02,0,0,0,0
"P15","El tránsito",0.058,0.272,0.093,0.042,0.115,0,0.074,0,0
"P15","El arreglo de las calles",0.185,0.312,0.235,0.242,0.133,0.011,0.137,0.317,0.071
"P15","El estado de las escuelas y la educación",0.061,0.099,0.039,0.101,0.015,0,0.007,0,0.059
"P15","El sistema de salud",0.04,0.021,0.042,0.004,0.107,0.037,0,0.078,0.003
"P15","El deporte y la cultura",0.182,0.167,0.297,0.074,0.205,0.866,0,0,0.051
