"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales","Izquierda","No sabe"
"P07","Muy buena",0.244,0.109,0.075,0.215,0.075
"P07","Buena",0.248,0.06,0.08,0.041,0.134
"P07","Ni buena ni mala",0.207,0.15,0.148,0.223,0.217
"P07","Mala",0.187,0.276,0.193,0.165,0.215
"P07","Muy mala",0.097,0.391,0.446,0.356,0.254
"P07","No sabe",0.017,0.014,0.058,0,0.105
"P08","Muy buena",0.021,0.207,0.049,0,0.023
"P08","Buena",0.161,0.21,0.041,0.018,0.043
"P08","Ni buena ni mala",0.323,0.3,0.434,0.316,0.439
"P08","Mala",0.186,0.044,0.165,0.118,0.098
"P08","Muy mala",0.129,0.105,0.129,0.277,0.101
"P08","No sabe",0.18,0.134,0.182,0.271,0.296
"P09","Muy buena",0.238,0.093,0.017,0.112,0.07
"P09","Buena",0.16,0.096,0.012,0.125,0.136
"P09","Ni buena ni mala",0.326,0.12,0.278,0.288,0.317
"P09","Mala",0.078,0.264,0.142,0.105,0.183
"P09","Muy mala",0.112,0.384,0.441,0.339,0.229
"P09","No sabe",0.086,0.043,0.11,0.031,0.065
"P10","Muy buena",0.049,0.155,0.043,0,0.019
"P10","Buena",0.046,0.146,0.095,0.127,0.043
"P10","Ni buena ni mala",0.365,0.319,0.294,0.281,0.414
"P10","Mala",0.17,0.062,0.092,0.255,0.096
"P10","Muy mala",0.171,0.169,0.228,0.228,0.105
"P10","No sabe",0.199,0.149,0.248,0.109,0.323
"P11","Muy buena",0.066,0.164,0.098,0.166,0.143
"P11","Buena",0.144,0.095,0.088,0.04,0.137
"P11","Ni buena ni mala",0.235,0.155,0.232,0.154,0.29
"P11","Mala",0.258,0.283,0.132,0.223,0.098
"P11","Muy mala",0.208,0.281,0.408,0.417,0.22
"P11","No sabe",0.089,0.022,0.042,0,0.112
"P12","Muy buena",0.025,0.21,0.095,0.057,0.056
"P12","Buena",0.061,0.214,0.045,0.036,0.092
"P12","Ni buena ni mala",0.356,0.195,0.342,0.509,0.252
"P12","Mala",0.115,0.05,0.065,0.111,0.091
"P12","Muy mala",0.136,0.123,0.261,0.029,0.128
"P12","No sabe",0.307,0.208,0.192,0.258,0.381
"P13","Muy buena",0.033,0.075,0.053,0.103,0
"P13","Buena",0.053,0.051,0.02,0.045,0.05
"P13","Ni buena ni mala",0.383,0.36,0.353,0.429,0.217
"P13","Mala",0.086,0.102,0.096,0.17,0.123
"P13","Muy mala",0.076,0.127,0.143,0.014,0.106
"P13","No sabe",0.369,0.285,0.335,0.239,0.504
"P14","Muy buena",0.036,0.062,0.019,0.206,0.012
"P14","Buena",0.048,0.02,0.014,0.127,0.05
"P14","Ni buena ni mala",0.362,0.314,0.333,0.272,0.289
"P14","Mala",0.085,0.166,0.091,0.076,0.055
"P14","Muy mala",0.068,0.045,0.223,0.014,0.099
"P14","No sabe",0.401,0.393,0.32,0.305,0.495
"P15","La seguridad",0.038,0.089,0.013,0.144,0.073
"P15","El tránsito",0.045,0.034,0.098,0,0.088
"P15","El arreglo de las calles",0.341,0.056,0.19,0.261,0.085
"P15","El estado de las escuelas y la educación",0.08,0.091,0.038,0.095,0.012
"P15","El sistema de salud",0.041,0.019,0.027,0.063,0.064
"P15","El deporte y la cultura",0.222,0.158,0.148,0.073,0.251
"P15","La obra pública",0.074,0.007,0.021,0.014,0.057
"P15","La luminaria",0.022,0.131,0.099,0.082,0.044
"P15","No sabe",0.137,0.415,0.366,0.268,0.326
"P16","La seguridad",0.414,0.584,0.561,0.45,0.466
"P16","El tránsito",0.029,0.047,0.083,0.015,0.014
"P16","El arreglo de las calles",0.183,0.092,0.099,0.205,0.19
"P16","El estado de las escuelas y la educación",0.072,0.098,0.013,0.074,0.121
"P16","El sistema de salud",0.124,0.025,0.116,0.102,0.064
"P16","El deporte y la cultura",0.044,0.032,0,0,0.054
"P16","La obra pública",0.006,0.016,0.016,0,0.002
"P16","La luminaria",0.028,0.024,0.002,0.009,0.015
"P16","No sabe",0.1,0.082,0.11,0.145,0.074
"P17","Agua corriente y cloacas",0.384,0.5,0.492,0.499,0.377
"P17","Energía eléctrica",0.074,0.102,0.187,0.137,0.042
"P17","Red de gas natural",0.168,0.164,0.165,0.238,0.093
"P17","Recolección de residuos",0.234,0.083,0.108,0.1,0.308
"P17","Ninguno",0.14,0.151,0.048,0.026,0.18
"P18","Los robos",0.545,0.585,0.678,0.714,0.645
"P18","El narcotráfico",0.141,0.205,0.093,0.075,0.071
"P18","La ausencia de patrulleros y personal policial",0.222,0.144,0.154,0.175,0.171
"P18","Otro",0.051,0.053,0.061,0.036,0.054
"P18","Ninguno",0.041,0.013,0.014,0,0.059
"P19","Muy buena",0.198,0.105,0.138,0.095,0.088
"P19","Buena",0.226,0.1,0.063,0.037,0.151
"P19","Ni buena ni mala",0.29,0.257,0.315,0.306,0.295
"P19","Mala",0.152,0.23,0.159,0.132,0.245
"P19","Muy mala",0.053,0.257,0.231,0.43,0.127
"P19","No sabe",0.081,0.051,0.094,0,0.094
"P20","Muy buena",0.177,0.081,0.006,0.095,0.022
"P20","Buena",0.209,0.088,0.085,0.16,0.127
"P20","Ni buena ni mala",0.356,0.293,0.365,0.155,0.395
"P20","Mala",0.126,0.229,0.188,0.13,0.229
"P20","Muy mala",0.076,0.243,0.28,0.441,0.185
"P20","No sabe",0.056,0.066,0.076,0.019,0.042
"P21","Al candidato del Frente de Todos",0.682,0.17,0.009,0.095,0.145
"P21","Al candidato de Juntos por el Cambio",0.126,0.696,0.128,0.088,0.057
"P21","Al candidato de la Izquierda",0.051,0.021,0.193,0.446,0.026
"P21","A otro candidato",0.058,0.069,0.488,0.304,0.201
"P21","No sabe",0.083,0.044,0.182,0.067,0.571
"P22","A Gustavo Menéndez",0.398,0.828,1,1,0.08
"P22","A Karina Menéndez",0.204,0.11,0,0,0.045
"P22","A Florencia Lizaraso",0.093,0,0,0,0.01
"P22","A Raúl Otahacé",0.103,0,0,0,0.597
"P22","No sabe",0.202,0.062,0,0,0.268
"P29","Muy buena",0.191,0.133,0.079,0.322,0.07
"P29","Buena",0.302,0.033,0.049,0.085,0.162
"P29","Ni buena ni mala",0.247,0.127,0.056,0.113,0.327
"P29","Mala",0.158,0.096,0.185,0.191,0.167
"P29","Muy mala",0.094,0.607,0.568,0.262,0.253
"P29","No sabe",0.008,0.004,0.063,0.027,0.021
"P30","Muy buena",0.032,0.407,0.077,0.01,0.047
"P30","Buena",0.06,0.217,0.197,0.029,0.136
"P30","Ni buena ni mala",0.024,0.266,0.156,0.076,0.163
"P30","Mala",0.223,0.051,0.314,0.141,0.196
"P30","Muy mala",0.62,0.059,0.227,0.744,0.419
"P30","No sabe",0.041,0,0.029,0,0.039
"P31","Muy buena",0.549,0.081,0.119,0.204,0.191
"P31","Buena",0.176,0.064,0.045,0.188,0.122
"P31","Ni buena ni mala",0.068,0.004,0.067,0.024,0.167
"P31","Mala",0.102,0.13,0.137,0.177,0.121
"P31","Muy mala",0.089,0.721,0.563,0.407,0.379
"P31","No sabe",0.016,0,0.069,0,0.02
"P32","Muy buena",0.051,0.541,0.107,0.092,0.14
"P32","Buena",0.093,0.252,0.173,0.071,0.089
"P32","Ni buena ni mala",0.112,0.128,0.259,0.117,0.241
"P32","Mala",0.249,0.055,0.095,0.123,0.135
"P32","Muy mala",0.482,0.024,0.321,0.341,0.263
"P32","No sabe",0.013,0,0.045,0.256,0.132
"P33","Muy buena",0.097,0.083,0.032,0.18,0.037
"P33","Buena",0.265,0.02,0,0.065,0.079
"P33","Ni buena ni mala",0.448,0.078,0.154,0.27,0.281
"P33","Mala",0.069,0.203,0.205,0.221,0.17
"P33","Muy mala",0.076,0.606,0.557,0.219,0.283
"P33","No sabe",0.045,0.01,0.052,0.045,0.15
"P34","Muy buena",0.022,0.489,0.208,0.009,0.084
"P34","Buena",0.078,0.224,0.202,0.06,0.117
"P34","Ni buena ni mala",0.053,0.206,0.204,0.221,0.157
"P34","Mala",0.234,0.009,0.074,0.219,0.11
"P34","Muy mala",0.562,0.066,0.234,0.491,0.399
"P34","No sabe",0.051,0.006,0.078,0,0.133
"P35","Muy buena",0.031,0.102,0.514,0,0.063
"P35","Buena",0.031,0.13,0.223,0.053,0.085
"P35","Ni buena ni mala",0.227,0.477,0.133,0.076,0.231
"P35","Mala",0.187,0.154,0.023,0.178,0.129
"P35","Muy mala",0.505,0.123,0.087,0.525,0.281
"P35","No sabe",0.019,0.014,0.02,0.168,0.211
