"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna","opciones"
"Muy buena",0.144,0.132,0.155,0.189,0.141,0.124,0.131,0.113,0.178,0.12,0.23,0.077,0.05,6
"Buena",0.222,0.225,0.219,0.244,0.2,0.256,0.206,0.221,0.236,0.2,0.327,0.147,0.291,6
"Ni buena ni mala",0.25,0.245,0.255,0.121,0.252,0.24,0.41,0.271,0.231,0.26,0.188,0.314,0.439,6
"Mala",0.158,0.141,0.176,0.192,0.16,0.151,0.127,0.127,0.148,0.208,0.122,0.226,0.019,6
"Muy mala",0.191,0.238,0.145,0.229,0.213,0.188,0.088,0.244,0.167,0.173,0.096,0.207,0.201,6
"No sabe",0.035,0.019,0.05,0.025,0.034,0.041,0.038,0.024,0.04,0.039,0.037,0.029,0,6
"Positiva",0.366,0.357,0.374,0.433,0.341,0.38,0.337,0.334,0.414,0.32,0.557,0.224,0.341,4
"Neutra",0.25,0.245,0.255,0.121,0.252,0.24,0.41,0.271,0.231,0.26,0.188,0.314,0.439,4
"Negativa",0.349,0.379,0.321,0.421,0.373,0.339,0.215,0.371,0.315,0.381,0.218,0.433,0.22,4
"No sabe",0.035,0.019,0.05,0.025,0.034,0.041,0.038,0.024,0.04,0.039,0.037,0.029,0,4
