"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales Libertarios","Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.851,0.155,0.149,0.421,0.221
"P07","Al candidato de Juntos por el Cambio",0.098,0.722,0.213,0.177,0.131
"P07","Al candidato de los liberales - libertarios",0.015,0.035,0.513,0.017,0.062
"P07","Al candidato de la Izquierda",0.015,0.005,0.003,0.36,0.075
"P07","A otro candidato",0.008,0.044,0.066,0.025,0.242
"P07","No sabe",0.013,0.039,0.056,0,0.269
"P08","A Julio Zamora por el Frente de Todos",0.604,0.133,0.124,0.188,0.386
"P08","A Malena Galmarini por el Frente de Todos",0.211,0.049,0.031,0.218,0.086
"P08","A Segundo Cernadas por Cambiemos",0.081,0.515,0.265,0.211,0.099
"P08","A Nicolás Massot por Cambiemos",0.042,0.228,0.073,0.028,0.021
"P08","Al candidato de los liberales libertarios",0.022,0.02,0.408,0.017,0.027
"P08","A Paula Akerfeld por el Frente de Izquierda",0.01,0.005,0.01,0.301,0.087
"P08","No sabe",0.03,0.05,0.089,0.037,0.294
"P10","A Julio Zamora por el Frente de Todos",0.749,0.189,0.206,0.319,0.376
"P10","A Segundo Cernadas por Cambiemos",0.126,0.605,0.222,0.094,0.153
"P10","Al candidato de los liberales libertarios",0.031,0.067,0.38,0.045,0.03
"P10","A Paula Akerfeld por el Frente de Izquierda",0.024,0.046,0.01,0.448,0.065
"P10","No sabe",0.07,0.093,0.182,0.094,0.376
"P12","A Malena Galmarini por el Frente de Todos",0.698,0.113,0.156,0.384,0.242
"P12","A Segundo Cernadas por Cambiemos",0.111,0.749,0.299,0.099,0.194
"P12","Al candidato de los liberales libertarios",0.027,0.024,0.458,0.034,0.011
"P12","A Paula Akerfeld por el Frente de Izquierda",0.038,0.021,0.003,0.336,0.065
"P12","No sabe",0.126,0.093,0.084,0.147,0.488
"P14","Muy buena",0.305,0.05,0.041,0.14,0.037
"P14","Buena",0.265,0.066,0.048,0.157,0.206
"P14","Ni buena ni mala",0.193,0.173,0.204,0.305,0.22
"P14","Mala",0.083,0.286,0.257,0.123,0.108
"P14","Muy mala",0.123,0.384,0.408,0.192,0.247
"P14","No sabe",0.031,0.041,0.042,0.083,0.182
"P15","Muy buena",0.408,0.061,0.067,0.243,0.17
"P15","Buena",0.248,0.122,0.154,0.193,0.244
"P15","Ni buena ni mala",0.196,0.276,0.201,0.283,0.213
"P15","Mala",0.072,0.22,0.255,0.069,0.116
"P15","Muy mala",0.071,0.28,0.271,0.196,0.175
"P15","No sabe",0.005,0.041,0.052,0.016,0.082
"P16","Muy buena",0.108,0.387,0.098,0.064,0.018
"P16","Buena",0.073,0.253,0.145,0.076,0.212
"P16","Ni buena ni mala",0.218,0.23,0.418,0.175,0.267
"P16","Mala",0.186,0.05,0.103,0.241,0.124
"P16","Muy mala",0.344,0.049,0.123,0.338,0.148
"P16","No sabe",0.071,0.031,0.113,0.106,0.231
"P17","Muy buena",0.065,0.063,0.049,0.047,0
"P17","Buena",0.026,0.035,0.015,0.066,0.065
"P17","Ni buena ni mala",0.321,0.371,0.324,0.451,0.257
"P17","Mala",0.07,0.081,0.145,0.126,0.018
"P17","Muy mala",0.054,0.063,0.08,0.1,0.165
"P17","No sabe",0.464,0.387,0.387,0.21,0.495
"P18","Muy buena",0.088,0.144,0.028,0.216,0.053
"P18","Buena",0.043,0.149,0.088,0.055,0.031
"P18","Ni buena ni mala",0.289,0.38,0.289,0.195,0.385
"P18","Mala",0.186,0.065,0.164,0.195,0.091
"P18","Muy mala",0.172,0.066,0.131,0.162,0.109
"P18","No sabe",0.222,0.196,0.3,0.177,0.331
"P19","La seguridad",0.309,0.327,0.208,0.291,0.139
"P19","El tránsito",0.032,0.061,0.071,0.022,0.074
"P19","El arreglo de las calles",0.097,0.117,0.125,0.088,0.143
"P19","El estado de las escuelas y la educación",0.078,0.039,0.029,0.089,0.018
"P19","El sistema de salud",0.123,0.101,0.091,0.236,0.083
"P19","El deporte y la cultura",0.131,0.06,0.128,0.096,0.104
"P19","La obra pública",0.098,0.038,0.026,0,0.037
"P19","La luminaria",0.036,0.084,0.112,0.06,0.114
"P19","No sabe",0.096,0.173,0.21,0.118,0.288
"P20","La seguridad",0.139,0.171,0.266,0.242,0.183
"P20","El tránsito",0.158,0.077,0.069,0.069,0.092
"P20","El arreglo de las calles",0.136,0.206,0.165,0.117,0.052
"P20","El estado de las escuelas y la educación",0.173,0.187,0.188,0.109,0.155
"P20","El sistema de salud",0.204,0.145,0.155,0.237,0.237
"P20","El deporte y la cultura",0.047,0.023,0.024,0.048,0.019
"P20","La obra pública",0.039,0.091,0.038,0.068,0.035
"P20","La luminaria",0.012,0.008,0.065,0.064,0.051
"P20","No sabe",0.092,0.092,0.03,0.046,0.176
"P21","Agua corriente y cloacas",0.472,0.464,0.596,0.367,0.488
"P21","Energía eléctrica",0.1,0.112,0.051,0.108,0.117
"P21","Red de gas natural",0.084,0.091,0.095,0.068,0.041
"P21","Recolección de residuos",0.105,0.185,0.134,0.109,0.097
"P21","Ninguno",0.239,0.148,0.124,0.348,0.257
"P22","Los robos",0.266,0.303,0.354,0.182,0.189
"P22","El narcotráfico",0.369,0.336,0.185,0.118,0.269
"P22","La ausencia de patrulleros y personal policial",0.089,0.137,0.289,0.083,0.137
"P22","Otro",0.15,0.147,0.121,0.571,0.161
"P22","Ninguno",0.126,0.077,0.051,0.046,0.244
"P29","Muy buena",0.153,0.024,0.071,0.042,0.02
"P29","Buena",0.322,0.053,0.009,0.081,0.061
"P29","Ni buena ni mala",0.263,0.091,0.177,0.386,0.183
"P29","Mala",0.161,0.125,0.066,0.259,0.213
"P29","Muy mala",0.089,0.697,0.673,0.186,0.481
"P29","No sabe",0.012,0.01,0.004,0.046,0.042
"P30","Muy buena",0.073,0.304,0.065,0.016,0.018
"P30","Buena",0.052,0.265,0.188,0.13,0.086
"P30","Ni buena ni mala",0.066,0.233,0.253,0.228,0.225
"P30","Mala",0.178,0.1,0.225,0.23,0.265
"P30","Muy mala",0.615,0.098,0.265,0.38,0.368
"P30","No sabe",0.016,0,0.004,0.016,0.038
"P31","Muy buena",0.584,0.077,0.018,0.199,0.047
"P31","Buena",0.076,0.021,0.043,0.201,0.096
"P31","Ni buena ni mala",0.136,0.054,0.08,0.067,0.133
"P31","Mala",0.069,0.083,0.064,0.198,0.153
"P31","Muy mala",0.132,0.756,0.79,0.319,0.563
"P31","No sabe",0.003,0.009,0.005,0.016,0.008
"P32","Muy buena",0.197,0.319,0.133,0.161,0.066
"P32","Buena",0.03,0.339,0.207,0.184,0.165
"P32","Ni buena ni mala",0.108,0.193,0.308,0.16,0.351
"P32","Mala",0.205,0.04,0.132,0.079,0.155
"P32","Muy mala",0.434,0.109,0.215,0.4,0.213
"P32","No sabe",0.026,0,0.005,0.016,0.05
"P33","Muy buena",0.267,0.073,0.066,0.106,0.054
"P33","Buena",0.291,0.087,0.078,0.139,0.181
"P33","Ni buena ni mala",0.212,0.095,0.109,0.394,0.304
"P33","Mala",0.097,0.162,0.153,0.134,0.063
"P33","Muy mala",0.111,0.563,0.589,0.227,0.358
"P33","No sabe",0.022,0.02,0.005,0,0.04
"P34","Muy buena",0.092,0.486,0.289,0.143,0.077
"P34","Buena",0.058,0.203,0.199,0.047,0.149
"P34","Ni buena ni mala",0.041,0.139,0.204,0.167,0.213
"P34","Mala",0.115,0.048,0.102,0.076,0.184
"P34","Muy mala",0.646,0.122,0.185,0.542,0.32
"P34","No sabe",0.048,0.002,0.021,0.025,0.057
"P35","Muy buena",0.063,0.152,0.484,0.07,0.016
"P35","Buena",0.023,0.153,0.284,0.001,0.037
"P35","Ni buena ni mala",0.078,0.404,0.141,0.186,0.299
"P35","Mala",0.176,0.158,0.015,0.1,0.27
"P35","Muy mala",0.616,0.109,0.021,0.627,0.247
"P35","No sabe",0.044,0.024,0.055,0.016,0.131
