"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.743,0.09,0.097,0.085,0.181
"P07","Al candidato de Juntos por el Cambio",0.111,0.726,0.25,0.314,0.137
"P07","Al candidato de los liberales - libertarios",0.035,0.102,0.635,0.16,0.104
"P07","Al candidato de la Izquierda",0.001,0.002,0.007,0.423,0.033
"P07","A otro candidato",0.052,0.038,0.004,0.012,0.283
"P07","No sabe",0.058,0.042,0.007,0.006,0.262
"P08","A Julio Zamora por el Frente de Todos",0.684,0.093,0.11,0,0.065
"P08","A Malena Galmarini por el Frente de Todos",0.125,0.092,0.036,0.281,0.127
"P08","A Segundo Cernadas por Cambiemos",0.078,0.604,0.251,0.023,0.044
"P08","A Nicolás Massot por Cambiemos",0.082,0.143,0.11,0.338,0.032
"P08","Al candidato de los liberales libertarios",0.001,0.035,0.476,0,0.2
"P08","A Paula Akerfeld por el Frente de Izquierda",0.004,0.009,0.01,0.327,0.031
"P08","No sabe",0.026,0.024,0.007,0.031,0.501
"P12","A Malena Galmarini por el Frente de Todos",0.587,0.114,0.115,0.181,0.169
"P12","A Segundo Cernadas por Cambiemos",0.198,0.819,0.239,0.283,0.04
"P12","Al candidato de los liberales libertarios",0.016,0.026,0.617,0,0.129
"P12","A Paula Akerfeld por el Frente de Izquierda",0.017,0.004,0.009,0.522,0.001
"P12","No sabe",0.182,0.037,0.02,0.014,0.661
"P14","Muy buena",0.228,0.052,0.042,0.231,0.051
"P14","Buena",0.232,0.046,0.058,0.073,0.156
"P14","Ni buena ni mala",0.242,0.191,0.152,0.083,0.278
"P14","Mala",0.109,0.287,0.237,0.133,0.1
"P14","Muy mala",0.13,0.376,0.454,0.423,0.294
"P14","No sabe",0.059,0.048,0.057,0.057,0.121
"P15","Muy buena",0.375,0.059,0.132,0.07,0.029
"P15","Buena",0.327,0.14,0.071,0.097,0.107
"P15","Ni buena ni mala",0.232,0.244,0.257,0.156,0.265
"P15","Mala",0.024,0.248,0.26,0.157,0.216
"P15","Muy mala",0.03,0.264,0.254,0.5,0.281
"P15","No sabe",0.012,0.045,0.026,0.02,0.102
"P16","Muy buena",0.097,0.445,0.112,0.107,0.01
"P16","Buena",0.104,0.292,0.142,0.143,0.096
"P16","Ni buena ni mala",0.322,0.16,0.454,0.066,0.332
"P16","Mala",0.156,0.033,0.133,0.27,0.12
"P16","Muy mala",0.218,0.054,0.094,0.328,0.201
"P16","No sabe",0.103,0.016,0.065,0.086,0.241
"P17","Muy buena",0.069,0.045,0.056,0.142,0.026
"P17","Buena",0.025,0.048,0.031,0.037,0.023
"P17","Ni buena ni mala",0.351,0.354,0.385,0.225,0.247
"P17","Mala",0.075,0.077,0.128,0.137,0.073
"P17","Muy mala",0.015,0.086,0.128,0.236,0.124
"P17","No sabe",0.465,0.39,0.272,0.223,0.507
"P18","Muy buena",0.073,0.142,0.089,0.121,0.024
"P18","Buena",0.051,0.154,0.135,0.052,0.043
"P18","Ni buena ni mala",0.328,0.331,0.37,0.173,0.311
"P18","Mala",0.159,0.067,0.167,0.161,0.128
"P18","Muy mala",0.104,0.097,0.162,0.276,0.16
"P18","No sabe",0.285,0.209,0.077,0.217,0.334
"P19","La seguridad",0.302,0.315,0.193,0.28,0.184
"P19","El tránsito",0.062,0.063,0.048,0.01,0.011
"P19","El arreglo de las calles",0.171,0.083,0.095,0.064,0.092
"P19","El estado de las escuelas y la educación",0.04,0.049,0.005,0.017,0.077
"P19","El sistema de salud",0.121,0.109,0.102,0.08,0.048
"P19","El deporte y la cultura",0.114,0.09,0.092,0.08,0.123
"P19","La obra pública",0.086,0.017,0.081,0.062,0.01
"P19","La luminaria",0.046,0.101,0.132,0.104,0.089
