"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P07","Al candidato del Frente de Todos",0.233,0.197,0.036,0.257,0.408
"P07","Al candidato de Juntos por el Cambio",0.657,0.707,0.754,0.487,0.055
"P07","Al candidato de los liberales - libertarios",0.017,0.012,0.111,0,0.209
"P07","Al candidato de la Izquierda",0.009,0,0,0,0
"P07","A otro candidato",0.066,0.033,0.017,0.209,0.328
"P07","No sabe",0.018,0.051,0.082,0.047,0
"P08","A Julio Zamora por el Frente de Todos",0.162,0.216,0.051,0.258,0.649
"P08","A Malena Galmarini por el Frente de Todos",0.069,0.015,0.008,0.117,0
"P08","A Segundo Cernadas por Cambiemos",0.572,0.522,0.527,0.314,0
"P08","A Nicolás Massot por Cambiemos",0.171,0.215,0.251,0.212,0.023
"P08","Al candidato de los liberales libertarios",0.004,0.009,0.056,0,0.328
"P08","A Paula Akerfeld por el Frente de Izquierda",0.005,0,0,0,0
"P08","No sabe",0.017,0.023,0.107,0.099,0
"P10","A Julio Zamora por el Frente de Todos",0.287,0.267,0.075,0.277,0.44
"P10","A Segundo Cernadas por Cambiemos",0.565,0.565,0.637,0.443,0.023
"P10","Al candidato de los liberales libertarios",0.056,0.059,0.054,0.016,0.209
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.051,0.019,0.139,0
"P10","No sabe",0.092,0.058,0.215,0.125,0.328
"P12","A Malena Galmarini por el Frente de Todos",0.177,0.087,0.041,0.244,0.656
"P12","A Segundo Cernadas por Cambiemos",0.722,0.76,0.741,0.478,0.101
"P12","Al candidato de los liberales libertarios",0.004,0.024,0.061,0.017,0.209
"P12","A Paula Akerfeld por el Frente de Izquierda",0,0,0,0.139,0
"P12","No sabe",0.097,0.129,0.157,0.122,0.034
"P14","Muy buena",0.046,0.041,0.014,0.096,0
"P14","Buena",0.027,0.047,0.107,0.132,0.328
"P14","Ni buena ni mala",0.332,0.154,0.084,0.221,0.537
"P14","Mala",0.297,0.273,0.329,0.254,0.032
"P14","Muy mala",0.187,0.461,0.456,0.282,0.057
"P14","No sabe",0.111,0.024,0.01,0.015,0.046
"P15","Muy buena",0.106,0.106,0.006,0.096,0.066
"P15","Buena",0.157,0.135,0.157,0.253,0.046
"P15","Ni buena ni mala",0.413,0.274,0.241,0.098,0.537
"P15","Mala",0.139,0.226,0.231,0.251,0.023
"P15","Muy mala",0.167,0.228,0.348,0.248,0.328
"P15","No sabe",0.018,0.031,0.017,0.054,0
"P16","Muy buena",0.312,0.437,0.319,0.402,0.328
"P16","Buena",0.227,0.253,0.345,0.105,0.351
"P16","Ni buena ni mala",0.387,0.212,0.218,0.143,0.289
"P16","Mala",0.037,0.018,0.049,0.139,0
"P16","Muy mala",0.005,0.06,0.028,0.164,0
"P16","No sabe",0.032,0.02,0.041,0.047,0.032
"P17","Muy buena",0.03,0.075,0.03,0.096,0.328
"P17","Buena",0.049,0.033,0.012,0,0
"P17","Ni buena ni mala",0.435,0.435,0.257,0.439,0.209
"P17","Mala",0.127,0.042,0.102,0.008,0
"P17","Muy mala",0.033,0.066,0.038,0,0.362
"P17","No sabe",0.326,0.349,0.561,0.457,0.101
"P18","Muy buena",0.09,0.164,0.165,0.042,0.36
"P18","Buena",0.083,0.09,0.308,0.095,0
"P18","Ni buena ni mala",0.472,0.481,0.219,0.403,0.243
"P18","Mala",0.058,0.032,0.113,0.074,0
"P18","Muy mala",0.031,0.106,0.038,0.054,0.328
"P18","No sabe",0.266,0.127,0.157,0.332,0.069
"P19","La seguridad",0.375,0.329,0.34,0.567,0.649
"P19","El tránsito",0.083,0.052,0.06,0.008,0
"P19","El arreglo de las calles",0.144,0.058,0.11,0.132,0
"P19","El estado de las escuelas y la educación",0.013,0.028,0.042,0,0
"P19","El sistema de salud",0.072,0.094,0.085,0.062,0
"P19","El deporte y la cultura",0.051,0.101,0.07,0,0
"P19","La obra pública",0.084,0.068,0.012,0.062,0
"P19","La luminaria",0.076,0.087,0.082,0.031,0.023
"P19","No sabe",0.102,0.183,0.199,0.138,0.328
"P20","La seguridad",0.209,0.164,0.081,0.047,0.537
"P20","El tránsito",0.047,0.115,0.064,0.169,0
"P20","El arreglo de las calles",0.211,0.164,0.223,0.328,0.046
"P20","El estado de las escuelas y la educación",0.209,0.078,0.272,0.231,0.023
"P20","El sistema de salud",0.083,0.123,0.243,0.068,0
"P20","El deporte y la cultura",0.012,0.084,0.018,0,0
"P20","La obra pública",0.124,0.093,0.037,0.157,0.328
"P20","La luminaria",0,0.055,0,0,0
"P20","No sabe",0.105,0.124,0.062,0,0.066
"P21","Agua corriente y cloacas",0.461,0.45,0.45,0.305,0.736
"P21","Energía eléctrica",0.125,0.122,0.069,0.137,0.055
"P21","Red de gas natural",0.074,0.115,0.17,0.108,0
"P21","Recolección de residuos",0.16,0.218,0.134,0.398,0.209
