"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P07","Si",0.943,0.866,0.65,0.795,0.629,0.87,0.865,0.462
"P07","Puede ser",0.036,0.115,0.132,0.093,0.258,0.069,0.12,0.114
"P07","No",0.021,0.019,0.218,0.112,0.113,0.061,0.015,0.424
"P23","Si",0.956,0.862,0.858,0.662,0.757,0.774,0.804,0.638
"P23","No",0.044,0.138,0.142,0.338,0.243,0.226,0.196,0.362
"P24","Inflación",0.279,0.249,0.229,0.151,0.098,0.198,0.008,0.241
"P24","Desempleo",0.25,0.079,0.059,0.187,0.118,0.117,0.234,0.195
"P24","Corrupción",0.091,0.459,0.414,0.454,0.408,0.411,0.26,0.258
"P24","Precio del dólar",0.031,0.017,0.006,0.025,0.035,0,0.051,0.014
"P24","Inseguridad",0.083,0.074,0.072,0.034,0,0.043,0.123,0.067
"P24","Pobreza",0.141,0.048,0.034,0.13,0.159,0.208,0.143,0.083
"P24","Narcotráfico",0.017,0.018,0.002,0,0,0.018,0.014,0.02
"P24","Tarifas",0.029,0.007,0.037,0,0,0,0.04,0.033
"P24","Otro",0.064,0.024,0.124,0.019,0.182,0.005,0.052,0.047
"P24","No sabe",0.015,0.025,0.023,0,0,0,0.075,0.042
"P30","Gran excedente habitual",0.003,0.002,0,0,0,0.006,0,0
"P30","Gran excedente excepcional",0.01,0.012,0,0,0,0.006,0.059,0.023
"P30","Pequeño excedente habitual",0.106,0.042,0.026,0.039,0.038,0.142,0.006,0.004
"P30","Pequeño excedente excepcional",0.105,0.045,0.111,0.072,0.167,0.115,0.09,0.016
"P30","Alcanza gastos familia",0.2,0.083,0.132,0.082,0.141,0.077,0.033,0.038
"P30","No alcanza gastos familia",0.097,0.166,0.202,0.196,0.048,0.228,0.476,0.393
"P30","Solo NBFamiliares",0.203,0.261,0.347,0.312,0.37,0.101,0.1,0.102
"P30","No alcanza NBFamiliares",0.272,0.356,0.133,0.29,0.236,0.325,0.236,0.351
"P30","No sabe",0.004,0.033,0.049,0.009,0,0,0,0.073
"P33","Mejor",0.433,0.009,0.015,0.068,0.037,0.044,0.097,0.096
"P33","Igual",0.386,0.126,0.204,0.106,0.385,0.079,0.27,0.261
"P33","Peor",0.085,0.796,0.708,0.685,0.374,0.814,0.35,0.596
"P33","No sabe",0.096,0.069,0.073,0.141,0.204,0.063,0.283,0.047
"P36","Mejor",0.566,0.021,0.061,0,0.046,0.053,0.241,0.013
"P36","Igual",0.21,0.095,0.115,0.131,0.26,0.025,0.173,0.267
"P36","Peor",0.149,0.856,0.751,0.67,0.541,0.791,0.324,0.625
"P36","No sabe",0.075,0.028,0.073,0.199,0.153,0.131,0.262,0.095
"P42","Muy buena",0.411,0.012,0,0,0,0,0.312,0.059
"P42","Buena",0.438,0.038,0.024,0.048,0.102,0.005,0.066,0.107
"P42","Ni buena ni mala",0.084,0.035,0.051,0.164,0.157,0.154,0.338,0.169
"P42","Mala",0.005,0.191,0.181,0.226,0.212,0.155,0.056,0.143
"P42","Muy mala",0.062,0.722,0.74,0.514,0.428,0.686,0.228,0.366
"P42","No sabe",0,0.002,0.004,0.048,0.101,0,0,0.156
"P43","Muy buena",0.702,0.014,0.024,0,0.076,0,0.27,0.097
"P43","Buena",0.123,0.018,0.005,0.031,0.17,0,0.03,0.078
"P43","Ni buena ni mala",0.073,0.071,0.014,0.061,0.213,0.16,0.122,0.149
"P43","Mala",0.012,0.077,0.055,0.033,0.012,0.077,0.051,0.115
"P43","Muy mala",0.084,0.82,0.842,0.826,0.427,0.763,0.527,0.342
"P43","No sabe",0.006,0,0.06,0.049,0.102,0,0,0.219
"P44","Muy buena",0.052,0.353,0.082,0,0.133,0.031,0.173,0.047
"P44","Buena",0.031,0.283,0.2,0,0.051,0.085,0.013,0.065
"P44","Ni buena ni mala",0.044,0.174,0.257,0.352,0.126,0.272,0.015,0.176
"P44","Mala",0.155,0.144,0.18,0.235,0.012,0.232,0.232,0.212
"P44","Muy mala",0.718,0.046,0.281,0.413,0.567,0.38,0.567,0.334
"P44","No sabe",0,0,0,0,0.111,0,0,0.166
"P45","Muy buena",0.06,0.473,0.22,0.081,0.256,0.052,0,0.076
"P45","Buena",0.067,0.269,0.34,0.258,0.225,0.256,0.117,0.061
"P45","Ni buena ni mala",0.219,0.138,0.249,0.321,0.14,0.259,0.077,0.318
"P45","Mala",0.255,0.054,0.097,0.067,0.091,0.163,0.078,0.075
"P45","Muy mala",0.382,0.036,0.09,0.273,0.118,0.27,0.418,0.316
"P45","No sabe",0.017,0.03,0.004,0,0.17,0,0.31,0.154
"P64","Totalmente de acuerdo",0.545,0.048,0.044,0.159,0.214,0.105,0.511,0.022
"P64","Bastante de acuerdo",0.336,0.043,0.051,0.075,0.172,0.017,0.279,0.22
"P64","Poco de acuerdo",0.071,0.266,0.485,0.561,0.22,0.24,0.027,0.353
"P64","Nada de acuerdo",0.025,0.577,0.333,0.13,0.223,0.481,0.131,0.265
"P64","No sabe",0.023,0.066,0.087,0.075,0.171,0.157,0.052,0.14
"P67","Si, hay mucha información en los medios y comprendo las medidas preventivas",0.63,0.444,0.409,0.3,0.505,0.336,0.418,0.474
"P67","Si, hay mucha información, aunque muchas veces es contradictoria",0.264,0.301,0.245,0.153,0.116,0.555,0.28,0.251
"P67","Mas o menos. Es difícil creerle a los que informan",0.088,0.209,0.163,0.247,0.196,0.104,0.018,0.213
"P67","No, la información es escasa y difícil de entender",0,0.017,0.081,0,0.161,0.005,0,0.009
"P67","No, la información no es confiable y es imposible de entender",0.007,0.026,0.028,0.045,0,0,0.018,0.039
"P67","No sabe",0.011,0.003,0.074,0.255,0.022,0,0.266,0.014
"P74","La Pfizer, fabricada en Estados Unidos",0.133,0.519,0.376,0.073,0.165,0.158,0.016,0.21
"P74","La Sputnik, fabricada en Rusia",0.596,0.123,0.059,0.322,0.119,0.217,0.337,0.268
"P74","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México",0.06,0.003,0.008,0,0.196,0.008,0.206,0.026
"P74","La vacuna de Oxford, fabricada por AstraZeneca en India",0.002,0.002,0.005,0,0,0.009,0.04,0
"P74","La vacuna China fabricada en China",0.003,0.005,0.01,0.351,0.141,0,0,0
"P74","Me resultan todas confiables",0.199,0.18,0.238,0.157,0.358,0.295,0.401,0.181
"P74","No sabe",0.007,0.168,0.304,0.097,0.021,0.313,0,0.315
