"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P08","Empleado sector publico",0.496,0.227,0.269,0.267,0.21,0.175,0.203,0.346,0.222,0.201
"P08","Empleado sector privado",0.153,0.399,0.318,0.309,0.347,0.407,0.399,0.255,0.276,0.134
"P08","Changas o trabajos eventuales",0.222,0.219,0.13,0.139,0.138,0.124,0.159,0.191,0.251,0.371
"P08","Estudiante",0.012,0,0.115,0,0.062,0.084,0,0,0.072,0.009
"P08","Amas de casa",0.031,0.041,0.039,0.048,0.061,0.035,0.101,0.032,0.054,0.105
"P08","Profesional o independiente",0.023,0.076,0.055,0.112,0.059,0.05,0.028,0.152,0.028,0.025
"P08","Comerciante, emprendedor o empresario",0.034,0.012,0.027,0.087,0.077,0,0.007,0.024,0.036,0.102
"P08","Trabajador informal",0.013,0.011,0.009,0.014,0.008,0.017,0,0,0.002,0
"P08","No tengo trabajo",0.016,0.015,0.038,0.024,0.038,0.108,0.103,0,0.059,0.053
"P09","Siempre",0.526,0.173,0.12,0.262,0.131,0.126,0.213,0.069,0.171,0.302
"P09","Casi siempre",0.225,0.557,0.467,0.362,0.468,0.251,0.347,0.397,0.231,0.312
"P09","Casi nunca",0.18,0.17,0.291,0.262,0.316,0.5,0.402,0.423,0.398,0.241
"P09","Nunca, pero esta es una excepción",0.069,0.1,0.122,0.114,0.085,0.123,0.038,0.111,0.2,0.145
"P10","Muy buena",0.448,0.14,0.081,0.113,0.19,0.127,0.205,0.057,0.121,0.186
"P10","Buena",0.09,0.432,0.192,0.169,0.347,0.163,0.411,0.175,0.084,0.104
"P10","Ni buena ni mala",0.26,0.235,0.598,0.411,0.313,0.468,0.303,0.583,0.287,0.439
"P10","Mala",0.106,0.12,0.106,0.119,0.126,0.188,0.075,0.167,0.262,0.119
"P10","Muy mala",0.08,0.054,0.022,0.038,0.011,0.008,0.006,0.018,0.245,0.03
"P10","No sabe",0.016,0.019,0.001,0.15,0.013,0.046,0,0,0.001,0.122
"P11","Muy buena",0.496,0.179,0.082,0.196,0.268,0.087,0.241,0.056,0.061,0.117
"P11","Buena",0.102,0.425,0.33,0.221,0.336,0.326,0.446,0.39,0.133,0.235
"P11","Ni buena ni mala",0.219,0.277,0.421,0.286,0.312,0.304,0.141,0.404,0.271,0.323
"P11","Mala",0.055,0.031,0.13,0.142,0.064,0.206,0.172,0.139,0.335,0.136
"P11","Muy mala",0.117,0.069,0.02,0.01,0.013,0.031,0,0,0.188,0.03
"P11","No sabe",0.011,0.019,0.017,0.145,0.007,0.046,0,0.011,0.012,0.159
"P13","Muy buena",0.461,0.151,0.086,0.181,0.25,0.097,0.252,0.056,0.083,0.181
"P13","Buena",0.161,0.463,0.16,0.234,0.345,0.28,0.395,0.376,0.121,0.149
"P13","Ni buena ni mala",0.134,0.242,0.645,0.289,0.256,0.287,0.213,0.439,0.317,0.398
"P13","Mala",0.183,0.072,0.089,0.146,0.121,0.194,0.116,0.105,0.195,0.155
"P13","Muy mala",0.051,0.053,0.02,0.036,0.007,0.096,0.024,0.024,0.277,0.025
"P13","No sabe",0.01,0.019,0,0.114,0.021,0.046,0,0,0.007,0.092
"P14","Muy buena",0.418,0.083,0.038,0.085,0.03,0.041,0.23,0.032,0.069,0.135
"P14","Buena",0.119,0.38,0.066,0.208,0.191,0.148,0.221,0.227,0.066,0.117
"P14","Ni buena ni mala",0.191,0.174,0.352,0.247,0.299,0.387,0.21,0.388,0.205,0.19
"P14","Mala",0.174,0.175,0.302,0.268,0.428,0.17,0.174,0.211,0.3,0.296
"P14","Muy mala",0.087,0.151,0.085,0.126,0.047,0.227,0.165,0.137,0.353,0.107
"P14","No sabe",0.011,0.037,0.157,0.066,0.005,0.027,0,0.005,0.007,0.155
"P15","Muy buena",0.429,0.09,0.079,0.103,0.057,0.029,0.221,0.132,0.047,0.142
"P15","Buena",0.084,0.301,0.078,0.162,0.223,0.156,0.258,0.128,0.071,0.132
"P15","Ni buena ni mala",0.248,0.298,0.42,0.32,0.454,0.313,0.285,0.436,0.21,0.382
"P15","Mala",0.136,0.108,0.194,0.18,0.202,0.344,0.103,0.185,0.281,0.137
"P15","Muy mala",0.085,0.148,0.102,0.117,0.046,0.113,0.118,0.103,0.371,0.088
"P15","No sabe",0.018,0.055,0.127,0.118,0.018,0.045,0.015,0.016,0.02,0.119
"P16","Muy buena",0.417,0.156,0.107,0.107,0.117,0.1,0.19,0.13,0.147,0.136
"P16","Buena",0.165,0.34,0.075,0.185,0.21,0.142,0.221,0.192,0.091,0.188
"P16","Ni buena ni mala",0.237,0.238,0.265,0.186,0.313,0.365,0.22,0.355,0.134,0.175
"P16","Mala",0.107,0.129,0.321,0.22,0.27,0.145,0.194,0.218,0.254,0.185
"P16","Muy mala",0.061,0.101,0.068,0.145,0.073,0.217,0.172,0.095,0.37,0.092
"P16","No sabe",0.013,0.036,0.164,0.157,0.017,0.031,0.003,0.01,0.004,0.224
"P17","Muy buena",0.442,0.117,0.094,0.132,0.088,0.058,0.114,0.018,0.104,0.098
"P17","Buena",0.075,0.32,0.17,0.184,0.298,0.19,0.289,0.146,0.155,0.106
"P17","Ni buena ni mala",0.143,0.22,0.305,0.162,0.199,0.217,0.161,0.242,0.134,0.092
"P17","Mala",0.173,0.082,0.243,0.171,0.214,0.185,0.146,0.277,0.147,0.286
"P17","Muy mala",0.154,0.26,0.136,0.298,0.19,0.323,0.29,0.312,0.456,0.266
"P17","No sabe",0.013,0.001,0.052,0.053,0.011,0.027,0,0.005,0.004,0.152
"P18","Muy buena",0.483,0.267,0.162,0.294,0.255,0.301,0.373,0.305,0.311,0.233
"P18","Buena",0.177,0.303,0.185,0.201,0.179,0.146,0.18,0.241,0.065,0.25
"P18","Ni buena ni mala",0.114,0.154,0.158,0.127,0.16,0.157,0.2,0.052,0.124,0.161
"P18","Mala",0.128,0.11,0.177,0.138,0.183,0.202,0.039,0.137,0.163,0.172
"P18","Muy mala",0.088,0.157,0.286,0.184,0.22,0.167,0.131,0.265,0.333,0.077
"P18","No sabe",0.01,0.009,0.032,0.056,0.003,0.027,0.077,0,0.004,0.107
"P20","Muy buena",0.366,0.048,0.084,0.143,0.046,0.081,0.128,0.122,0.049,0.026
"P20","Buena",0.076,0.386,0.114,0.276,0.216,0.165,0.256,0.131,0.067,0.157
"P20","Ni buena ni mala",0.202,0.228,0.447,0.21,0.469,0.404,0.301,0.302,0.252,0.306
"P20","Mala",0.188,0.126,0.099,0.116,0.17,0.172,0.107,0.306,0.2,0.12
"P20","Muy mala",0.145,0.117,0.064,0.138,0.07,0.146,0.203,0.139,0.412,0.117
"P20","No sabe",0.023,0.095,0.192,0.117,0.029,0.032,0.005,0,0.02,0.274
"P21","Si",0.59,0.502,0.519,0.404,0.644,0.4,0.766,0.436,0.25,0.251
"P21","No",0.288,0.337,0.226,0.409,0.175,0.227,0.182,0.435,0.57,0.349
"P21","No sabe",0.122,0.161,0.255,0.187,0.181,0.373,0.052,0.129,0.18,0.4
"P23","Gobierno nacional",0.408,0.281,0.411,0.316,0.384,0.177,0.296,0.089,0.171,0.183
"P23","Gobierno provincial",0.514,0.561,0.355,0.529,0.52,0.649,0.629,0.657,0.755,0.551
"P23","No sabe",0.078,0.158,0.234,0.155,0.096,0.174,0.075,0.254,0.074,0.266
"P24","El gobierno anterior de Omar Gutierrez",0.677,0.217,0.237,0.487,0.508,0.319,0.546,0.267,0.438,0.331
"P24","El actual gobierno de Rolo Figueroa",0.114,0.496,0.146,0.193,0.108,0.358,0.215,0.284,0.223,0.312
"P24","No sabe",0.209,0.287,0.617,0.32,0.384,0.323,0.239,0.449,0.339,0.357
"P25","El gobierno anterior de Alberto Fernández",0.664,0.505,0.129,0.466,0.443,0.16,0.221,0.417,0.373,0.596
"P25","El actual gobierno de Javier Milei",0.336,0.363,0.611,0.46,0.532,0.495,0.52,0.583,0.57,0.314
"P25","No sabe",0,0.132,0.26,0.074,0.025,0.345,0.259,0,0.057,0.09
"P26","Si",0.812,0.667,0.961,0.896,0.927,0.878,0.868,0.941,0.889,0.634
"P26","No",0.188,0.333,0.039,0.104,0.073,0.122,0.132,0.059,0.111,0.366
"P27","Si",0.494,0.234,0.356,0.376,0.374,0.332,0.154,0.411,0.229,0.082
"P27","No estoy seguro",0.329,0.553,0.437,0.348,0.436,0.417,0.411,0.349,0.403,0.369
"P27","No",0.088,0.101,0.101,0.2,0.111,0.139,0.172,0.146,0.327,0.339
"P27","No sabe",0.089,0.112,0.106,0.076,0.079,0.112,0.263,0.094,0.041,0.21
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.342,0.162,0.22,0.356,0.221,0.23,0.24,0.346,0.321,0.134
"P28","Investigaciones científicas no declaradas con fines secretos",0.323,0.441,0.286,0.169,0.357,0.173,0.24,0.179,0.195,0.224
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.103,0.071,0.273,0.126,0.141,0.091,0.186,0.21,0.261,0.129
"P28","Otro",0.132,0.083,0.057,0.101,0.079,0.23,0.152,0.054,0.026,0.067
"P28","No sabe",0.1,0.243,0.164,0.248,0.202,0.276,0.182,0.211,0.197,0.446
"P29","Es imposible",0.451,0.135,0.148,0.292,0.251,0.338,0.351,0.169,0.44,0.148
"P29","Es muy difícil",0.28,0.434,0.309,0.282,0.286,0.227,0.244,0.308,0.184,0.326
"P29","Es bastante factible",0.118,0.125,0.169,0.063,0.187,0.125,0.191,0.082,0.106,0.085
"P29","Es posible",0.074,0.211,0.212,0.284,0.199,0.265,0.116,0.369,0.17,0.094
"P29","No sabe",0.077,0.095,0.162,0.079,0.077,0.045,0.098,0.072,0.1,0.347
"P30","Si",0.663,0.212,0.402,0.395,0.372,0.342,0.54,0.372,0.512,0.295
"P30","Es probable",0.141,0.443,0.131,0.223,0.174,0.164,0.14,0.136,0.156,0.298
"P30","No",0.141,0.216,0.389,0.276,0.354,0.331,0.281,0.342,0.196,0.17
"P30","No sabe",0.055,0.129,0.078,0.106,0.1,0.163,0.039,0.15,0.136,0.237
"P31","De acuerdo",0.698,0.309,0.529,0.604,0.476,0.513,0.653,0.586,0.613,0.504
"P31","Ni de acuerdo ni en desacuerdo",0.144,0.517,0.243,0.079,0.227,0.103,0.106,0.11,0.143,0.179
"P31","En desacuerdo",0.127,0.162,0.188,0.224,0.236,0.292,0.231,0.297,0.202,0.105
"P31","No sabe",0.031,0.012,0.04,0.093,0.061,0.092,0.01,0.007,0.042,0.212
"P32","Si",0.825,0.493,0.841,0.717,0.83,0.582,0.777,0.606,0.619,0.45
"P32","No",0.086,0.356,0.081,0.242,0.07,0.12,0.087,0.191,0.238,0.219
"P32","No sabe",0.089,0.151,0.078,0.041,0.1,0.298,0.136,0.203,0.143,0.331
"P33","Muy de acuerdo",0.382,0.161,0.066,0.095,0.188,0.109,0.233,0.084,0.384,0.177
