"var","categoria","Peor","Igual","Mejor","No sabe"
"P08","Empleado sector publico",0.378,0.207,0.307,0.153
"P08","Empleado sector privado",0.212,0.366,0.28,0.34
"P08","Changas o trabajos eventuales",0.19,0.21,0.127,0.2
"P08","Estudiante",0.047,0.027,0.056,0.016
"P08","Amas de casa",0.048,0.052,0.055,0.033
"P08","Profesional o independiente",0.042,0.045,0.067,0.103
"P08","Comerciante, emprendedor o empresario",0.034,0.034,0.05,0.133
"P08","Trabajador informal",0.004,0.013,0.003,0.006
"P08","No tengo trabajo",0.045,0.046,0.055,0.016
"P09","Siempre",0.335,0.175,0.196,0.096
"P09","Casi siempre",0.24,0.444,0.431,0.134
"P09","Casi nunca",0.316,0.291,0.244,0.378
"P09","Nunca, pero esta es una excepción",0.109,0.09,0.129,0.392
"P10","Muy buena",0.216,0.161,0.265,0.143
"P10","Buena",0.088,0.294,0.338,0.129
"P10","Ni buena ni mala",0.303,0.418,0.271,0.27
"P10","Mala",0.216,0.094,0.074,0.23
"P10","Muy mala",0.163,0.02,0,0.016
"P10","No sabe",0.014,0.013,0.052,0.212
"P11","Muy buena",0.205,0.18,0.401,0.099
"P11","Buena",0.156,0.337,0.332,0.176
"P11","Ni buena ni mala",0.268,0.361,0.154,0.249
"P11","Mala",0.188,0.095,0.06,0.281
"P11","Muy mala",0.166,0.012,0.003,0.031
"P11","No sabe",0.017,0.015,0.05,0.164
"P13","Muy buena",0.225,0.157,0.399,0.033
"P13","Buena",0.133,0.35,0.256,0.201
"P13","Ni buena ni mala",0.245,0.356,0.254,0.366
"P13","Mala",0.227,0.108,0.039,0.089
"P13","Muy mala",0.158,0.021,0.003,0.147
"P13","No sabe",0.012,0.008,0.049,0.164
"P14","Muy buena",0.216,0.07,0.123,0.082
"P14","Buena",0.088,0.241,0.171,0.073
"P14","Ni buena ni mala",0.223,0.291,0.177,0.284
"P14","Mala",0.241,0.272,0.333,0.087
"P14","Muy mala",0.214,0.109,0.146,0.231
"P14","No sabe",0.018,0.017,0.05,0.243
"P15","Muy buena",0.193,0.115,0.133,0.095
"P15","Buena",0.134,0.181,0.067,0.166
"P15","Ni buena ni mala",0.226,0.397,0.443,0.249
"P15","Mala",0.198,0.18,0.126,0.217
"P15","Muy mala",0.232,0.076,0.17,0.103
"P15","No sabe",0.017,0.051,0.061,0.17
"P16","Muy buena",0.26,0.138,0.134,0.071
"P16","Buena",0.155,0.231,0.093,0.171
"P16","Ni buena ni mala",0.151,0.326,0.299,0.152
"P16","Mala",0.193,0.178,0.26,0.167
"P16","Muy mala",0.196,0.1,0.159,0.216
"P16","No sabe",0.045,0.027,0.055,0.223
"P17","Muy buena",0.269,0.106,0.093,0.115
"P17","Buena",0.182,0.204,0.166,0.064
"P17","Ni buena ni mala",0.12,0.213,0.159,0.232
"P17","Mala",0.159,0.196,0.246,0.102
"P17","Muy mala",0.258,0.265,0.319,0.381
"P17","No sabe",0.012,0.016,0.017,0.106
"P18","Muy buena",0.31,0.306,0.39,0.274
"P18","Buena",0.133,0.238,0.173,0.166
"P18","Ni buena ni mala",0.129,0.138,0.135,0.102
"P18","Mala",0.146,0.178,0.118,0.061
"P18","Muy mala",0.268,0.125,0.182,0.225
"P18","No sabe",0.014,0.015,0.002,0.172
"P20","Muy buena",0.186,0.081,0.118,0.022
"P20","Buena",0.146,0.192,0.216,0.197
"P20","Ni buena ni mala",0.262,0.373,0.25,0.233
"P20","Mala",0.129,0.169,0.212,0.123
"P20","Muy mala",0.224,0.135,0.15,0.179
"P20","No sabe",0.053,0.05,0.054,0.246
"P21","Si",0.413,0.482,0.736,0.324
"P21","No",0.425,0.323,0.177,0.331
"P21","No sabe",0.162,0.195,0.087,0.345
"P23","Gobierno nacional",0.4,0.245,0.223,0.13
"P23","Gobierno provincial",0.511,0.639,0.549,0.537
"P23","No sabe",0.089,0.116,0.228,0.333
"P24","El gobierno anterior de Omar Gutierrez",0.471,0.396,0.416,0.276
"P24","El actual gobierno de Rolo Figueroa",0.263,0.23,0.273,0.259
"P24","No sabe",0.266,0.374,0.311,0.465
"P25","El gobierno anterior de Alberto Fernández",0.409,0.432,0.532,0.314
"P25","El actual gobierno de Javier Milei",0.573,0.436,0.364,0.474
"P25","No sabe",0.018,0.132,0.104,0.212
"P26","Si",0.857,0.836,0.877,0.765
"P26","No",0.143,0.164,0.123,0.235
"P27","Si",0.458,0.269,0.218,0.244
"P27","No estoy seguro",0.315,0.478,0.429,0.378
"P27","No",0.163,0.179,0.164,0.143
"P27","No sabe",0.064,0.074,0.189,0.235
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.274,0.263,0.245,0.229
"P28","Investigaciones científicas no declaradas con fines secretos",0.24,0.31,0.337,0.155
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.152,0.187,0.174,0.1
"P28","Otro",0.099,0.076,0.063,0.134
"P28","No sabe",0.235,0.164,0.181,0.382
"P29","Es imposible",0.391,0.257,0.248,0.304
"P29","Es muy difícil",0.211,0.345,0.38,0.193
"P29","Es bastante factible",0.136,0.145,0.064,0.047
"P29","Es posible",0.205,0.16,0.223,0.138
"P29","No sabe",0.057,0.093,0.085,0.318
"P30","Si",0.479,0.386,0.503,0.387
"P30","Es probable",0.157,0.276,0.214,0.124
"P30","No",0.275,0.237,0.218,0.188
"P30","No sabe",0.089,0.101,0.065,0.301
"P31","De acuerdo",0.547,0.517,0.707,0.483
"P31","Ni de acuerdo ni en desacuerdo",0.163,0.256,0.144,0.211
"P31","En desacuerdo",0.266,0.172,0.127,0.097
"P31","No sabe",0.024,0.055,0.022,0.209
"P32","Si",0.676,0.659,0.861,0.613
"P32","No",0.207,0.193,0.095,0.102
"P32","No sabe",0.117,0.148,0.044,0.285
"P33","Muy de acuerdo",0.324,0.171,0.178,0.096
"P33","De acuerdo",0.143,0.284,0.235,0.19
"P33","Ni de acuerdo ni en desacuerdo",0.119,0.146,0.236,0.161
"P33","En desacuerdo",0.337,0.319,0.309,0.306
"P33","Muy en desacuerdo",0.074,0.067,0.029,0.073
"P33","No sabe",0.003,0.013,0.013,0.174
"P34","Si",0.774,0.671,0.706,0.543
"P34","No",0.226,0.329,0.294,0.457
"P35","Muy de acuerdo",0.354,0.15,0.315,0.185
"P35","De acuerdo",0.143,0.286,0.153,0.243
"P35","Ni de acuerdo ni en desacuerdo",0.108,0.206,0.156,0.094
"P35","En desacuerdo",0.261,0.264,0.272,0.27
"P35","Muy en desacuerdo",0.132,0.091,0.087,0.102
"P35","No sabe",0.002,0.003,0.017,0.106
"P36","1-Excelente",0.287,0.171,0.175,0.027
"P36","2",0.102,0.164,0.086,0.051
"P36","3",0.037,0.063,0.039,0.206
"P36","4",0.029,0.062,0.083,0.065
"P36","5",0.132,0.184,0.22,0.055
"P36","6",0.015,0.057,0.029,0.011
"P36","7",0.038,0.025,0.09,0.022
"P36","8",0.019,0.025,0.095,0.008
"P36","9-Pésimo",0.294,0.144,0.099,0.244
"P36","No sabe",0.047,0.105,0.084,0.311
"P37","1-Excelente",0.237,0.118,0.118,0.027
"P37","2",0.117,0.15,0.123,0.101
"P37","3",0.038,0.071,0.108,0.03
"P37","4",0.078,0.055,0.088,0.188
"P37","5",0.107,0.219,0.247,0.064
"P37","6",0.05,0.083,0.141,0.032
"P37","7",0.036,0.057,0.04,0.05
"P37","8",0.042,0.043,0.029,0.008
"P37","9-Pésimo",0.264,0.145,0.092,0.233
"P37","No sabe",0.031,0.059,0.014,0.267
"P38","1-Excelente",0.253,0.166,0.092,0.018
"P38","2",0.09,0.139,0.139,0.093
"P38","3",0.044,0.096,0.089,0.103
"P38","4",0.066,0.102,0.093,0.11
"P38","5",0.126,0.131,0.185,0.054
"P38","6",0.024,0.078,0.125,0.109
"P38","7",0.039,0.044,0.12,0.04
"P38","8",0.029,0.045,0.04,0.032
"P38","9-Pésimo",0.272,0.12,0.102,0.174
"P38","No sabe",0.057,0.079,0.015,0.267
"P39","1-Excelente",0.256,0.156,0.074,0.018
"P39","2",0.129,0.122,0.126,0.041
"P39","3",0.04,0.107,0.168,0.073
"P39","4",0.058,0.07,0.061,0.234
"P39","5",0.109,0.208,0.21,0.044
"P39","6",0.04,0.084,0.063,0.027
"P39","7",0.042,0.043,0.109,0.011
"P39","8",0.022,0.018,0.086,0.027
"P39","9-Pésimo",0.258,0.128,0.085,0.219
"P39","No sabe",0.046,0.064,0.018,0.306
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.559,0.331,0.307,0.236
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.152,0.218,0.264,0.098
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.139,0.199,0.283,0.27
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.14,0.178,0.097,0.119
"P40","No sabe",0.01,0.074,0.049,0.277
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.51,0.259,0.181,0.157
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.156,0.193,0.226,0.086
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.184,0.308,0.501,0.302
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.136,0.184,0.088,0.161
"P41","No sabe",0.014,0.056,0.004,0.294
"P42","Oponerse totalmente",0.5,0.245,0.155,0.206
"P42","Oponerse parcialmente",0.09,0.184,0.217,0.119
"P42","Apoyar parcialmente",0.19,0.278,0.443,0.107
"P42","Apoyar totalmente",0.211,0.25,0.177,0.213
"P42","No sabe",0.009,0.043,0.008,0.355
"P43","Inseguridad y narcotráfico",0.389,0.298,0.238,0.356
"P43","Altos impuestos y tarifas",0.217,0.253,0.375,0.143
"P43","Educación y estado de las escuelas",0.168,0.202,0.166,0.058
"P43","Inflación",0.117,0.142,0.122,0.34
"P43","Estado de la salud",0.061,0.059,0.066,0.09
"P43","Corrupción",0.024,0.023,0.008,0
"P43","Pobreza",0.008,0.002,0.023,0.013
"P43","Medio ambiente, incendios y contaminación",0.007,0,0,0
"P43","Falta de trabajo",0.002,0.015,0,0
"P43","No sabe",0.007,0.006,0.002,0
"P47","Muy buena",0.214,0.047,0.07,0.007
"P47","Buena",0.15,0.38,0.414,0.089
"P47","Ni buena ni mala",0.244,0.37,0.414,0.288
"P47","Mala",0.245,0.154,0.031,0.452
"P47","Muy mala",0.131,0.043,0.001,0
"P47","No sabe",0.016,0.006,0.07,0.164
"P49","Peor",0.718,0.124,0.065,0.151
"P49","Igual",0.192,0.518,0.204,0.139
"P49","Mejor",0.08,0.248,0.712,0.202
"P49","No sabe",0.01,0.11,0.019,0.508
"P50","El gobierno de Javier Milei",0.466,0.282,0.178,0.3
"P50","El gobierno de Alberto Fernández",0.436,0.625,0.598,0.45
"P50","Ambos",0.095,0.073,0.22,0.064
"P50","No sabe",0.003,0.02,0.004,0.186
"P51","Javier Milei",0.579,0.491,0.399,0.479
"P51","Los gobernadores",0.379,0.415,0.376,0.301
"P51","No sabe",0.042,0.094,0.225,0.22
"P52","Muy buena",0.335,0.132,0.094,0.2
"P52","Buena",0.129,0.145,0.071,0.104
"P52","Ni buena ni mala",0.077,0.13,0.081,0.12
"P52","Mala",0.129,0.154,0.134,0.093
"P52","Muy mala",0.327,0.437,0.62,0.377
"P52","No sabe",0.003,0.002,0,0.106
"P53","Muy buena",0.197,0.126,0.066,0.068
"P53","Buena",0.118,0.163,0.229,0.189
"P53","Ni buena ni mala",0.195,0.245,0.295,0.079
"P53","Mala",0.19,0.288,0.189,0.271
"P53","Muy mala",0.297,0.161,0.217,0.239
"P53","No sabe",0.003,0.017,0.004,0.154
"P54","Muy buena",0.349,0.233,0.321,0.152
"P54","Buena",0.174,0.29,0.25,0.283
"P54","Ni buena ni mala",0.089,0.169,0.178,0.096
"P54","Mala",0.128,0.16,0.113,0.127
