"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.207,0.226,0.187,0.299,0.188,0.135,0.185,0.286,0.171,0.18,0.217,0.209,0.085,0.444,0.222,0.221,0.222,0.194,6
"Buena",0.171,0.163,0.18,0.201,0.119,0.219,0.205,0.134,0.205,0.157,0.177,0.308,0.11,0.151,0.064,0.242,0.142,0.197,6
"Ni buena ni mala",0.275,0.282,0.267,0.224,0.32,0.285,0.208,0.277,0.286,0.254,0.283,0.26,0.284,0.222,0.168,0.345,0.254,0.293,6
"Mala",0.119,0.113,0.126,0.112,0.124,0.121,0.118,0.124,0.123,0.108,0.137,0.079,0.118,0.089,0.174,0.08,0.131,0.109,6
"Muy mala",0.153,0.155,0.15,0.091,0.166,0.183,0.2,0.078,0.141,0.253,0.13,0.065,0.305,0.071,0.271,0.056,0.159,0.147,6
"No sabe",0.075,0.061,0.09,0.073,0.083,0.057,0.084,0.101,0.074,0.048,0.056,0.079,0.098,0.023,0.101,0.056,0.092,0.06,6
"Positiva",0.378,0.389,0.367,0.5,0.307,0.354,0.39,0.42,0.376,0.337,0.394,0.517,0.195,0.595,0.286,0.463,0.364,0.391,4
"Neutra",0.275,0.282,0.267,0.224,0.32,0.285,0.208,0.277,0.286,0.254,0.283,0.26,0.284,0.222,0.168,0.345,0.254,0.293,4
"Negativa",0.272,0.268,0.276,0.203,0.29,0.304,0.318,0.202,0.264,0.361,0.267,0.144,0.423,0.16,0.445,0.136,0.29,0.256,4
"No sabe",0.075,0.061,0.09,0.073,0.083,0.057,0.084,0.101,0.074,0.048,0.056,0.079,0.098,0.023,0.101,0.056,0.092,0.06,4
