"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.395,0.418,0.371,0.464,0.393,0.356,0.302,0.465,0.366,0.367,0.432,0.397,0.312,0.605,0.256,0.524,0.391,0.4,6
"Buena",0.164,0.156,0.173,0.198,0.164,0.128,0.147,0.118,0.201,0.157,0.15,0.283,0.07,0.159,0.06,0.211,0.146,0.181,6
"Ni buena ni mala",0.123,0.124,0.122,0.075,0.117,0.178,0.165,0.143,0.133,0.085,0.122,0.105,0.098,0.102,0.12,0.118,0.126,0.12,6
"Mala",0.103,0.109,0.096,0.092,0.112,0.122,0.062,0.088,0.114,0.1,0.124,0.089,0.097,0.058,0.172,0.062,0.11,0.096,6
"Muy mala",0.173,0.164,0.182,0.102,0.184,0.201,0.257,0.124,0.137,0.284,0.157,0.065,0.346,0.071,0.334,0.063,0.187,0.16,6
"No sabe",0.042,0.029,0.056,0.069,0.03,0.015,0.067,0.062,0.049,0.007,0.015,0.061,0.077,0.005,0.058,0.022,0.04,0.043,6
"Positiva",0.559,0.574,0.544,0.662,0.557,0.484,0.449,0.583,0.567,0.524,0.582,0.68,0.382,0.764,0.316,0.735,0.537,0.581,4
"Neutra",0.123,0.124,0.122,0.075,0.117,0.178,0.165,0.143,0.133,0.085,0.122,0.105,0.098,0.102,0.12,0.118,0.126,0.12,4
"Negativa",0.276,0.273,0.278,0.194,0.296,0.323,0.319,0.212,0.251,0.384,0.281,0.154,0.443,0.129,0.506,0.125,0.297,0.256,4
"No sabe",0.042,0.029,0.056,0.069,0.03,0.015,0.067,0.062,0.049,0.007,0.015,0.061,0.077,0.005,0.058,0.022,0.04,0.043,4
