"var","categoria","El gobierno anterior de Alberto Fernández","El actual gobierno de Javier Milei","No sabe"
"P08","Empleado sector publico",0.381,0.265,0.32
"P08","Empleado sector privado",0.253,0.318,0.104
"P08","Changas o trabajos eventuales",0.175,0.152,0.271
"P08","Estudiante",0,0.063,0
"P08","Amas de casa",0.057,0.053,0.215
"P08","Profesional o independiente",0.034,0.054,0.09
"P08","Comerciante, emprendedor o empresario",0.016,0.034,0
"P08","Trabajador informal",0,0.032,0
"P08","No tengo trabajo",0.084,0.029,0
"P09","Siempre",0.367,0.228,0.049
"P09","Casi siempre",0.271,0.328,0.396
"P09","Casi nunca",0.228,0.313,0.5
"P09","Nunca, pero esta es una excepción",0.134,0.131,0.055
"P10","Muy buena",0.347,0.263,0.11
"P10","Buena",0.216,0.168,0.44
"P10","Ni buena ni mala",0.311,0.411,0.41
"P10","Mala",0.074,0.109,0.018
"P10","Muy mala",0.021,0.027,0
"P10","No sabe",0.031,0.022,0.022
"P11","Muy buena",0.424,0.246,0.193
"P11","Buena",0.236,0.361,0.36
"P11","Ni buena ni mala",0.205,0.269,0.389
"P11","Mala",0.085,0.046,0.058
"P11","Muy mala",0.019,0.044,0
"P11","No sabe",0.031,0.034,0
"P13","Muy buena",0.405,0.278,0.182
"P13","Buena",0.255,0.261,0.347
"P13","Ni buena ni mala",0.22,0.316,0.424
"P13","Mala",0.067,0.081,0.047
"P13","Muy mala",0.022,0.043,0
"P13","No sabe",0.031,0.021,0
"P14","Muy buena",0.302,0.174,0.106
"P14","Buena",0.184,0.17,0.216
"P14","Ni buena ni mala",0.206,0.228,0.498
"P14","Mala",0.224,0.279,0.053
"P14","Muy mala",0.081,0.093,0.127
"P14","No sabe",0.003,0.056,0
"P15","Muy buena",0.376,0.187,0.033
"P15","Buena",0.148,0.12,0.176
"P15","Ni buena ni mala",0.303,0.39,0.569
"P15","Mala",0.07,0.152,0.189
"P15","Muy mala",0.085,0.09,0.033
"P15","No sabe",0.018,0.061,0
"P16","Muy buena",0.378,0.232,0.282
"P16","Buena",0.186,0.212,0.215
"P16","Ni buena ni mala",0.24,0.305,0.302
"P16","Mala",0.078,0.153,0.116
"P16","Muy mala",0.117,0.039,0.085
"P16","No sabe",0.001,0.059,0
"P17","Muy buena",0.325,0.195,0.003
"P17","Buena",0.182,0.352,0.213
"P17","Ni buena ni mala",0.085,0.227,0.34
"P17","Mala",0.195,0.145,0.091
"P17","Muy mala",0.181,0.064,0.076
"P17","No sabe",0.032,0.017,0.277
"P18","Muy buena",0.383,0.054,0.168
"P18","Buena",0.224,0.101,0.126
"P18","Ni buena ni mala",0.147,0.133,0.212
"P18","Mala",0.09,0.398,0.11
"P18","Muy mala",0.156,0.288,0.034
"P18","No sabe",0,0.026,0.35
"P20","Muy buena",0.294,0.137,0.118
"P20","Buena",0.148,0.183,0.077
"P20","Ni buena ni mala",0.276,0.378,0.215
"P20","Mala",0.105,0.109,0.218
"P20","Muy mala",0.119,0.097,0.17
"P20","No sabe",0.058,0.096,0.202
"P21","Si",0.74,0.638,0.564
"P21","No",0.152,0.156,0.125
"P21","No sabe",0.108,0.206,0.311
"P26","Si",0.845,0.828,0.889
"P26","No",0.155,0.172,0.111
"P27","Si",0.371,0.58,0.266
"P27","No estoy seguro",0.414,0.231,0.253
"P27","No",0.18,0.037,0.062
"P27","No sabe",0.035,0.152,0.419
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.294,0.074,0.193
"P28","Investigaciones científicas no declaradas con fines secretos",0.333,0.216,0.115
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.172,0.03,0.086
"P28","Otro",0.028,0.296,0.18
"P28","No sabe",0.173,0.384,0.426
"P29","Es imposible",0.445,0.238,0.171
"P29","Es muy difícil",0.301,0.11,0.154
"P29","Es bastante factible",0.148,0.227,0.035
"P29","Es posible",0.075,0.326,0.188
"P29","No sabe",0.031,0.099,0.452
"P30","Si",0.64,0.092,0.147
"P30","Es probable",0.185,0.194,0.142
"P30","No",0.059,0.622,0.323
"P30","No sabe",0.116,0.092,0.388
"P31","De acuerdo",0.785,0.187,0.516
"P31","Ni de acuerdo ni en desacuerdo",0.075,0.284,0.155
"P31","En desacuerdo",0.083,0.479,0.298
"P31","No sabe",0.057,0.05,0.031
"P32","Si",0.785,0.769,0.725
"P32","No",0.122,0.135,0.034
"P32","No sabe",0.093,0.096,0.241
"P33","Muy de acuerdo",0.31,0.018,0.233
"P33","De acuerdo",0.095,0.072,0.058
"P33","Ni de acuerdo ni en desacuerdo",0.157,0.024,0.135
"P33","En desacuerdo",0.346,0.81,0.561
"P33","Muy en desacuerdo",0.053,0.076,0.013
"P33","No sabe",0.039,0,0
"P34","Si",0.64,0.771,0.352
"P34","No",0.36,0.229,0.648
"P35","Muy de acuerdo",0.412,0.069,0.139
"P35","De acuerdo",0.165,0.031,0.187
"P35","Ni de acuerdo ni en desacuerdo",0.13,0.125,0.448
"P35","En desacuerdo",0.241,0.596,0.085
"P35","Muy en desacuerdo",0.037,0.175,0.141
"P35","No sabe",0.015,0.004,0
"P36","1-Excelente",0.419,0.186,0.097
"P36","2",0.11,0.104,0.277
"P36","3",0.04,0.042,0
"P36","4",0.022,0.024,0.154
"P36","5",0.091,0.272,0.1
"P36","6",0.037,0.076,0.005
"P36","7",0.015,0.081,0.043
"P36","8",0.054,0.056,0.108
"P36","9-Pésimo",0.124,0.14,0.165
"P36","No sabe",0.088,0.019,0.051
"P37","1-Excelente",0.3,0.185,0.06
"P37","2",0.181,0.077,0.088
"P37","3",0.069,0.082,0.342
"P37","4",0.056,0.046,0.008
"P37","5",0.174,0.207,0.147
"P37","6",0.035,0.133,0.066
"P37","7",0.034,0.112,0.051
"P37","8",0.012,0.057,0
"P37","9-Pésimo",0.109,0.087,0.166
"P37","No sabe",0.03,0.014,0.072
"P38","1-Excelente",0.293,0.139,0
"P38","2",0.157,0.106,0.174
"P38","3",0.035,0.155,0.299
"P38","4",0.101,0.093,0.068
"P38","5",0.192,0.216,0.045
"P38","6",0.018,0.051,0.162
"P38","7",0.029,0.065,0.145
"P38","8",0.011,0.014,0
"P38","9-Pésimo",0.084,0.121,0.055
"P38","No sabe",0.08,0.04,0.052
"P39","1-Excelente",0.264,0.21,0.183
"P39","2",0.128,0.075,0.036
"P39","3",0.127,0.086,0.295
"P39","4",0.085,0.1,0.192
"P39","5",0.123,0.123,0.038
"P39","6",0.026,0.129,0.009
"P39","7",0.073,0.112,0.024
"P39","8",0.006,0.021,0
"P39","9-Pésimo",0.087,0.13,0.223
"P39","No sabe",0.081,0.014,0
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.489,0.934,0.617
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.168,0.048,0.11
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.144,0.002,0.01
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.199,0.002,0.059
"P40","No sabe",0,0.014,0.204
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.453,0.812,0.462
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.138,0.149,0.137
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.266,0.023,0.177
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.143,0,0
"P41","No sabe",0,0.016,0.224
"P42","Oponerse totalmente",0.4,0.723,0.389
"P42","Oponerse parcialmente",0.189,0.184,0.058
"P42","Apoyar parcialmente",0.363,0.066,0.22
"P42","Apoyar totalmente",0.045,0,0.083
"P42","No sabe",0.003,0.027,0.25
"P43","Inseguridad y narcotráfico",0.537,0.14,0.014
"P43","Altos impuestos y tarifas",0.256,0.194,0.052
"P43","Educación y estado de las escuelas",0.056,0.266,0.438
"P43","Inflación",0.097,0.321,0.098
"P43","Estado de la salud",0.029,0.071,0.314
"P43","Corrupción",0.011,0,0
"P43","Pobreza",0.002,0.008,0.084
"P43","Medio ambiente, incendios y contaminación",0,0,0
"P43","Falta de trabajo",0,0,0
"P43","No sabe",0.012,0,0
"P47","Muy buena",0.263,0.129,0
"P47","Buena",0.289,0.295,0.009
"P47","Ni buena ni mala",0.202,0.261,0.751
"P47","Mala",0.221,0.285,0.24
"P47","Muy mala",0.025,0.027,0
"P47","No sabe",0,0.003,0
"P48","Peor",0.46,0.554,0.113
"P48","Igual",0.41,0.356,0.695
"P48","Mejor",0.111,0.065,0.121
"P48","No sabe",0.019,0.025,0.071
"P49","Peor",0.383,0.545,0.013
"P49","Igual",0.29,0.258,0.533
"P49","Mejor",0.325,0.115,0.255
"P49","No sabe",0.002,0.082,0.199
"P50","El gobierno de Javier Milei",0.422,0.831,0.674
"P50","El gobierno de Alberto Fernández",0.488,0.022,0.211
"P50","Ambos",0.088,0.145,0.115
"P50","No sabe",0.002,0.002,0
"P51","Javier Milei",0.554,0.089,0.095
"P51","Los gobernadores",0.391,0.848,0.868
"P51","No sabe",0.055,0.063,0.037
"P52","Muy buena",0.251,0.307,0.009
"P52","Buena",0.109,0.348,0.072
"P52","Ni buena ni mala",0.122,0.17,0.615
"P52","Mala",0.199,0.116,0.037
"P52","Muy mala",0.319,0.059,0.267
"P52","No sabe",0,0,0
"P53","Muy buena",0.302,0.009,0
"P53","Buena",0.092,0.017,0.096
"P53","Ni buena ni mala",0.293,0.055,0.191
"P53","Mala",0.185,0.4,0.596
"P53","Muy mala",0.128,0.519,0.117
"P53","No sabe",0,0,0
"P54","Muy buena",0.488,0.012,0.134
"P54","Buena",0.133,0.009,0.222
"P54","Ni buena ni mala",0.141,0.082,0.551
"P54","Mala",0.144,0.34,0.013
"P54","Muy mala",0.093,0.555,0.08
"P54","No sabe",0.001,0.002,0
"P55","Muy buena",0.257,0.006,0.121
"P55","Buena",0.163,0.006,0.119
"P55","Ni buena ni mala",0.308,0.059,0.654
"P55","Mala",0.11,0.333,0.025
"P55","Muy mala",0.16,0.587,0.081
"P55","No sabe",0.002,0.009,0
"P56","Muy buena",0.452,0.006,0.013
"P56","Buena",0.154,0.054,0.083
"P56","Ni buena ni mala",0.098,0.059,0.636
"P56","Mala",0.101,0.275,0.019
"P56","Muy mala",0.141,0.605,0.079
"P56","No sabe",0.054,0.001,0.17
"P57","Muy buena",0.28,0.066,0.01
"P57","Buena",0.043,0.107,0.416
"P57","Ni buena ni mala",0.527,0.258,0.082
"P57","Mala",0.078,0.259,0.015
"P57","Muy mala",0.07,0.303,0.082
"P57","No sabe",0.002,0.007,0.395
"P58","Muy buena",0.275,0.004,0
"P58","Buena",0.179,0.012,0
"P58","Ni buena ni mala",0.349,0.106,0.574
"P58","Mala",0.029,0.268,0.247
"P58","Muy mala",0.109,0.609,0.118
"P58","No sabe",0.059,0.001,0.061
"P59","Muy buena",0.294,0.004,0
"P59","Buena",0.201,0.028,0
"P59","Ni buena ni mala",0.262,0.227,0.448
"P59","Mala",0.047,0.284,0.008
"P59","Muy mala",0.131,0.433,0.102
"P59","No sabe",0.065,0.024,0.442
