"var","categoria","Espionaje por medio del Monitoreo de telecomunicaciones satelitales","Investigaciones científicas no declaradas con fines secretos","Prestar servicios de comunicación y posicionamiento global al ejército Chino","Otro","No sabe"
"P08","Empleado sector publico",0.213,0.202,0.315,0.275,0.207
"P08","Empleado sector privado",0.328,0.376,0.224,0.194,0.21
"P08","Changas o trabajos eventuales",0.226,0.192,0.232,0.221,0.198
"P08","Estudiante",0.037,0.021,0.029,0.02,0.028
"P08","Amas de casa",0.067,0.072,0.051,0.107,0.096
"P08","Profesional o independiente",0.067,0.045,0.064,0.044,0.077
"P08","Comerciante, emprendedor o empresario",0.013,0.05,0.028,0.056,0.099
"P08","Trabajador informal",0.002,0.012,0,0.04,0.004
"P08","No tengo trabajo",0.047,0.03,0.057,0.043,0.081
"P09","Siempre",0.17,0.143,0.235,0.16,0.196
"P09","Casi siempre",0.342,0.472,0.311,0.397,0.317
"P09","Casi nunca",0.304,0.301,0.31,0.336,0.315
"P09","Nunca, pero esta es una excepción",0.184,0.084,0.144,0.107,0.172
"P10","Muy buena",0.104,0.152,0.179,0.058,0.137
"P10","Buena",0.142,0.371,0.166,0.057,0.208
"P10","Ni buena ni mala",0.409,0.274,0.366,0.557,0.379
"P10","Mala",0.165,0.145,0.143,0.143,0.126
"P10","Muy mala",0.13,0.054,0.122,0.096,0.039
"P10","No sabe",0.05,0.004,0.024,0.089,0.111
"P11","Muy buena",0.111,0.215,0.116,0.162,0.145
"P11","Buena",0.201,0.36,0.212,0.203,0.278
"P11","Ni buena ni mala",0.393,0.255,0.324,0.385,0.332
"P11","Mala",0.15,0.128,0.194,0.103,0.113
"P11","Muy mala",0.091,0.033,0.129,0.078,0.023
"P11","No sabe",0.054,0.009,0.025,0.069,0.109
"P13","Muy buena",0.128,0.211,0.129,0.128,0.15
"P13","Buena",0.172,0.35,0.177,0.173,0.248
"P13","Ni buena ni mala",0.292,0.266,0.374,0.433,0.365
"P13","Mala",0.228,0.11,0.155,0.109,0.115
"P13","Muy mala",0.123,0.059,0.139,0.088,0.038
"P13","No sabe",0.057,0.004,0.026,0.069,0.084
"P14","Muy buena",0.053,0.079,0.087,0.098,0.124
"P14","Buena",0.106,0.276,0.1,0.167,0.195
"P14","Ni buena ni mala",0.218,0.266,0.224,0.32,0.268
"P14","Mala",0.379,0.289,0.353,0.198,0.234
"P14","Muy mala",0.214,0.067,0.223,0.134,0.093
"P14","No sabe",0.03,0.023,0.013,0.083,0.086
"P15","Muy buena",0.082,0.106,0.143,0.123,0.104
"P15","Buena",0.114,0.307,0.122,0.111,0.148
"P15","Ni buena ni mala",0.261,0.31,0.229,0.414,0.367
"P15","Mala",0.318,0.144,0.281,0.125,0.141
"P15","Muy mala",0.178,0.076,0.181,0.155,0.084
"P15","No sabe",0.047,0.057,0.044,0.072,0.156
"P16","Muy buena",0.092,0.093,0.168,0.101,0.163
"P16","Buena",0.096,0.322,0.149,0.086,0.15
"P16","Ni buena ni mala",0.231,0.223,0.139,0.497,0.317
"P16","Mala",0.285,0.25,0.279,0.065,0.177
"P16","Muy mala",0.264,0.077,0.244,0.163,0.063
"P16","No sabe",0.032,0.035,0.021,0.088,0.13
"P17","Muy buena",0.062,0.077,0.086,0.181,0.162
"P17","Buena",0.1,0.287,0.096,0.17,0.152
"P17","Ni buena ni mala",0.125,0.169,0.123,0.206,0.222
"P17","Mala",0.318,0.21,0.218,0.171,0.138
"P17","Muy mala",0.39,0.252,0.455,0.208,0.205
"P17","No sabe",0.005,0.005,0.022,0.064,0.121
"P18","Muy buena",0.436,0.242,0.46,0.207,0.166
"P18","Buena",0.103,0.369,0.144,0.117,0.141
"P18","Ni buena ni mala",0.16,0.152,0.123,0.096,0.216
"P18","Mala",0.154,0.118,0.096,0.193,0.184
"P18","Muy mala",0.126,0.117,0.156,0.309,0.202
"P18","No sabe",0.021,0.002,0.021,0.078,0.091
"P20","Muy buena",0.055,0.09,0.114,0.105,0.109
"P20","Buena",0.089,0.292,0.085,0.151,0.195
"P20","Ni buena ni mala",0.232,0.274,0.375,0.344,0.243
"P20","Mala",0.299,0.188,0.149,0.099,0.126
"P20","Muy mala",0.278,0.094,0.238,0.152,0.089
"P20","No sabe",0.047,0.062,0.039,0.149,0.238
"P21","Si",0.35,0.43,0.349,0.332,0.461
"P21","No",0.417,0.413,0.394,0.28,0.16
"P21","No sabe",0.233,0.157,0.257,0.388,0.379
"P23","Gobierno nacional",0.162,0.22,0.132,0.337,0.336
"P23","Gobierno provincial",0.705,0.676,0.768,0.439,0.376
"P23","No sabe",0.133,0.104,0.1,0.224,0.288
"P24","El gobierno anterior de Omar Gutierrez",0.611,0.376,0.423,0.425,0.206
"P24","El actual gobierno de Rolo Figueroa",0.144,0.408,0.167,0.118,0.18
"P24","No sabe",0.245,0.216,0.41,0.457,0.614
"P25","El gobierno anterior de Alberto Fernández",0.755,0.669,0.808,0.109,0.33
"P25","El actual gobierno de Javier Milei",0.119,0.272,0.089,0.715,0.462
"P25","No sabe",0.126,0.059,0.103,0.176,0.208
"P26","Si",0.844,0.711,0.834,0.683,0.669
"P26","No",0.156,0.289,0.166,0.317,0.331
"P29","Es imposible",0.488,0.199,0.331,0.123,0.081
"P29","Es muy difícil",0.301,0.577,0.339,0.18,0.181
"P29","Es bastante factible",0.083,0.109,0.202,0.081,0.093
"P29","Es posible",0.07,0.076,0.091,0.27,0.177
"P29","No sabe",0.058,0.039,0.037,0.346,0.468
"P30","Si",0.698,0.416,0.685,0.287,0.142
"P30","Es probable",0.181,0.381,0.188,0.199,0.171
"P30","No",0.093,0.142,0.107,0.231,0.208
"P30","No sabe",0.028,0.061,0.02,0.283,0.479
"P31","De acuerdo",0.835,0.58,0.806,0.279,0.321
"P31","Ni de acuerdo ni en desacuerdo",0.083,0.318,0.089,0.29,0.251
"P31","En desacuerdo",0.059,0.091,0.087,0.214,0.119
"P31","No sabe",0.023,0.011,0.018,0.217,0.309
"P32","Si",0.807,0.63,0.734,0.545,0.513
"P32","No",0.107,0.264,0.131,0.198,0.095
"P32","No sabe",0.086,0.106,0.135,0.257,0.392
"P33","Muy de acuerdo",0.331,0.186,0.294,0.038,0.096
"P33","De acuerdo",0.22,0.337,0.32,0.159,0.057
"P33","Ni de acuerdo ni en desacuerdo",0.204,0.129,0.219,0.184,0.203
"P33","En desacuerdo",0.186,0.315,0.126,0.48,0.43
"P33","Muy en desacuerdo",0.048,0.031,0.04,0.135,0.121
"P33","No sabe",0.011,0.002,0.001,0.004,0.093
"P34","Si",0.754,0.582,0.722,0.409,0.491
"P34","No",0.246,0.418,0.278,0.591,0.509
"P35","Muy de acuerdo",0.245,0.257,0.394,0.045,0.072
"P35","De acuerdo",0.277,0.38,0.17,0.223,0.096
"P35","Ni de acuerdo ni en desacuerdo",0.182,0.145,0.237,0.249,0.164
"P35","En desacuerdo",0.207,0.148,0.075,0.355,0.396
"P35","Muy en desacuerdo",0.08,0.067,0.116,0.128,0.216
"P35","No sabe",0.009,0.003,0.008,0,0.056
"P36","1-Excelente",0.194,0.238,0.141,0.176,0.152
"P36","2",0.093,0.178,0.079,0.189,0.142
"P36","3",0.088,0.07,0.025,0.035,0.069
"P36","4",0.037,0.032,0.069,0.043,0.046
"P36","5",0.184,0.154,0.144,0.111,0.151
"P36","6",0.022,0.02,0.035,0.02,0.023
"P36","7",0.008,0.04,0.018,0.146,0.037
"P36","8",0.005,0.039,0.031,0.096,0.018
"P36","9-Pésimo",0.264,0.167,0.332,0.071,0.18
"P36","No sabe",0.105,0.062,0.126,0.113,0.182
"P37","1-Excelente",0.205,0.121,0.11,0.179,0.13
"P37","2",0.064,0.185,0.08,0.154,0.095
"P37","3",0.043,0.108,0.033,0.064,0.054
"P37","4",0.084,0.051,0.122,0.035,0.162
"P37","5",0.167,0.158,0.095,0.104,0.111
"P37","6",0.08,0.09,0.067,0.073,0.034
"P37","7",0.031,0.014,0.117,0.08,0.046
"P37","8",0.01,0.03,0.035,0.076,0.051
"P37","9-Pésimo",0.266,0.171,0.327,0.165,0.153
"P37","No sabe",0.05,0.072,0.014,0.07,0.164
"P38","1-Excelente",0.191,0.167,0.093,0.209,0.064
"P38","2",0.085,0.215,0.06,0.124,0.148
"P38","3",0.058,0.07,0.117,0.042,0.05
"P38","4",0.1,0.044,0.057,0.081,0.08
"P38","5",0.11,0.166,0.115,0.112,0.117
"P38","6",0.06,0.042,0.039,0.17,0.083
