"var","categoria","Si","No estoy seguro","No","No sabe"
"P08","Empleado sector publico",0.399,0.223,0.219,0.201
"P08","Empleado sector privado",0.266,0.341,0.221,0.202
"P08","Changas o trabajos eventuales",0.144,0.179,0.28,0.234
"P08","Estudiante",0.06,0.016,0.034,0.067
"P08","Amas de casa",0.026,0.088,0.037,0.117
"P08","Profesional o independiente",0.043,0.061,0.075,0.052
"P08","Comerciante, emprendedor o empresario",0.018,0.033,0.042,0.1
"P08","Trabajador informal",0.01,0.01,0.011,0.004
"P08","No tengo trabajo",0.034,0.049,0.081,0.023
"P09","Siempre",0.362,0.165,0.224,0.167
"P09","Casi siempre",0.266,0.435,0.255,0.309
"P09","Casi nunca",0.266,0.291,0.33,0.33
"P09","Nunca, pero esta es una excepción",0.106,0.109,0.191,0.194
"P10","Muy buena",0.297,0.137,0.117,0.154
"P10","Buena",0.203,0.274,0.103,0.141
"P10","Ni buena ni mala",0.34,0.368,0.415,0.341
"P10","Mala",0.125,0.144,0.165,0.124
"P10","Muy mala",0.031,0.067,0.14,0.06
"P10","No sabe",0.004,0.01,0.06,0.18
"P11","Muy buena",0.323,0.178,0.088,0.162
"P11","Buena",0.256,0.282,0.181,0.284
"P11","Ni buena ni mala",0.24,0.339,0.357,0.234
"P11","Mala",0.107,0.136,0.186,0.108
"P11","Muy mala",0.062,0.052,0.115,0.042
"P11","No sabe",0.012,0.013,0.073,0.17
"P13","Muy buena",0.321,0.181,0.109,0.138
"P13","Buena",0.231,0.262,0.174,0.219
"P13","Ni buena ni mala",0.258,0.328,0.332,0.311
"P13","Mala",0.144,0.15,0.18,0.109
"P13","Muy mala",0.043,0.068,0.151,0.064
"P13","No sabe",0.003,0.011,0.054,0.159
"P14","Muy buena",0.28,0.084,0.086,0.094
"P14","Buena",0.168,0.228,0.051,0.123
"P14","Ni buena ni mala",0.23,0.252,0.288,0.221
"P14","Mala",0.166,0.327,0.287,0.242
"P14","Muy mala",0.137,0.085,0.277,0.158
"P14","No sabe",0.019,0.024,0.011,0.162
"P15","Muy buena",0.267,0.121,0.123,0.055
"P15","Buena",0.146,0.201,0.123,0.153
"P15","Ni buena ni mala",0.303,0.322,0.266,0.311
"P15","Mala",0.135,0.22,0.229,0.127
"P15","Muy mala",0.127,0.082,0.231,0.142
"P15","No sabe",0.022,0.054,0.028,0.212
"P16","Muy buena",0.337,0.138,0.092,0.101
"P16","Buena",0.204,0.21,0.086,0.129
"P16","Ni buena ni mala",0.223,0.261,0.249,0.28
"P16","Mala",0.114,0.266,0.216,0.128
"P16","Muy mala",0.091,0.098,0.298,0.167
"P16","No sabe",0.031,0.027,0.059,0.195
"P17","Muy buena",0.333,0.108,0.052,0.099
"P17","Buena",0.216,0.21,0.046,0.115
"P17","Ni buena ni mala",0.215,0.183,0.139,0.126
"P17","Mala",0.112,0.275,0.2,0.133
"P17","Muy mala",0.11,0.208,0.522,0.391
"P17","No sabe",0.014,0.016,0.041,0.136
"P18","Muy buena",0.27,0.273,0.472,0.271
"P18","Buena",0.154,0.235,0.131,0.156
"P18","Ni buena ni mala",0.091,0.177,0.177,0.088
"P18","Mala",0.219,0.174,0.051,0.127
"P18","Muy mala",0.258,0.132,0.142,0.205
"P18","No sabe",0.008,0.009,0.027,0.153
"P20","Muy buena",0.229,0.106,0.074,0.018
"P20","Buena",0.182,0.21,0.109,0.119
"P20","Ni buena ni mala",0.318,0.29,0.256,0.303
"P20","Mala",0.108,0.196,0.206,0.144
"P20","Muy mala",0.133,0.122,0.284,0.162
"P20","No sabe",0.03,0.076,0.071,0.254
"P21","Si",0.589,0.419,0.316,0.401
"P21","No",0.258,0.369,0.39,0.207
"P21","No sabe",0.153,0.212,0.294,0.392
"P23","Gobierno nacional",0.516,0.222,0.156,0.263
"P23","Gobierno provincial",0.37,0.625,0.692,0.456
"P23","No sabe",0.114,0.153,0.152,0.281
"P24","El gobierno anterior de Omar Gutierrez",0.388,0.42,0.47,0.463
"P24","El actual gobierno de Rolo Figueroa",0.291,0.27,0.217,0.051
"P24","No sabe",0.321,0.31,0.313,0.486
"P25","El gobierno anterior de Alberto Fernández",0.38,0.603,0.786,0.128
"P25","El actual gobierno de Javier Milei",0.56,0.317,0.155,0.532
"P25","No sabe",0.06,0.08,0.059,0.34
"P26","Si",0.911,0.722,0.817,0.76
"P26","No",0.089,0.278,0.183,0.24
"P29","Es imposible",0.388,0.242,0.409,0.128
"P29","Es muy difícil",0.142,0.406,0.322,0.176
"P29","Es bastante factible",0.15,0.131,0.11,0.043
"P29","Es posible",0.294,0.11,0.081,0.17
"P29","No sabe",0.026,0.111,0.078,0.483
"P30","Si",0.345,0.441,0.68,0.226
"P30","Es probable",0.145,0.283,0.145,0.203
"P30","No",0.451,0.138,0.117,0.185
"P30","No sabe",0.059,0.138,0.058,0.386
"P31","De acuerdo",0.382,0.61,0.765,0.424
"P31","Ni de acuerdo ni en desacuerdo",0.2,0.232,0.076,0.181
"P31","En desacuerdo",0.402,0.088,0.068,0.17
"P31","No sabe",0.016,0.07,0.091,0.225
"P32","Si",0.716,0.684,0.692,0.496
"P32","No",0.192,0.171,0.159,0.112
"P32","No sabe",0.092,0.145,0.149,0.392
"P33","Muy de acuerdo",0.258,0.213,0.288,0.112
"P33","De acuerdo",0.134,0.253,0.257,0.117
"P33","Ni de acuerdo ni en desacuerdo",0.092,0.16,0.215,0.224
"P33","En desacuerdo",0.43,0.3,0.16,0.375
"P33","Muy en desacuerdo",0.083,0.054,0.051,0.1
"P33","No sabe",0.003,0.02,0.029,0.072
"P34","Si",0.809,0.611,0.771,0.415
"P34","No",0.191,0.389,0.229,0.585
"P35","Muy de acuerdo",0.274,0.22,0.318,0.091
"P35","De acuerdo",0.152,0.275,0.229,0.175
"P35","Ni de acuerdo ni en desacuerdo",0.093,0.179,0.164,0.24
"P35","En desacuerdo",0.351,0.209,0.177,0.283
"P35","Muy en desacuerdo",0.13,0.106,0.112,0.155
"P35","No sabe",0,0.011,0,0.056
"P36","1-Excelente",0.338,0.214,0.15,0.13
"P36","2",0.092,0.133,0.115,0.188
"P36","3",0.05,0.069,0.058,0.06
"P36","4",0.064,0.05,0.048,0.017
"P36","5",0.17,0.177,0.118,0.138
"P36","6",0.041,0.032,0.006,0.026
"P36","7",0.046,0.04,0.01,0.016
"P36","8",0.023,0.026,0.013,0.077
"P36","9-Pésimo",0.132,0.181,0.334,0.13
"P36","No sabe",0.044,0.078,0.148,0.218
"P37","1-Excelente",0.252,0.143,0.137,0.163
"P37","2",0.165,0.133,0.094,0.094
"P37","3",0.047,0.081,0.019,0.068
"P37","4",0.05,0.096,0.104,0.044
"P37","5",0.205,0.162,0.128,0.11
"P37","6",0.077,0.06,0.028,0.192
"P37","7",0.041,0.039,0.071,0.02
"P37","8",0.038,0.042,0.015,0.035
"P37","9-Pésimo",0.108,0.181,0.326,0.113
"P37","No sabe",0.017,0.063,0.078,0.161
"P38","1-Excelente",0.295,0.154,0.096,0.161
"P38","2",0.088,0.163,0.07,0.129
"P38","3",0.078,0.075,0.041,0.071
"P38","4",0.098,0.071,0.096,0.061
"P38","5",0.159,0.144,0.086,0.103
"P38","6",0.068,0.067,0.052,0.07
"P38","7",0.027,0.056,0.055,0.14
"P38","8",0.046,0.03,0.029,0.032
"P38","9-Pésimo",0.12,0.165,0.314,0.067
"P38","No sabe",0.021,0.075,0.161,0.166
"P39","1-Excelente",0.261,0.163,0.087,0.166
"P39","2",0.133,0.133,0.099,0.082
"P39","3",0.101,0.07,0.04,0.124
"P39","4",0.076,0.091,0.071,0.036
"P39","5",0.146,0.191,0.105,0.109
"P39","6",0.089,0.032,0.028,0.089
"P39","7",0.045,0.052,0.044,0.021
"P39","8",0.016,0.043,0.024,0.095
"P39","9-Pésimo",0.115,0.162,0.344,0.085
"P39","No sabe",0.018,0.063,0.158,0.193
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.778,0.245,0.129,0.321
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.088,0.284,0.181,0.168
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.054,0.213,0.41,0.188
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.052,0.196,0.253,0.082
"P40","No sabe",0.028,0.062,0.027,0.241
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.662,0.215,0.064,0.252
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.169,0.225,0.113,0.096
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.091,0.361,0.419,0.401
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.067,0.153,0.348,0.075
"P41","No sabe",0.011,0.046,0.056,0.176
"P42","Oponerse totalmente",0.639,0.186,0.089,0.248
"P42","Oponerse parcialmente",0.141,0.182,0.055,0.199
"P42","Apoyar parcialmente",0.113,0.345,0.297,0.289
"P42","Apoyar totalmente",0.091,0.24,0.52,0.079
"P42","No sabe",0.016,0.047,0.039,0.185
"P43","Inseguridad y narcotráfico",0.351,0.306,0.418,0.21
"P43","Altos impuestos y tarifas",0.169,0.334,0.196,0.18
"P43","Educación y estado de las escuelas",0.25,0.128,0.223,0.079
"P43","Inflación",0.2,0.109,0.041,0.321
"P43","Estado de la salud",0.01,0.066,0.064,0.196
"P43","Corrupción",0.007,0.022,0.04,0.012
"P43","Pobreza",0.01,0.01,0,0.002
"P43","Medio ambiente, incendios y contaminación",0,0,0.014,0
"P43","Falta de trabajo",0.003,0.014,0,0
"P43","No sabe",0,0.011,0.004,0
"P47","Muy buena",0.29,0.028,0.005,0.029
"P47","Buena",0.223,0.361,0.207,0.236
