"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.161,0.174,0.147,0.204,0.14,0.131,0.182,0.301,0.094,0.103,0.219,0.122,0.11,0.161,0.351,0.07,0.196,0.13,6
"Buena",0.177,0.161,0.194,0.218,0.149,0.175,0.184,0.137,0.2,0.189,0.208,0.206,0.147,0.115,0.234,0.154,0.161,0.192,6
"Ni buena ni mala",0.194,0.198,0.189,0.161,0.206,0.218,0.186,0.2,0.205,0.166,0.176,0.18,0.332,0.154,0.249,0.145,0.21,0.179,6
"Mala",0.181,0.203,0.158,0.142,0.192,0.208,0.195,0.135,0.213,0.184,0.195,0.156,0.222,0.146,0.078,0.238,0.151,0.208,6
"Muy mala",0.25,0.25,0.25,0.25,0.271,0.229,0.202,0.168,0.257,0.336,0.188,0.3,0.18,0.386,0.066,0.36,0.238,0.26,6
"No sabe",0.037,0.014,0.062,0.025,0.042,0.039,0.051,0.059,0.031,0.022,0.014,0.036,0.009,0.038,0.022,0.033,0.044,0.031,6
"Positiva",0.338,0.335,0.341,0.422,0.289,0.306,0.366,0.438,0.294,0.292,0.427,0.328,0.257,0.276,0.585,0.224,0.357,0.322,4
"Neutra",0.194,0.198,0.189,0.161,0.206,0.218,0.186,0.2,0.205,0.166,0.176,0.18,0.332,0.154,0.249,0.145,0.21,0.179,4
"Negativa",0.431,0.453,0.408,0.392,0.463,0.437,0.397,0.303,0.47,0.52,0.383,0.456,0.402,0.532,0.144,0.598,0.389,0.468,4
"No sabe",0.037,0.014,0.062,0.025,0.042,0.039,0.051,0.059,0.031,0.022,0.014,0.036,0.009,0.038,0.022,0.033,0.044,0.031,4
