"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.172,0.197,0.146,0.268,0.128,0.132,0.179,0.245,0.142,0.14,0.268,0.139,0.057,0.009,0.264,0.13,0.183,0.162,6
"Buena",0.209,0.207,0.212,0.156,0.21,0.241,0.275,0.166,0.249,0.192,0.255,0.283,0.161,0.111,0.208,0.23,0.19,0.227,6
"Ni buena ni mala",0.381,0.388,0.374,0.332,0.417,0.39,0.349,0.337,0.4,0.399,0.336,0.36,0.539,0.493,0.333,0.403,0.392,0.371,6
"Mala",0.137,0.118,0.156,0.132,0.145,0.146,0.103,0.099,0.146,0.165,0.093,0.13,0.186,0.171,0.121,0.142,0.143,0.131,6
"Muy mala",0.069,0.065,0.073,0.077,0.068,0.065,0.058,0.095,0.041,0.085,0.044,0.064,0.043,0.186,0.048,0.071,0.068,0.07,6
"No sabe",0.032,0.025,0.039,0.035,0.032,0.026,0.036,0.058,0.022,0.019,0.004,0.024,0.014,0.03,0.026,0.024,0.024,0.039,6
"Positiva",0.381,0.404,0.358,0.424,0.338,0.373,0.454,0.411,0.391,0.332,0.523,0.422,0.218,0.12,0.472,0.36,0.373,0.389,4
"Neutra",0.381,0.388,0.374,0.332,0.417,0.39,0.349,0.337,0.4,0.399,0.336,0.36,0.539,0.493,0.333,0.403,0.392,0.371,4
"Negativa",0.206,0.183,0.229,0.209,0.213,0.211,0.161,0.194,0.187,0.25,0.137,0.194,0.229,0.357,0.169,0.213,0.211,0.201,4
"No sabe",0.032,0.025,0.039,0.035,0.032,0.026,0.036,0.058,0.022,0.019,0.004,0.024,0.014,0.03,0.026,0.024,0.024,0.039,4
