"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.121,0.14,0.101,0.204,0.078,0.077,0.142,0.227,0.063,0.088,0.175,0.15,0.035,0.066,0.246,0.069,0.183,0.066,6
"Buena",0.17,0.15,0.191,0.138,0.171,0.196,0.204,0.115,0.223,0.148,0.179,0.233,0.101,0.13,0.18,0.184,0.156,0.182,6
"Ni buena ni mala",0.302,0.346,0.255,0.241,0.303,0.373,0.329,0.272,0.315,0.315,0.317,0.26,0.455,0.272,0.296,0.307,0.266,0.333,6
"Mala",0.161,0.158,0.165,0.177,0.157,0.15,0.159,0.125,0.16,0.209,0.176,0.109,0.175,0.246,0.093,0.183,0.141,0.179,6
"Muy mala",0.165,0.165,0.166,0.159,0.204,0.132,0.093,0.162,0.157,0.184,0.125,0.149,0.142,0.268,0.096,0.192,0.182,0.151,6
"No sabe",0.081,0.041,0.122,0.081,0.087,0.072,0.073,0.099,0.082,0.056,0.028,0.099,0.092,0.018,0.089,0.065,0.072,0.089,6
"Positiva",0.291,0.29,0.292,0.342,0.249,0.273,0.346,0.342,0.286,0.236,0.354,0.383,0.136,0.196,0.426,0.253,0.339,0.248,4
"Neutra",0.302,0.346,0.255,0.241,0.303,0.373,0.329,0.272,0.315,0.315,0.317,0.26,0.455,0.272,0.296,0.307,0.266,0.333,4
"Negativa",0.326,0.323,0.331,0.336,0.361,0.282,0.252,0.287,0.317,0.393,0.301,0.258,0.317,0.514,0.189,0.375,0.323,0.33,4
"No sabe",0.081,0.041,0.122,0.081,0.087,0.072,0.073,0.099,0.082,0.056,0.028,0.099,0.092,0.018,0.089,0.065,0.072,0.089,4
