"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.179,0.185,0.173,0.269,0.112,0.191,0.174,0.282,0.127,0.14,0.25,0.13,0.134,0.208,0.317,0.115,0.23,0.134,6
"Buena",0.197,0.192,0.202,0.207,0.195,0.164,0.241,0.16,0.247,0.157,0.211,0.304,0.192,0.094,0.221,0.205,0.157,0.232,6
"Ni buena ni mala",0.256,0.271,0.242,0.189,0.275,0.293,0.296,0.23,0.287,0.239,0.258,0.213,0.313,0.265,0.224,0.27,0.273,0.243,6
"Mala",0.176,0.187,0.164,0.143,0.22,0.153,0.137,0.131,0.165,0.25,0.166,0.155,0.212,0.208,0.127,0.208,0.157,0.193,6
"Muy mala",0.132,0.132,0.132,0.14,0.14,0.121,0.099,0.119,0.112,0.182,0.091,0.145,0.09,0.207,0.065,0.158,0.132,0.131,6
"No sabe",0.06,0.033,0.087,0.052,0.058,0.078,0.053,0.078,0.062,0.032,0.024,0.053,0.059,0.018,0.046,0.044,0.051,0.067,6
"Positiva",0.376,0.377,0.375,0.476,0.307,0.355,0.415,0.442,0.374,0.297,0.461,0.434,0.326,0.302,0.538,0.32,0.387,0.366,4
"Neutra",0.256,0.271,0.242,0.189,0.275,0.293,0.296,0.23,0.287,0.239,0.258,0.213,0.313,0.265,0.224,0.27,0.273,0.243,4
"Negativa",0.308,0.319,0.296,0.283,0.36,0.274,0.236,0.25,0.277,0.432,0.257,0.3,0.302,0.415,0.192,0.366,0.289,0.324,4
"No sabe",0.06,0.033,0.087,0.052,0.058,0.078,0.053,0.078,0.062,0.032,0.024,0.053,0.059,0.018,0.046,0.044,0.051,0.067,4
