"var","categoria","Es imposible","Es muy difícil","Es bastante factible","Es posible","No sabe"
"P08","Empleado sector publico",0.361,0.224,0.242,0.255,0.225
"P08","Empleado sector privado",0.287,0.364,0.211,0.28,0.171
"P08","Changas o trabajos eventuales",0.161,0.167,0.248,0.18,0.284
"P08","Estudiante",0.025,0.02,0.091,0.056,0.013
"P08","Amas de casa",0.044,0.068,0.051,0.09,0.098
"P08","Profesional o independiente",0.05,0.073,0.057,0.059,0.056
"P08","Comerciante, emprendedor o empresario",0.027,0.031,0.025,0.03,0.099
"P08","Trabajador informal",0.003,0.006,0.019,0.008,0.005
"P08","No tengo trabajo",0.042,0.047,0.056,0.042,0.049
"P09","Siempre",0.317,0.205,0.125,0.227,0.204
"P09","Casi siempre",0.245,0.401,0.345,0.431,0.341
"P09","Casi nunca",0.294,0.32,0.379,0.217,0.238
"P09","Nunca, pero esta es una excepción",0.144,0.074,0.151,0.125,0.217
"P10","Muy buena",0.288,0.146,0.155,0.155,0.1
"P10","Buena",0.165,0.291,0.18,0.207,0.156
"P10","Ni buena ni mala",0.268,0.37,0.448,0.359,0.485
"P10","Mala",0.142,0.13,0.175,0.144,0.09
"P10","Muy mala",0.111,0.043,0.036,0.09,0.04
"P10","No sabe",0.026,0.02,0.006,0.045,0.129
"P11","Muy buena",0.319,0.174,0.15,0.158,0.091
"P11","Buena",0.162,0.336,0.269,0.319,0.249
"P11","Ni buena ni mala",0.238,0.297,0.385,0.284,0.41
"P11","Mala",0.165,0.126,0.15,0.102,0.049
"P11","Muy mala",0.082,0.054,0.045,0.099,0.036
"P11","No sabe",0.034,0.013,0.001,0.038,0.165
"P13","Muy buena",0.32,0.178,0.149,0.183,0.102
"P13","Buena",0.12,0.321,0.315,0.228,0.235
"P13","Ni buena ni mala",0.222,0.29,0.355,0.335,0.451
"P13","Mala",0.171,0.155,0.145,0.151,0.054
"P13","Muy mala",0.136,0.044,0.036,0.071,0.041
"P13","No sabe",0.031,0.012,0,0.032,0.117
"P14","Muy buena",0.277,0.072,0.12,0.087,0.1
"P14","Buena",0.105,0.237,0.127,0.197,0.16
"P14","Ni buena ni mala",0.194,0.234,0.3,0.278,0.282
"P14","Mala",0.235,0.331,0.323,0.186,0.218
"P14","Muy mala",0.185,0.11,0.098,0.208,0.083
"P14","No sabe",0.004,0.016,0.032,0.044,0.157
"P15","Muy buena",0.291,0.115,0.114,0.079,0.08
"P15","Buena",0.121,0.224,0.15,0.166,0.147
"P15","Ni buena ni mala",0.183,0.336,0.415,0.377,0.342
"P15","Mala",0.204,0.204,0.191,0.132,0.15
"P15","Muy mala",0.173,0.093,0.084,0.198,0.062
"P15","No sabe",0.028,0.028,0.046,0.048,0.219
"P16","Muy buena",0.313,0.106,0.141,0.158,0.099
"P16","Buena",0.078,0.271,0.191,0.255,0.114
"P16","Ni buena ni mala",0.205,0.202,0.358,0.261,0.342
"P16","Mala",0.192,0.259,0.187,0.15,0.153
"P16","Muy mala",0.19,0.134,0.079,0.143,0.058
"P16","No sabe",0.022,0.028,0.044,0.033,0.234
"P17","Muy buena",0.256,0.096,0.121,0.161,0.128
"P17","Buena",0.097,0.206,0.234,0.273,0.107
"P17","Ni buena ni mala",0.135,0.127,0.273,0.225,0.247
"P17","Mala",0.231,0.241,0.166,0.094,0.167
"P17","Muy mala",0.27,0.309,0.199,0.23,0.179
"P17","No sabe",0.011,0.021,0.007,0.017,0.172
"P18","Muy buena",0.47,0.261,0.268,0.209,0.116
"P18","Buena",0.108,0.347,0.118,0.169,0.126
"P18","Ni buena ni mala",0.105,0.174,0.191,0.09,0.172
"P18","Mala",0.163,0.107,0.206,0.193,0.191
"P18","Muy mala",0.142,0.108,0.213,0.323,0.228
"P18","No sabe",0.012,0.003,0.004,0.016,0.167
"P20","Muy buena",0.24,0.061,0.093,0.106,0.043
"P20","Buena",0.09,0.269,0.164,0.198,0.136
"P20","Ni buena ni mala",0.22,0.318,0.391,0.341,0.267
"P20","Mala",0.186,0.193,0.147,0.146,0.1
"P20","Muy mala",0.229,0.129,0.091,0.153,0.136
"P20","No sabe",0.035,0.03,0.114,0.056,0.318
"P21","Si",0.523,0.433,0.479,0.416,0.372
"P21","No",0.33,0.407,0.212,0.393,0.12
"P21","No sabe",0.147,0.16,0.309,0.191,0.508
"P23","Gobierno nacional",0.364,0.186,0.41,0.374,0.226
"P23","Gobierno provincial",0.561,0.716,0.454,0.455,0.337
"P23","No sabe",0.075,0.098,0.136,0.171,0.437
"P24","El gobierno anterior de Omar Gutierrez",0.583,0.373,0.436,0.375,0.271
"P24","El actual gobierno de Rolo Figueroa",0.15,0.339,0.223,0.262,0.097
"P24","No sabe",0.267,0.288,0.341,0.363,0.632
"P25","El gobierno anterior de Alberto Fernández",0.631,0.689,0.401,0.179,0.138
"P25","El actual gobierno de Javier Milei",0.317,0.235,0.579,0.725,0.422
"P25","No sabe",0.052,0.076,0.02,0.096,0.44
"P26","Si",0.932,0.77,0.739,0.85,0.618
"P26","No",0.068,0.23,0.261,0.15,0.382
"P27","Si",0.395,0.153,0.375,0.535,0.064
"P27","No estoy seguro",0.329,0.586,0.436,0.268,0.371
"P27","No",0.226,0.188,0.149,0.079,0.106
"P27","No sabe",0.05,0.073,0.04,0.118,0.459
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.489,0.23,0.197,0.156,0.092
"P28","Investigaciones científicas no declaradas con fines secretos",0.205,0.452,0.267,0.172,0.062
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.193,0.151,0.28,0.119,0.034
"P28","Otro",0.045,0.051,0.07,0.222,0.199
"P28","No sabe",0.068,0.116,0.186,0.331,0.613
"P30","Si",0.692,0.476,0.205,0.204,0.174
"P30","Es probable",0.129,0.39,0.179,0.121,0.125
"P30","No",0.153,0.071,0.569,0.453,0.212
"P30","No sabe",0.026,0.063,0.047,0.222,0.489
"P31","De acuerdo",0.732,0.647,0.397,0.314,0.298
"P31","Ni de acuerdo ni en desacuerdo",0.111,0.275,0.161,0.179,0.231
"P31","En desacuerdo",0.137,0.043,0.416,0.418,0.142
"P31","No sabe",0.02,0.035,0.026,0.089,0.329
"P32","Si",0.742,0.695,0.737,0.65,0.426
"P32","No",0.158,0.195,0.138,0.205,0.11
"P32","No sabe",0.1,0.11,0.125,0.145,0.464
"P33","Muy de acuerdo",0.423,0.165,0.091,0.176,0.099
"P33","De acuerdo",0.151,0.36,0.176,0.112,0.089
"P33","Ni de acuerdo ni en desacuerdo",0.122,0.23,0.185,0.099,0.111
"P33","En desacuerdo",0.234,0.214,0.448,0.505,0.452
"P33","Muy en desacuerdo",0.057,0.031,0.066,0.1,0.141
"P33","No sabe",0.013,0,0.034,0.008,0.108
"P34","Si",0.802,0.618,0.675,0.736,0.418
"P34","No",0.198,0.382,0.325,0.264,0.582
"P35","Muy de acuerdo",0.435,0.167,0.209,0.17,0.046
"P35","De acuerdo",0.148,0.371,0.154,0.123,0.226
"P35","Ni de acuerdo ni en desacuerdo",0.154,0.211,0.129,0.115,0.121
"P35","En desacuerdo",0.187,0.172,0.375,0.418,0.286
"P35","Muy en desacuerdo",0.072,0.074,0.133,0.174,0.253
"P35","No sabe",0.004,0.005,0,0,0.068
"P36","1-Excelente",0.322,0.176,0.203,0.172,0.268
"P36","2",0.05,0.18,0.06,0.184,0.144
"P36","3",0.056,0.087,0.048,0.05,0.035
"P36","4",0.048,0.053,0.036,0.071,0.036
"P36","5",0.169,0.156,0.232,0.129,0.12
"P36","6",0.007,0.027,0.076,0.054,0.011
"P36","7",0.019,0.035,0.061,0.059,0.004
"P36","8",0.016,0.036,0.016,0.063,0
"P36","9-Pésimo",0.256,0.135,0.191,0.16,0.171
"P36","No sabe",0.057,0.115,0.077,0.058,0.211
"P37","1-Excelente",0.257,0.1,0.172,0.175,0.179
"P37","2",0.087,0.21,0.117,0.103,0.123
"P37","3",0.023,0.07,0.051,0.1,0.06
"P37","4",0.074,0.099,0.051,0.091,0.041
"P37","5",0.18,0.162,0.16,0.166,0.129
"P37","6",0.049,0.061,0.117,0.114,0.054
"P37","7",0.038,0.041,0.101,0.037,0.009
"P37","8",0.02,0.053,0.025,0.059,0.004
"P37","9-Pésimo",0.237,0.12,0.194,0.136,0.203
"P37","No sabe",0.035,0.084,0.012,0.019,0.198
"P38","1-Excelente",0.282,0.187,0.178,0.08,0.132
"P38","2",0.053,0.182,0.118,0.142,0.103
"P38","3",0.034,0.076,0.093,0.083,0.103
"P38","4",0.08,0.082,0.041,0.133,0.059
"P38","5",0.112,0.135,0.201,0.152,0.093
"P38","6",0.073,0.052,0.065,0.097,0.027
"P38","7",0.064,0.047,0.084,0.036,0.049
"P38","8",0.02,0.038,0.023,0.073,0.023
"P38","9-Pésimo",0.242,0.107,0.141,0.16,0.152
"P38","No sabe",0.04,0.094,0.056,0.044,0.259
"P39","1-Excelente",0.271,0.115,0.177,0.139,0.179
"P39","2",0.055,0.196,0.091,0.146,0.113
"P39","3",0.061,0.112,0.083,0.094,0.026
"P39","4",0.086,0.075,0.055,0.105,0.04
"P39","5",0.157,0.163,0.154,0.148,0.126
"P39","6",0.02,0.059,0.053,0.125,0.034
"P39","7",0.028,0.051,0.129,0.021,0.017
"P39","8",0.039,0.026,0.042,0.067,0.005
"P39","9-Pésimo",0.242,0.116,0.146,0.141,0.185
"P39","No sabe",0.041,0.087,0.07,0.014,0.275
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.457,0.228,0.542,0.574,0.3
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.152,0.297,0.186,0.117,0.144
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.15,0.311,0.182,0.098,0.162
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.226,0.139,0.082,0.103,0.091
"P40","No sabe",0.015,0.025,0.008,0.108,0.303
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.419,0.181,0.447,0.452,0.242
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.125,0.226,0.19,0.203,0.106
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.26,0.385,0.297,0.158,0.279
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.185,0.174,0.061,0.161,0.06
"P41","No sabe",0.011,0.034,0.005,0.026,0.313
"P42","Oponerse totalmente",0.411,0.153,0.431,0.409,0.28
"P42","Oponerse parcialmente",0.1,0.201,0.145,0.199,0.057
"P42","Apoyar parcialmente",0.194,0.377,0.268,0.175,0.212
"P42","Apoyar totalmente",0.274,0.246,0.146,0.182,0.159
"P42","No sabe",0.021,0.023,0.01,0.035,0.292
"P43","Inseguridad y narcotráfico",0.65,0.274,0.212,0.084,0.127
"P43","Altos impuestos y tarifas",0.143,0.491,0.156,0.114,0.179
"P43","Educación y estado de las escuelas",0.088,0.127,0.533,0.239,0.023
"P43","Inflación",0.038,0.047,0.068,0.468,0.254
"P43","Estado de la salud",0.014,0.019,0.023,0.067,0.378
"P43","Corrupción",0.029,0.031,0.008,0,0.013
"P43","Pobreza",0.016,0.002,0,0.012,0.003
"P43","Medio ambiente, incendios y contaminación",0,0.008,0,0,0
"P43","Falta de trabajo",0.021,0,0,0.004,0
