"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.131,0.14,0.122,0.227,0.114,0.059,0.087,0.223,0.102,0.076,0.158,0.119,0.048,0.146,0.23,0.096,0.202,0.068,6
"Buena",0.206,0.189,0.224,0.272,0.175,0.203,0.159,0.165,0.246,0.186,0.212,0.294,0.224,0.098,0.059,0.305,0.169,0.239,6
"Ni buena ni mala",0.364,0.392,0.334,0.306,0.394,0.367,0.398,0.323,0.377,0.39,0.338,0.421,0.336,0.496,0.318,0.39,0.305,0.417,6
"Mala",0.143,0.14,0.145,0.097,0.136,0.194,0.188,0.128,0.137,0.169,0.149,0.105,0.148,0.232,0.181,0.121,0.139,0.146,6
"Muy mala",0.117,0.103,0.133,0.075,0.133,0.128,0.142,0.099,0.106,0.156,0.117,0.036,0.221,0.022,0.171,0.061,0.129,0.106,6
"No sabe",0.039,0.036,0.042,0.023,0.048,0.049,0.026,0.062,0.032,0.023,0.026,0.025,0.023,0.006,0.041,0.027,0.056,0.024,6
"Positiva",0.337,0.329,0.346,0.499,0.289,0.262,0.246,0.388,0.348,0.262,0.37,0.413,0.272,0.244,0.289,0.401,0.371,0.307,4
"Neutra",0.364,0.392,0.334,0.306,0.394,0.367,0.398,0.323,0.377,0.39,0.338,0.421,0.336,0.496,0.318,0.39,0.305,0.417,4
"Negativa",0.26,0.243,0.278,0.172,0.269,0.322,0.33,0.227,0.243,0.325,0.266,0.141,0.369,0.254,0.352,0.182,0.268,0.252,4
"No sabe",0.039,0.036,0.042,0.023,0.048,0.049,0.026,0.062,0.032,0.023,0.026,0.025,0.023,0.006,0.041,0.027,0.056,0.024,4
