"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.2,0.224,0.173,0.29,0.174,0.146,0.191,0.247,0.187,0.169,0.314,0.152,0.089,0.031,0.277,0.159,0.221,0.18,6
"Buena",0.262,0.265,0.259,0.204,0.264,0.323,0.278,0.241,0.286,0.248,0.337,0.268,0.221,0.105,0.282,0.282,0.226,0.295,6
"Ni buena ni mala",0.316,0.326,0.304,0.25,0.347,0.316,0.344,0.28,0.316,0.352,0.237,0.39,0.411,0.467,0.29,0.333,0.345,0.289,6
"Mala",0.124,0.106,0.144,0.155,0.111,0.124,0.105,0.13,0.11,0.141,0.075,0.094,0.193,0.269,0.087,0.126,0.117,0.131,6
"Muy mala",0.064,0.063,0.066,0.068,0.068,0.062,0.04,0.056,0.064,0.072,0.027,0.078,0.078,0.109,0.031,0.074,0.061,0.067,6
"No sabe",0.034,0.016,0.054,0.033,0.036,0.029,0.042,0.046,0.037,0.018,0.01,0.018,0.008,0.019,0.033,0.026,0.03,0.038,6
"Positiva",0.462,0.489,0.432,0.494,0.438,0.469,0.469,0.488,0.473,0.417,0.651,0.42,0.31,0.136,0.559,0.441,0.447,0.475,4
"Neutra",0.316,0.326,0.304,0.25,0.347,0.316,0.344,0.28,0.316,0.352,0.237,0.39,0.411,0.467,0.29,0.333,0.345,0.289,4
"Negativa",0.188,0.169,0.21,0.223,0.179,0.186,0.145,0.186,0.174,0.213,0.102,0.172,0.271,0.378,0.118,0.2,0.178,0.198,4
"No sabe",0.034,0.016,0.054,0.033,0.036,0.029,0.042,0.046,0.037,0.018,0.01,0.018,0.008,0.019,0.033,0.026,0.03,0.038,4
