"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Inseguridad y narcotráfico",0.329,0.34,0.316,0.412,0.285,0.31,0.326,0.484,0.253,0.285,0.386,0.303,0.143,0.504,0.331,0.339,0.402,0.263
"Altos impuestos y tarifas",0.247,0.216,0.282,0.291,0.25,0.235,0.155,0.156,0.335,0.204,0.238,0.33,0.289,0.156,0.186,0.286,0.172,0.315
"Educación y estado de las escuelas",0.174,0.185,0.161,0.154,0.178,0.169,0.217,0.158,0.153,0.224,0.162,0.159,0.235,0.097,0.194,0.152,0.179,0.169
"Inflación",0.144,0.143,0.146,0.091,0.157,0.164,0.186,0.126,0.155,0.147,0.111,0.108,0.21,0.155,0.156,0.134,0.155,0.134
"Estado de la salud",0.063,0.073,0.052,0.029,0.066,0.082,0.102,0.068,0.052,0.076,0.059,0.051,0.097,0.018,0.085,0.05,0.061,0.065
"Corrupción",0.02,0.014,0.027,0,0.037,0.02,0.007,0,0.022,0.039,0.017,0.02,0.006,0.07,0.004,0.029,0.015,0.025
"Pobreza",0.008,0.01,0.005,0,0.014,0.007,0.004,0,0.006,0.018,0.01,0.015,0.002,0,0.009,0.008,0.005,0.01
"Medio ambiente, incendios y contaminación",0.003,0,0.006,0,0.006,0,0,0,0.006,0,0,0,0,0,0,0,0.006,0
"Falta de trabajo",0.007,0.013,0,0.023,0.002,0,0,0,0.014,0.003,0.015,0,0,0,0.021,0.001,0,0.014
"No sabe",0.005,0.006,0.005,0,0.005,0.013,0.003,0.008,0.004,0.004,0.002,0.014,0.018,0,0.014,0.001,0.005,0.005
