"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.238,0.243,0.232,0.346,0.215,0.152,0.212,0.388,0.178,0.167,0.284,0.199,0.092,0.334,0.195,0.291,0.254,0.223,6
"Buena",0.206,0.22,0.19,0.183,0.187,0.271,0.21,0.12,0.255,0.221,0.164,0.348,0.217,0.295,0.099,0.279,0.181,0.228,6
"Ni buena ni mala",0.211,0.199,0.225,0.196,0.247,0.184,0.167,0.24,0.215,0.173,0.245,0.218,0.13,0.143,0.086,0.279,0.197,0.224,6
"Mala",0.11,0.109,0.112,0.08,0.124,0.129,0.102,0.089,0.133,0.097,0.114,0.074,0.076,0.158,0.179,0.06,0.124,0.099,6
"Muy mala",0.191,0.196,0.185,0.126,0.198,0.225,0.265,0.108,0.165,0.326,0.182,0.084,0.397,0.07,0.38,0.063,0.204,0.179,6
"No sabe",0.044,0.033,0.056,0.069,0.029,0.039,0.044,0.055,0.054,0.016,0.011,0.077,0.088,0,0.061,0.028,0.04,0.047,6
"Positiva",0.444,0.463,0.422,0.529,0.402,0.423,0.422,0.508,0.433,0.388,0.448,0.547,0.309,0.629,0.294,0.57,0.435,0.451,4
"Neutra",0.211,0.199,0.225,0.196,0.247,0.184,0.167,0.24,0.215,0.173,0.245,0.218,0.13,0.143,0.086,0.279,0.197,0.224,4
"Negativa",0.301,0.305,0.297,0.206,0.322,0.354,0.367,0.197,0.298,0.423,0.296,0.158,0.473,0.228,0.559,0.123,0.328,0.278,4
"No sabe",0.044,0.033,0.056,0.069,0.029,0.039,0.044,0.055,0.054,0.016,0.011,0.077,0.088,0,0.061,0.028,0.04,0.047,4
