"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.181,0.212,0.151,0.367,0.088,0.101,0.177,0.321,0.159,0.096,0.259,0.199,0.13,0.088,0.334,0.116,0.181,0,6
"Buena",0.166,0.148,0.184,0.101,0.173,0.205,0.242,0.145,0.187,0.154,0.175,0.242,0.136,0.053,0.191,0.148,0.166,0,6
"Ni buena ni mala",0.286,0.279,0.293,0.232,0.286,0.369,0.277,0.238,0.305,0.301,0.319,0.272,0.157,0.31,0.278,0.302,0.286,0,6
"Mala",0.153,0.16,0.146,0.081,0.192,0.161,0.186,0.09,0.135,0.229,0.115,0.102,0.214,0.264,0.07,0.192,0.153,0,6
"Muy mala",0.182,0.178,0.185,0.193,0.225,0.128,0.095,0.157,0.184,0.2,0.113,0.185,0.316,0.285,0.069,0.228,0.182,0,6
"No sabe",0.032,0.023,0.041,0.026,0.036,0.036,0.023,0.049,0.03,0.02,0.019,0,0.047,0,0.058,0.014,0.032,0,6
"Positiva",0.347,0.36,0.335,0.468,0.261,0.306,0.419,0.466,0.346,0.25,0.434,0.441,0.266,0.141,0.525,0.264,0.347,0,4
"Neutra",0.286,0.279,0.293,0.232,0.286,0.369,0.277,0.238,0.305,0.301,0.319,0.272,0.157,0.31,0.278,0.302,0.286,0,4
"Negativa",0.335,0.338,0.331,0.274,0.417,0.289,0.281,0.247,0.319,0.429,0.228,0.287,0.53,0.549,0.139,0.42,0.335,0,4
"No sabe",0.032,0.023,0.041,0.026,0.036,0.036,0.023,0.049,0.03,0.02,0.019,0,0.047,0,0.058,0.014,0.032,0,4
