"var","categoria","Oponerse totalmente y no concurrir a la convocatoria","Oponerse parcialmente y concurrir a la convocatoria","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión","Apoyar totalmente la iniciativa del gobierno nacional","No sabe"
"P08","Empleado sector publico",0.413,0.263,0.208,0.182,0.172
"P08","Empleado sector privado",0.275,0.263,0.326,0.308,0.255
"P08","Changas o trabajos eventuales",0.134,0.222,0.224,0.191,0.354
"P08","Estudiante",0.046,0.049,0.015,0.057,0
"P08","Amas de casa",0.06,0.039,0.042,0.04,0.054
"P08","Profesional o independiente",0.023,0.046,0.071,0.085,0.019
"P08","Comerciante, emprendedor o empresario",0.021,0.052,0.044,0.079,0.124
"P08","Trabajador informal",0.004,0.019,0.002,0.014,0
"P08","No tengo trabajo",0.024,0.047,0.068,0.044,0.022
"P09","Siempre",0.327,0.212,0.208,0.172,0.048
"P09","Casi siempre",0.331,0.437,0.335,0.314,0.342
"P09","Casi nunca",0.248,0.265,0.333,0.377,0.268
"P09","Nunca, pero esta es una excepción",0.094,0.086,0.124,0.137,0.342
"P10","Muy buena",0.346,0.138,0.153,0.048,0.152
"P10","Buena",0.159,0.306,0.244,0.141,0.169
"P10","Ni buena ni mala",0.347,0.405,0.291,0.341,0.335
"P10","Mala",0.103,0.124,0.221,0.144,0.108
"P10","Muy mala",0.044,0.026,0.052,0.274,0.004
"P10","No sabe",0.001,0.001,0.039,0.052,0.232
"P11","Muy buena",0.323,0.166,0.182,0.111,0.119
"P11","Buena",0.215,0.427,0.263,0.128,0.261
"P11","Ni buena ni mala",0.309,0.258,0.275,0.293,0.328
"P11","Mala",0.08,0.099,0.193,0.226,0.102
"P11","Muy mala",0.064,0.036,0.053,0.206,0.004
"P11","No sabe",0.009,0.014,0.034,0.036,0.186
"P13","Muy buena",0.322,0.216,0.153,0.087,0.01
"P13","Buena",0.21,0.371,0.263,0.139,0.263
"P13","Ni buena ni mala",0.292,0.287,0.295,0.262,0.428
"P13","Mala",0.137,0.116,0.155,0.219,0.108
"P13","Muy mala",0.039,0.009,0.1,0.257,0.004
"P13","No sabe",0,0.001,0.034,0.036,0.187
"P14","Muy buena",0.23,0.153,0.058,0.045,0.118
"P14","Buena",0.168,0.238,0.118,0.115,0.237
"P14","Ni buena ni mala",0.244,0.249,0.243,0.239,0.265
"P14","Mala",0.18,0.27,0.36,0.292,0.102
"P14","Muy mala",0.14,0.087,0.185,0.309,0.039
"P14","No sabe",0.038,0.003,0.036,0,0.239
"P15","Muy buena",0.239,0.107,0.112,0.064,0.129
"P15","Buena",0.125,0.285,0.103,0.069,0.302
"P15","Ni buena ni mala",0.333,0.346,0.328,0.289,0.205
"P15","Mala",0.129,0.142,0.288,0.185,0.146
"P15","Muy mala",0.14,0.089,0.124,0.348,0.021
"P15","No sabe",0.034,0.031,0.045,0.045,0.197
"P16","Muy buena",0.348,0.121,0.097,0.069,0.069
"P16","Buena",0.179,0.324,0.104,0.108,0.365
"P16","Ni buena ni mala",0.231,0.286,0.25,0.2,0.158
"P16","Mala",0.113,0.174,0.309,0.231,0.113
"P16","Muy mala",0.083,0.091,0.202,0.336,0.01
"P16","No sabe",0.046,0.004,0.038,0.056,0.285
"P17","Muy buena",0.335,0.148,0.042,0.101,0.044
"P17","Buena",0.271,0.248,0.088,0.063,0.288
"P17","Ni buena ni mala",0.234,0.205,0.119,0.058,0.22
"P17","Mala",0.071,0.206,0.313,0.156,0.17
"P17","Muy mala",0.075,0.189,0.433,0.59,0.092
"P17","No sabe",0.014,0.004,0.005,0.032,0.186
"P18","Muy buena",0.238,0.136,0.433,0.585,0.057
"P18","Buena",0.082,0.372,0.219,0.113,0.25
"P18","Ni buena ni mala",0.102,0.152,0.17,0.07,0.171
"P18","Mala",0.232,0.147,0.088,0.073,0.136
"P18","Muy mala",0.337,0.185,0.082,0.131,0.152
"P18","No sabe",0.009,0.008,0.008,0.028,0.234
"P20","Muy buena",0.219,0.058,0.085,0.092,0.01
"P20","Buena",0.188,0.261,0.149,0.043,0.353
"P20","Ni buena ni mala",0.277,0.399,0.326,0.252,0.165
"P20","Mala",0.11,0.187,0.196,0.19,0.118
"P20","Muy mala",0.155,0.046,0.175,0.394,0.081
"P20","No sabe",0.051,0.049,0.069,0.029,0.273
"P21","Si",0.611,0.531,0.414,0.274,0.312
"P21","No",0.242,0.321,0.418,0.545,0.187
"P21","No sabe",0.147,0.148,0.168,0.181,0.501
"P23","Gobierno nacional",0.57,0.238,0.129,0.11,0.154
"P23","Gobierno provincial",0.333,0.619,0.718,0.854,0.372
"P23","No sabe",0.097,0.143,0.153,0.036,0.474
"P24","El gobierno anterior de Omar Gutierrez",0.319,0.439,0.499,0.472,0.012
"P24","El actual gobierno de Rolo Figueroa",0.244,0.337,0.202,0.227,0.362
"P24","No sabe",0.437,0.224,0.299,0.301,0.626
"P25","El gobierno anterior de Alberto Fernández",0.319,0.424,0.817,1,0
"P25","El actual gobierno de Javier Milei",0.617,0.493,0.075,0,0.278
"P25","No sabe",0.064,0.083,0.108,0,0.722
"P26","Si",0.856,0.758,0.914,0.914,0.498
"P26","No",0.144,0.242,0.086,0.086,0.502
"P27","Si",0.648,0.326,0.108,0.152,0.077
"P27","No estoy seguro",0.249,0.511,0.504,0.405,0.375
"P27","No",0.032,0.109,0.25,0.394,0.194
"P27","No sabe",0.071,0.054,0.138,0.049,0.354
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.261,0.231,0.241,0.399,0.021
"P28","Investigaciones científicas no declaradas con fines secretos",0.281,0.377,0.306,0.145,0.275
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.097,0.071,0.241,0.271,0.018
"P28","Otro",0.106,0.107,0.082,0.063,0.139
"P28","No sabe",0.255,0.214,0.13,0.122,0.547
"P29","Es imposible",0.379,0.224,0.286,0.386,0.071
"P29","Es muy difícil",0.15,0.369,0.385,0.33,0.2
"P29","Es bastante factible",0.167,0.14,0.134,0.052,0.014
"P29","Es posible",0.236,0.209,0.101,0.194,0.095
"P29","No sabe",0.068,0.058,0.094,0.038,0.62
"P30","Si",0.319,0.313,0.529,0.791,0.136
"P30","Es probable",0.142,0.284,0.308,0.072,0.249
"P30","No",0.45,0.293,0.1,0.058,0.07
"P30","No sabe",0.089,0.11,0.063,0.079,0.545
"P31","De acuerdo",0.346,0.445,0.769,0.869,0.167
"P31","Ni de acuerdo ni en desacuerdo",0.223,0.352,0.12,0.075,0.355
"P31","En desacuerdo",0.417,0.158,0.08,0.007,0.097
"P31","No sabe",0.014,0.045,0.031,0.049,0.381
"P32","Si",0.705,0.625,0.744,0.768,0.282
"P32","No",0.196,0.281,0.094,0.174,0.216
"P32","No sabe",0.099,0.094,0.162,0.058,0.502
"P33","Muy de acuerdo",0.227,0.065,0.243,0.427,0.07
"P33","De acuerdo",0.12,0.271,0.221,0.368,0.181
"P33","Ni de acuerdo ni en desacuerdo",0.019,0.218,0.301,0.135,0.029
"P33","En desacuerdo",0.522,0.394,0.189,0.04,0.346
"P33","Muy en desacuerdo",0.112,0.039,0.027,0.03,0.142
"P33","No sabe",0,0.013,0.019,0,0.232
"P34","Si",0.751,0.651,0.712,0.822,0.194
"P34","No",0.249,0.349,0.288,0.178,0.806
"P35","Muy de acuerdo",0.252,0.125,0.32,0.361,0.013
"P35","De acuerdo",0.087,0.351,0.212,0.287,0.351
"P35","Ni de acuerdo ni en desacuerdo",0.095,0.205,0.179,0.18,0.105
"P35","En desacuerdo",0.416,0.265,0.165,0.11,0.238
"P35","Muy en desacuerdo",0.147,0.05,0.116,0.062,0.159
"P35","No sabe",0.003,0.004,0.008,0,0.134
"P36","1-Excelente",0.321,0.238,0.153,0.114,0.029
"P36","2",0.104,0.168,0.092,0.114,0.238
"P36","3",0.034,0.06,0.092,0.065,0.001
"P36","4",0.045,0.066,0.05,0.049,0.082
"P36","5",0.185,0.136,0.203,0.09,0.054
"P36","6",0.047,0.044,0.03,0.008,0
"P36","7",0.055,0.056,0.014,0.028,0
"P36","8",0.016,0.049,0.044,0.036,0
"P36","9-Pésimo",0.132,0.15,0.226,0.346,0.249
"P36","No sabe",0.061,0.033,0.096,0.15,0.347
"P37","1-Excelente",0.287,0.132,0.082,0.136,0.015
"P37","2",0.091,0.296,0.105,0.014,0.279
"P37","3",0.047,0.066,0.069,0.054,0.086
"P37","4",0.056,0.053,0.088,0.124,0.069
"P37","5",0.178,0.13,0.227,0.143,0.011
"P37","6",0.087,0.083,0.082,0.025,0.009
"P37","7",0.058,0.037,0.038,0.06,0
"P37","8",0.029,0.037,0.033,0.084,0
"P37","9-Pésimo",0.119,0.136,0.234,0.314,0.184
"P37","No sabe",0.048,0.03,0.042,0.046,0.347
"P38","1-Excelente",0.282,0.236,0.108,0.102,0.095
"P38","2",0.091,0.222,0.104,0.044,0.196
"P38","3",0.067,0.099,0.067,0.062,0.089
"P38","4",0.076,0.046,0.087,0.17,0.021
"P38","5",0.161,0.098,0.148,0.117,0.015
"P38","6",0.048,0.06,0.097,0.05,0.059
"P38","7",0.043,0.04,0.089,0.022,0
"P38","8",0.039,0.025,0.047,0.047,0
"P38","9-Pésimo",0.129,0.117,0.189,0.331,0.178
"P38","No sabe",0.064,0.057,0.064,0.055,0.347
"P39","1-Excelente",0.326,0.125,0.079,0.104,0.135
"P39","2",0.09,0.285,0.109,0.05,0.022
"P39","3",0.062,0.098,0.11,0.094,0
"P39","4",0.066,0.067,0.079,0.091,0.098
"P39","5",0.135,0.139,0.2,0.144,0.192
"P39","6",0.062,0.056,0.052,0.069,0.057
"P39","7",0.063,0.021,0.062,0.031,0
"P39","8",0.018,0.046,0.035,0.039,0.006
"P39","9-Pésimo",0.124,0.132,0.185,0.33,0.179
"P39","No sabe",0.054,0.031,0.089,0.048,0.311
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.891,0.45,0.068,0.025,0.071
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.04,0.524,0.269,0.019,0.111
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.04,0.02,0.475,0.264,0.01
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.008,0.004,0.161,0.641,0.064
"P40","No sabe",0.021,0.002,0.027,0.051,0.744
"P42","Oponerse totalmente",0.806,0.229,0.031,0.004,0.098
"P42","Oponerse parcialmente",0.115,0.428,0.072,0.012,0.235
"P42","Apoyar parcialmente",0.034,0.3,0.61,0.108,0
"P42","Apoyar totalmente",0.035,0.035,0.243,0.868,0.07
"P42","No sabe",0.01,0.008,0.044,0.008,0.597
"P43","Inseguridad y narcotráfico",0.348,0.243,0.339,0.428,0.154
"P43","Altos impuestos y tarifas",0.188,0.366,0.292,0.18,0.142
"P43","Educación y estado de las escuelas",0.214,0.159,0.145,0.193,0.098
"P43","Inflación",0.184,0.152,0.095,0.081,0.343
"P43","Estado de la salud",0.044,0.066,0.047,0.059,0.263
"P43","Corrupción",0.004,0.008,0.037,0.041,0
"P43","Pobreza",0.009,0.006,0.011,0.004,0
"P43","Medio ambiente, incendios y contaminación",0,0,0.009,0,0
"P43","Falta de trabajo",0.003,0,0.021,0,0
"P43","No sabe",0.006,0,0.004,0.014,0
"P47","Muy buena",0.242,0.092,0.045,0.004,0
"P47","Buena",0.252,0.288,0.332,0.224,0.262
"P47","Ni buena ni mala",0.25,0.442,0.353,0.303,0.258
"P47","Mala",0.214,0.137,0.166,0.234,0.258
"P47","Muy mala",0.04,0.034,0.057,0.203,0.065
"P47","No sabe",0.002,0.007,0.047,0.032,0.157
"P48","Peor",0.578,0.341,0.249,0.344,0.112
"P48","Igual",0.326,0.467,0.462,0.516,0.489
"P48","Mejor",0.067,0.161,0.221,0.073,0.011
"P48","No sabe",0.029,0.031,0.068,0.067,0.388
"P49","Peor",0.619,0.242,0.184,0.236,0.113
"P49","Igual",0.234,0.413,0.386,0.349,0.297
