"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales Libertarios","Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.848,0.19,0.121,0.209,0.27
"P07","Al candidato de Juntos por el Cambio",0.03,0.713,0.223,0.268,0.289
"P07","Al candidato de los liberales - libertarios",0.022,0.035,0.549,0.176,0.042
"P07","Al candidato de la Izquierda",0.055,0.001,0.003,0.269,0.003
"P07","A otro candidato",0.008,0.032,0.072,0.046,0.165
"P07","No sabe",0.037,0.029,0.032,0.032,0.231
"P08","A Julio Zamora por el Frente de Todos",0.641,0.158,0.199,0.176,0.328
"P08","A Malena Galmarini por el Frente de Todos",0.203,0.029,0.028,0.153,0.126
"P08","A Segundo Cernadas por Cambiemos",0.068,0.522,0.24,0.326,0.249
"P08","A Nicolás Massot por Cambiemos",0.012,0.232,0.064,0,0.089
"P08","Al candidato de los liberales libertarios",0.017,0.03,0.416,0,0.011
"P08","A Paula Akerfeld por el Frente de Izquierda",0.026,0.002,0.004,0.259,0.017
"P08","No sabe",0.033,0.027,0.049,0.086,0.18
"P10","A Julio Zamora por el Frente de Todos",0.741,0.141,0.18,0.212,0.361
"P10","A Segundo Cernadas por Cambiemos",0.071,0.689,0.242,0.243,0.305
"P10","Al candidato de los liberales libertarios",0.043,0.102,0.433,0,0.071
"P10","A Paula Akerfeld por el Frente de Izquierda",0.056,0.014,0.004,0.479,0.023
"P10","No sabe",0.089,0.054,0.141,0.066,0.24
"P12","A Malena Galmarini por el Frente de Todos",0.68,0.108,0.097,0.168,0.265
"P12","A Segundo Cernadas por Cambiemos",0.106,0.748,0.226,0.463,0.393
"P12","Al candidato de los liberales libertarios",0.042,0.055,0.512,0,0.084
"P12","A Paula Akerfeld por el Frente de Izquierda",0.041,0.009,0.035,0.306,0.009
"P12","No sabe",0.131,0.08,0.13,0.063,0.249
"P14","Muy buena",0.246,0.084,0.029,0.122,0.131
"P14","Buena",0.309,0.025,0.104,0.088,0.169
"P14","Ni buena ni mala",0.249,0.175,0.236,0.147,0.231
"P14","Mala",0.089,0.196,0.109,0.352,0.204
"P14","Muy mala",0.054,0.495,0.44,0.246,0.172
"P14","No sabe",0.053,0.025,0.082,0.045,0.093
"P15","Muy buena",0.385,0.153,0.059,0.034,0.141
"P15","Buena",0.299,0.137,0.138,0.218,0.161
"P15","Ni buena ni mala",0.184,0.224,0.29,0.309,0.451
"P15","Mala",0.034,0.271,0.248,0.09,0.1
"P15","Muy mala",0.041,0.206,0.261,0.349,0.084
"P15","No sabe",0.057,0.009,0.004,0,0.063
"P16","Muy buena",0.084,0.424,0.112,0,0.085
"P16","Buena",0.078,0.29,0.189,0.162,0.315
"P16","Ni buena ni mala",0.321,0.148,0.349,0.187,0.262
"P16","Mala",0.218,0.051,0.096,0.215,0.116
"P16","Muy mala",0.208,0.032,0.094,0.353,0.118
"P16","No sabe",0.091,0.055,0.16,0.083,0.104
"P17","Muy buena",0.082,0.037,0.032,0.015,0.09
"P17","Buena",0.06,0.053,0.045,0.049,0.035
"P17","Ni buena ni mala",0.348,0.369,0.366,0.159,0.308
"P17","Mala",0.068,0.07,0.15,0.28,0.086
"P17","Muy mala",0.076,0.064,0.111,0.141,0.076
"P17","No sabe",0.366,0.407,0.296,0.356,0.405
"P18","Muy buena",0.049,0.188,0.099,0.071,0.102
"P18","Buena",0.069,0.15,0.058,0.079,0.038
"P18","Ni buena ni mala",0.353,0.356,0.391,0.355,0.379
"P18","Mala",0.141,0.085,0.139,0.117,0.084
"P18","Muy mala",0.155,0.026,0.083,0.154,0.068
"P18","No sabe",0.233,0.195,0.23,0.224,0.329
"P19","Muy buena",0.389,0.142,0.027,0.041,0.088
"P19","Buena",0.348,0.121,0.164,0.183,0.229
"P19","Ni buena ni mala",0.12,0.321,0.291,0.21,0.351
"P19","Mala",0.047,0.238,0.238,0.294,0.107
"P19","Muy mala",0.06,0.166,0.253,0.272,0.173
"P19","No sabe",0.036,0.012,0.027,0,0.052
"P20","Que continúe el intendente Julio Zamora",0.364,0.121,0.079,0.017,0.11
"P20","Que continúe Julio Zamora pero con mejoras",0.437,0.139,0.158,0.266,0.257
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.085,0.182,0.146,0.28,0.279
"P20","Que cambie el intendente Julio Zamora",0.114,0.558,0.617,0.437,0.354
"P21","La seguridad",0.233,0.366,0.305,0.182,0.274
"P21","El tránsito",0.052,0.022,0.037,0.02,0.072
"P21","El arreglo de las calles",0.209,0.108,0.067,0.063,0.111
"P21","El estado de las escuelas y la educación",0.038,0.047,0.026,0.071,0.096
"P21","El sistema de salud",0.085,0.077,0.055,0.103,0.086
"P21","El deporte y la cultura",0.119,0.089,0.171,0.324,0.054
"P21","La obra pública",0.094,0.015,0.043,0.113,0.032
"P21","La luminaria",0.066,0.096,0.112,0.029,0.043
"P21","No sabe",0.104,0.18,0.184,0.095,0.232
"P22","La seguridad",0.139,0.2,0.121,0.038,0.197
"P22","El tránsito",0.121,0.12,0.134,0.368,0.115
"P22","El arreglo de las calles",0.142,0.177,0.185,0,0.092
"P22","El estado de las escuelas y la educación",0.147,0.163,0.162,0.188,0.163
"P22","El sistema de salud",0.203,0.13,0.198,0.171,0.191
"P22","El deporte y la cultura",0.032,0.027,0.015,0,0.016
"P22","La obra pública",0.028,0.043,0.085,0.087,0.022
"P22","La luminaria",0.031,0.018,0.008,0.049,0.01
"P22","No sabe",0.157,0.122,0.092,0.099,0.194
"P23","Agua corriente y cloacas",0.417,0.526,0.359,0.434,0.402
"P23","Energía eléctrica",0.138,0.104,0.24,0.1,0.116
"P23","Red de gas natural",0.071,0.065,0.108,0,0.095
"P23","Recolección de residuos",0.119,0.14,0.114,0.371,0.097
"P23","Ninguno",0.255,0.165,0.179,0.095,0.29
"P24","Los robos",0.28,0.214,0.361,0.184,0.241
"P24","El narcotráfico",0.295,0.361,0.194,0.075,0.156
"P24","La ausencia de patrulleros y personal policial",0.169,0.222,0.227,0.047,0.093
"P24","Otro",0.146,0.128,0.19,0.665,0.191
"P24","Ninguno",0.11,0.075,0.028,0.029,0.319
"P31","Muy buena",0.153,0.077,0.003,0.053,0.008
"P31","Buena",0.289,0.053,0.014,0.079,0.027
"P31","Ni buena ni mala",0.305,0.061,0.118,0.218,0.25
"P31","Mala",0.177,0.125,0.106,0.204,0.214
"P31","Muy mala",0.068,0.676,0.727,0.446,0.477
"P31","No sabe",0.008,0.008,0.032,0,0.024
"P32","Muy buena",0.052,0.373,0.059,0.015,0.018
"P32","Buena",0.033,0.355,0.251,0.144,0.058
"P32","Ni buena ni mala",0.051,0.13,0.277,0.033,0.488
"P32","Mala",0.17,0.096,0.171,0.289,0.173
"P32","Muy mala",0.677,0.046,0.236,0.519,0.229
"P32","No sabe",0.017,0,0.006,0,0.034
"P33","Muy buena",0.617,0.112,0.082,0.27,0.06
"P33","Buena",0.073,0.042,0.007,0.097,0.084
"P33","Ni buena ni mala",0.091,0.022,0.042,0.076,0.277
"P33","Mala",0.077,0.051,0.01,0.077,0.117
"P33","Muy mala",0.142,0.768,0.859,0.48,0.378
"P33","No sabe",0,0.005,0,0,0.084
"P34","Muy buena",0.051,0.272,0.133,0.134,0.059
"P34","Buena",0.07,0.349,0.186,0.281,0.371
"P34","Ni buena ni mala",0.158,0.197,0.253,0.146,0.223
"P34","Mala",0.173,0.089,0.14,0.068,0.118
"P34","Muy mala",0.521,0.089,0.281,0.371,0.185
"P34","No sabe",0.027,0.004,0.007,0,0.044
"P35","Muy buena",0.177,0.061,0.025,0.111,0.054
"P35","Buena",0.406,0.064,0.041,0.057,0.306
"P35","Ni buena ni mala",0.197,0.081,0.183,0.113,0.263
"P35","Mala",0.072,0.196,0.145,0.186,0.148
"P35","Muy mala",0.144,0.593,0.605,0.533,0.21
"P35","No sabe",0.004,0.005,0.001,0,0.019
"P36","Muy buena",0.019,0.536,0.188,0.092,0.129
"P36","Buena",0.064,0.265,0.198,0.09,0.285
"P36","Ni buena ni mala",0.078,0.077,0.291,0.305,0.164
"P36","Mala",0.159,0.067,0.098,0.077,0.156
"P36","Muy mala",0.635,0.046,0.222,0.436,0.216
"P36","No sabe",0.045,0.009,0.003,0,0.05
"P37","Muy buena",0.024,0.14,0.502,0.224,0.071
"P37","Buena",0.04,0.2,0.225,0.035,0.093
"P37","Ni buena ni mala",0.094,0.418,0.187,0.168,0.312
"P37","Mala",0.1,0.147,0.015,0.034,0.207
"P37","Muy mala",0.679,0.063,0.057,0.539,0.203
"P37","No sabe",0.063,0.032,0.014,0,0.114
