"var","categoria","A Julio Zamora por el Frente de Todos","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","A Nicolás Massot por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.795,0.62,0.183,0.075,0.022,0.01,0.151
"P07","Al candidato de Juntos por el Cambio",0.07,0.117,0.671,0.845,0.13,0,0.073
"P07","Al candidato de los liberales - libertarios",0.06,0.023,0.08,0.032,0.712,0.034,0.047
"P07","Al candidato de la Izquierda",0.003,0.034,0.001,0.005,0.072,0.464,0.008
"P07","A otro candidato",0.013,0.049,0.04,0.038,0.056,0.348,0.33
"P07","No sabe",0.059,0.157,0.025,0.005,0.008,0.144,0.391
"P10","A Julio Zamora por el Frente de Todos",0.837,0.464,0.127,0.039,0.003,0.027,0.141
"P10","A Segundo Cernadas por Cambiemos",0.065,0.227,0.75,0.634,0.106,0,0.129
"P10","Al candidato de los liberales libertarios",0.075,0.016,0.08,0.146,0.734,0.236,0.019
"P10","A Paula Akerfeld por el Frente de Izquierda",0.014,0.085,0.025,0.048,0,0.644,0.003
"P10","No sabe",0.009,0.208,0.018,0.133,0.157,0.093,0.708
"P12","A Malena Galmarini por el Frente de Todos",0.554,0.85,0.091,0.05,0.027,0.055,0.055
"P12","A Segundo Cernadas por Cambiemos",0.166,0.118,0.832,0.625,0.106,0.356,0.144
"P12","Al candidato de los liberales libertarios",0.097,0,0.023,0.165,0.809,0,0.066
"P12","A Paula Akerfeld por el Frente de Izquierda",0.03,0.016,0.013,0.062,0,0.481,0.01
"P12","No sabe",0.153,0.016,0.041,0.098,0.058,0.108,0.725
"P14","Muy buena",0.187,0.412,0.086,0.071,0.028,0.026,0.003
"P14","Buena",0.244,0.425,0.056,0.02,0.017,0.011,0.037
"P14","Ni buena ni mala",0.299,0.099,0.157,0.139,0.175,0.036,0.336
"P14","Mala",0.139,0.02,0.2,0.215,0.11,0.479,0.202
"P14","Muy mala",0.071,0.027,0.402,0.544,0.572,0.345,0.155
"P14","No sabe",0.06,0.017,0.099,0.011,0.098,0.103,0.267
"P15","Muy buena",0.415,0.149,0.108,0.039,0.001,0.029,0.078
"P15","Buena",0.347,0.28,0.097,0.083,0.098,0.024,0.105
"P15","Ni buena ni mala",0.162,0.318,0.253,0.363,0.231,0.318,0.427
"P15","Mala",0.041,0.095,0.294,0.27,0.197,0.086,0.197
"P15","Muy mala",0.022,0.109,0.199,0.239,0.429,0.497,0.043
"P15","No sabe",0.013,0.049,0.049,0.006,0.044,0.046,0.15
"P16","Muy buena",0.068,0.135,0.433,0.26,0.066,0,0.01
"P16","Buena",0.126,0.157,0.284,0.291,0.167,0.021,0.128
"P16","Ni buena ni mala",0.297,0.259,0.141,0.218,0.517,0.444,0.298
"P16","Mala",0.224,0.194,0.051,0.032,0.053,0.137,0.097
