"clase","Opinión","Todos","GBA2","CABA","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Axel Kicillof","Positiva",0.465,0.408,0.489,0.429,0.498,0.41,0.489,0.478,0.462,0.531,0.441,0.444,0.782,0.147,0.388
"Axel Kicillof","Negativa",0.525,0.579,0.501,0.559,0.492,0.572,0.502,0.517,0.527,0.451,0.551,0.548,0.205,0.847,0.608
"Axel Kicillof","No sabe",0.01,0.013,0.01,0.012,0.01,0.018,0.009,0.005,0.011,0.018,0.008,0.008,0.013,0.006,0.004
"Malena Galmarini","Positiva",0.381,0.345,0.396,0.357,0.404,0.34,0.37,0.415,0.41,0.406,0.37,0.376,0.639,0.139,0.347
"Malena Galmarini","Negativa",0.549,0.6,0.527,0.577,0.522,0.532,0.568,0.532,0.551,0.49,0.571,0.565,0.286,0.803,0.621
"Malena Galmarini","No sabe",0.07,0.055,0.077,0.066,0.074,0.128,0.062,0.053,0.039,0.104,0.059,0.059,0.075,0.058,0.032
"Horacio Rodriguez Larreta","Positiva",0.328,0.338,0.324,0.293,0.361,0.238,0.336,0.323,0.432,0.353,0.327,0.311,0.214,0.457,0.491
"Horacio Rodriguez Larreta","Negativa",0.661,0.657,0.663,0.7,0.625,0.74,0.658,0.668,0.559,0.628,0.664,0.683,0.77,0.54,0.509
"Horacio Rodriguez Larreta","No sabe",0.011,0.005,0.013,0.007,0.014,0.022,0.006,0.009,0.009,0.019,0.009,0.006,0.016,0.003,0
"Alberto Fernandez","Positiva",0.23,0.18,0.251,0.21,0.247,0.21,0.219,0.247,0.253,0.33,0.231,0.154,0.362,0.103,0.245
"Alberto Fernandez","Negativa",0.769,0.817,0.748,0.788,0.751,0.79,0.78,0.752,0.743,0.67,0.768,0.842,0.637,0.896,0.755
"Alberto Fernandez","No sabe",0.001,0.003,0.001,0.002,0.002,0,0.001,0.001,0.004,0,0.001,0.004,0.001,0.001,0
