"var","categoria","Si desmejoró","No desmejoró"
"aysa_1","Si",0.858,0.954
"aysa_1","No",0.142,0.046
"aysa_2","A la empresa Aysa en forma directa",0.781,0.877
"aysa_2","Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa Aysa",0.088,0.026
"aysa_2","Es una red desvinculada de la empresa Aysa",0.075,0.048
"aysa_2","No sabe",0.056,0.049
"aysa_3","Si desmejoró",0.572,0.316
"aysa_3","No desmejoró",0.428,0.684
"aysa_4","Color",0.269,0.233
"aysa_4","Olor",0.216,0.192
"aysa_4","Gusto",0.34,0.39
"aysa_4","Presión",0.175,0.185
"P33","Gran excedente habitual",0.015,0.009
"P33","Gran excedente excepcional",0.006,0.002
"P33","Pequeño excedente habitual",0.061,0.073
"P33","Pequeño excedente excepcional",0.034,0.075
"P33","Alcanza gastos familia",0.1,0.231
"P33","No alcanza gastos familia",0.135,0.093
"P33","Solo NBFamiliares",0.28,0.301
"P33","No alcanza NBFamiliares",0.362,0.201
"P33","No sabe",0.007,0.015
"P45","Muy buena",0.068,0.031
"P45","Buena",0.071,0.096
"P45","Ni buena ni mala",0.146,0.244
"P45","Mala",0.198,0.263
"P45","Muy mala",0.516,0.365
"P45","No sabe",0.001,0.001
"P48","Muy buena",0.1,0.059
"P48","Buena",0.178,0.156
"P48","Ni buena ni mala",0.267,0.295
"P48","Mala",0.252,0.301
"P48","Muy mala",0.199,0.182
"P48","No sabe",0.004,0.007
"P51","Muy buena",0.151,0.355
"P51","Buena",0.078,0.128
"P51","Ni buena ni mala",0.116,0.096
"P51","Mala",0.125,0.112
"P51","Muy mala",0.525,0.294
"P51","No sabe",0.005,0.015
"P56","Muy buena",0.062,0.087
"P56","Buena",0.091,0.191
"P56","Ni buena ni mala",0.223,0.282
"P56","Mala",0.13,0.117
"P56","Muy mala",0.448,0.244
"P56","No sabe",0.046,0.079
