"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P7","Muy buena",0.311,0.147,0.23,0.185,0.167,0.138,0.143,0.09,0.021
"P7","Buena",0.256,0.279,0.262,0.203,0.192,0.134,0.343,0.165,0.111
"P7","Ni buena ni mala",0.261,0.05,0.259,0.217,0.213,0.11,0.255,0.163,0.223
"P7","Mala",0.051,0.095,0.096,0.273,0.124,0.151,0.079,0.292,0.201
"P7","Muy mala",0.068,0.429,0.14,0.122,0.264,0.441,0.167,0.289,0.422
"P7","No sabe",0.053,0,0.013,0,0.04,0.026,0.013,0.001,0.022
"P8","Muy buena",0.142,0.153,0.097,0.01,0.208,0.06,0,0.06,0.102
"P8","Buena",0.089,0.121,0.128,0.023,0.092,0.129,0.072,0.09,0.181
"P8","Ni buena ni mala",0.484,0.36,0.493,0.396,0.26,0.32,0.475,0.448,0.362
"P8","Mala",0.087,0.026,0.105,0.419,0.106,0.09,0.041,0.084,0.04
"P8","Muy mala",0.121,0.327,0.047,0.114,0.2,0.166,0.298,0.252,0.124
"P8","No sabe",0.077,0.013,0.13,0.038,0.134,0.235,0.114,0.066,0.191
"P9","Muy buena",0.315,0.358,0.221,0.058,0.17,0.109,0.052,0.021,0.035
"P9","Buena",0.231,0.127,0.229,0.2,0.165,0.134,0.44,0.114,0.065
"P9","Ni buena ni mala",0.362,0.218,0.255,0.333,0.221,0.138,0.275,0.231,0.292
"P9","Mala",0.021,0.095,0.115,0.189,0.161,0.109,0.079,0.11,0.17
"P9","Muy mala",0.059,0.202,0.091,0.203,0.256,0.389,0.054,0.368,0.307
"P9","No sabe",0.012,0,0.089,0.017,0.027,0.121,0.1,0.156,0.131
"P10","Muy buena",0.066,0.053,0.057,0.006,0.062,0.027,0,0.069,0.046
"P10","Buena",0.159,0.135,0.077,0,0.052,0.083,0.175,0.11,0.096
"P10","Ni buena ni mala",0.492,0.46,0.452,0.424,0.322,0.292,0.323,0.308,0.45
"P10","Mala",0.093,0.026,0.125,0.423,0.139,0.06,0.091,0.138,0.088
"P10","Muy mala",0.119,0.241,0.055,0.099,0.192,0.206,0.299,0.189,0.109
"P10","No sabe",0.071,0.085,0.234,0.048,0.233,0.332,0.112,0.186,0.211
"P11","Muy buena",0.099,0.241,0.142,0.111,0.048,0.016,0.158,0.092,0.052
"P11","Buena",0.251,0.194,0.053,0.112,0.057,0.135,0.018,0.086,0.117
"P11","Ni buena ni mala",0.354,0.161,0.258,0.416,0.285,0.17,0.376,0.222,0.286
"P11","Mala",0.08,0.338,0.246,0.299,0.104,0.107,0.11,0.195,0.177
"P11","Muy mala",0.216,0.066,0.219,0.062,0.312,0.511,0.308,0.392,0.287
"P11","No sabe",0,0,0.082,0,0.194,0.061,0.03,0.013,0.081
"P12","Muy buena",0.129,0.292,0.064,0.064,0.089,0.015,0.017,0.031,0.04
"P12","Buena",0.084,0.009,0.099,0.02,0.044,0.053,0.004,0.215,0.118
"P12","Ni buena ni mala",0.4,0.331,0.333,0.391,0.476,0.336,0.366,0.402,0.385
"P12","Mala",0.138,0.147,0.112,0.363,0.063,0.045,0.08,0.028,0.067
