"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P10","Siempre",0.209,0.136,0.179,0.185,0.169,0.138
"P10","Casi siempre",0.278,0.347,0.275,0.281,0.336,0.286
"P10","Casi nunca",0.343,0.335,0.374,0.354,0.31,0.321
"P10","Nunca, pero esta es una excepción",0.17,0.182,0.172,0.18,0.185,0.255
"P11","El gobierno de Javier Milei",0.072,0.144,0.388,0.641,0.599,0.485
"P11","El gobierno de Alberto Fernández",0.834,0.63,0.246,0.121,0.185,0.193
"P11","Ambos",0.068,0.165,0.281,0.196,0.154,0.209
"P11","No sabe",0.026,0.061,0.085,0.042,0.062,0.113
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.249,0.167,0.163,0.085,0.078,0.061
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.361,0.524,0.338,0.24,0.191,0.175
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.177,0.131,0.1,0.066,0.118,0.133
"P12","Retirarla y no presentar nada",0.029,0.077,0.264,0.544,0.563,0.364
"P12","Volverla a presentar igual",0.146,0.05,0.018,0.023,0.021,0.03
"P12","No sabe",0.038,0.051,0.117,0.042,0.029,0.237
"P13","Javier Milei",0.813,0.5,0.197,0.119,0.181,0.113
"P13","Los gobernadores",0.103,0.344,0.547,0.805,0.724,0.61
"P13","No sabe",0.084,0.156,0.256,0.076,0.095,0.277
"P14","Muy de acuerdo",0.142,0.147,0.244,0.468,0.409,0.328
"P14","De acuerdo",0.049,0.164,0.184,0.22,0.238,0.114
"P14","Ni de acuerdo ni en desacuerdo",0.144,0.272,0.436,0.144,0.125,0.245
"P14","En desacuerdo",0.36,0.28,0.097,0.144,0.016,0.078
"P14","Muy en desacuerdo",0.283,0.105,0.018,0.013,0.205,0.023
"P14","No sabe",0.022,0.032,0.021,0.011,0.007,0.212
"P16","Muy positivo",0.773,0.255,0.074,0.058,0.179,0.026
"P16","Positivo",0.138,0.41,0.098,0.041,0.047,0.073
"P16","Ni positivo ni negativo",0.056,0.253,0.466,0.117,0.056,0.156
"P16","Negativo",0.017,0.04,0.21,0.494,0.186,0.201
"P16","Muy negativo",0.008,0.011,0.093,0.282,0.515,0.293
"P16","No sabe",0.008,0.031,0.059,0.008,0.017,0.251
"P17","Si",0.568,0.441,0.208,0.217,0.239,0.336
"P17","No",0.362,0.51,0.727,0.745,0.656,0.625
"P17","No sabe",0.07,0.049,0.065,0.038,0.105,0.039
"P18","Salva muchas vidas",0.278,0.225,0.137,0.146,0.144,0.204
"P18","Logra disminuir la cantidad de abortos que se producen",0.108,0.192,0.194,0.157,0.122,0.058
"P18","Representa una reasignación del gasto público en algo más necesario",0.216,0.119,0.148,0.075,0.075,0.048
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.184,0.214,0.259,0.256,0.245,0.305
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.137,0.181,0.19,0.327,0.378,0.322
"P18","No sabe",0.077,0.069,0.072,0.039,0.036,0.063
"P20","Si",0.761,0.579,0.231,0.149,0.223,0.177
"P20","No",0.11,0.348,0.697,0.754,0.655,0.789
"P20","No sabe",0.129,0.073,0.072,0.097,0.122,0.034
"P21","Logra disminuir los cargos militantes presentes en el estado",0.352,0.217,0.126,0.062,0.145,0.09
"P21","Evita la manipulación de la información por parte del estado",0.143,0.275,0.183,0.12,0.082,0.164
"P21","Representa una reasignación del gasto público en algo más necesario",0.249,0.177,0.145,0.061,0.04,0.085
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.127,0.21,0.288,0.419,0.423,0.517
"P21","Es parte de la persecución ideológica",0.099,0.067,0.183,0.311,0.292,0.113
"P21","No sabe",0.03,0.054,0.075,0.027,0.018,0.031
"P23","Si",0.824,0.604,0.285,0.169,0.311,0.254
"P23","No",0.09,0.272,0.644,0.709,0.585,0.715
"P23","No sabe",0.086,0.124,0.071,0.122,0.104,0.031
"P24","Es parte de una persecución ideológica",0.084,0.047,0.164,0.271,0.321,0.225
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.064,0.197,0.378,0.39,0.342,0.438
"P24","Representa una reasignación del gasto público en algo mas necesario",0.283,0.26,0.145,0.152,0.059,0.132
"P24","Logra disminuir los cargos militantes presentes en el estado",0.377,0.36,0.176,0.115,0.14,0.115
"P24","Contribuye a la libertad de pensamiento",0.177,0.125,0.084,0.063,0.135,0.076
"P24","No sabe",0.015,0.011,0.053,0.009,0.003,0.014
