"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.07,0.071,0.07,0.082,0.076,0.052,0.064,0.104,0.063,0.048,0.094,0.06,0.063,0.075,0.085,0.059,0.062,0.09,0.059,6
"Buena",0.173,0.148,0.198,0.141,0.16,0.214,0.194,0.205,0.145,0.18,0.224,0.122,0.181,0.176,0.148,0.195,0.178,0.231,0.139,6
"Ni buena ni mala",0.324,0.306,0.341,0.391,0.288,0.3,0.343,0.285,0.372,0.3,0.357,0.299,0.276,0.276,0.399,0.299,0.34,0.357,0.291,6
"Mala",0.256,0.273,0.238,0.227,0.246,0.278,0.289,0.216,0.26,0.286,0.201,0.313,0.26,0.279,0.213,0.284,0.247,0.201,0.348,6
"Muy mala",0.154,0.184,0.125,0.142,0.197,0.142,0.092,0.151,0.141,0.173,0.102,0.185,0.189,0.168,0.128,0.16,0.152,0.093,0.159,6
"No sabe",0.023,0.018,0.028,0.017,0.033,0.014,0.018,0.039,0.019,0.013,0.022,0.021,0.031,0.026,0.027,0.003,0.021,0.028,0.004,6
"Positiva",0.243,0.219,0.268,0.223,0.236,0.266,0.258,0.309,0.208,0.228,0.318,0.182,0.244,0.251,0.233,0.254,0.24,0.321,0.198,4
"Neutra",0.324,0.306,0.341,0.391,0.288,0.3,0.343,0.285,0.372,0.3,0.357,0.299,0.276,0.276,0.399,0.299,0.34,0.357,0.291,4
"Negativa",0.41,0.457,0.363,0.369,0.443,0.42,0.381,0.367,0.401,0.459,0.303,0.498,0.449,0.447,0.341,0.444,0.399,0.294,0.507,4
"No sabe",0.023,0.018,0.028,0.017,0.033,0.014,0.018,0.039,0.019,0.013,0.022,0.021,0.031,0.026,0.027,0.003,0.021,0.028,0.004,4
