"var","categoria","Mejor","Igual","Peor","No sabe"
"P10","Siempre",0.237,0.171,0.188,0.206
"P10","Casi siempre",0.264,0.314,0.304,0.307
"P10","Casi nunca",0.295,0.366,0.357,0.268
"P10","Nunca, pero esta es una excepción",0.204,0.149,0.151,0.219
"P11","El gobierno de Javier Milei",0.086,0.059,0.468,0.221
"P11","El gobierno de Alberto Fernández",0.745,0.805,0.296,0.408
"P11","Ambos",0.101,0.101,0.195,0.182
"P11","No sabe",0.068,0.035,0.041,0.189
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.234,0.231,0.133,0.133
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.334,0.382,0.326,0.333
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.198,0.177,0.092,0.125
"P12","Retirarla y no presentar nada",0.062,0.057,0.353,0.174
"P12","Volverla a presentar igual",0.118,0.119,0.037,0.113
"P12","No sabe",0.054,0.034,0.059,0.122
"P13","Javier Milei",0.752,0.744,0.258,0.393
"P13","Los gobernadores",0.143,0.138,0.625,0.396
"P13","No sabe",0.105,0.118,0.117,0.211
"P14","Muy de acuerdo",0.095,0.094,0.367,0.198
"P14","De acuerdo",0.113,0.067,0.187,0.149
"P14","Ni de acuerdo ni en desacuerdo",0.154,0.205,0.218,0.341
"P14","En desacuerdo",0.318,0.36,0.14,0.176
"P14","Muy en desacuerdo",0.299,0.253,0.069,0.123
"P14","No sabe",0.021,0.021,0.019,0.013
"P15","Muy de acuerdo",0.61,0.604,0.216,0.307
"P15","De acuerdo",0.115,0.171,0.141,0.081
"P15","Ni de acuerdo ni en desacuerdo",0.13,0.139,0.266,0.32
"P15","En desacuerdo",0.063,0.041,0.218,0.185
"P15","Muy en desacuerdo",0.051,0.021,0.107,0.09
"P15","No sabe",0.031,0.024,0.052,0.017
"P16","Muy positivo",0.72,0.664,0.181,0.267
"P16","Positivo",0.124,0.152,0.106,0.178
"P16","Ni positivo ni negativo",0.088,0.125,0.192,0.275
"P16","Negativo",0.014,0.015,0.267,0.122
"P16","Muy negativo",0.037,0.027,0.238,0.158
"P16","No sabe",0.017,0.017,0.016,0
"P17","Si",0.57,0.489,0.28,0.276
"P17","No",0.337,0.437,0.67,0.71
"P17","No sabe",0.093,0.074,0.05,0.014
"P18","Salva muchas vidas",0.376,0.215,0.17,0.161
"P18","Logra disminuir la cantidad de abortos que se producen",0.107,0.17,0.114,0.158
"P18","Representa una reasignación del gasto público en algo más necesario",0.232,0.236,0.087,0.133
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.125,0.171,0.259,0.439
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.112,0.129,0.331,0.047
"P18","No sabe",0.048,0.079,0.039,0.062
"P20","Si",0.821,0.682,0.282,0.295
"P20","No",0.081,0.178,0.621,0.529
"P20","No sabe",0.098,0.14,0.097,0.176
"P21","Logra disminuir los cargos militantes presentes en el estado",0.41,0.314,0.125,0.136
"P21","Evita la manipulación de la información por parte del estado",0.098,0.208,0.148,0.157
"P21","Representa una reasignación del gasto público en algo más necesario",0.242,0.257,0.111,0.079
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.137,0.13,0.358,0.503
"P21","Es parte de la persecución ideológica",0.085,0.062,0.23,0.089
"P21","No sabe",0.028,0.029,0.028,0.036
"P23","Si",0.811,0.763,0.358,0.273
"P23","No",0.098,0.139,0.554,0.689
"P23","No sabe",0.091,0.098,0.088,0.038
"P24","Es parte de una persecución ideológica",0.154,0.065,0.191,0.097
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.064,0.098,0.338,0.345
"P24","Representa una reasignación del gasto público en algo mas necesario",0.296,0.264,0.171,0.286
"P24","Logra disminuir los cargos militantes presentes en el estado",0.344,0.395,0.176,0.107
"P24","Contribuye a la libertad de pensamiento",0.13,0.155,0.106,0.093
"P24","No sabe",0.012,0.023,0.018,0.072
"P27","Inflación",0.18,0.216,0.306,0.209
"P27","Desempleo",0.082,0.093,0.114,0.107
"P27","Corrupción",0.509,0.463,0.22,0.356
"P27","Inseguridad",0.117,0.126,0.091,0.099
"P27","Precio del dólar",0.025,0.008,0.024,0.041
"P27","Pobreza",0.02,0.054,0.132,0.131
"P27","Narcotráfico",0.011,0.012,0.012,0.006
"P27","Tarifas",0.007,0.008,0.03,0.004
"P27","Otro",0.043,0.017,0.061,0.034
"P27","No sabe",0.006,0.003,0.01,0.013
"P31","Sin deuda",0.385,0.409,0.257,0.143
"P31","Menos de 10%",0.191,0.179,0.139,0.096
"P31","Entre 10 y 20%",0.129,0.141,0.117,0.082
"P31","Entre 20 y 30%",0.07,0.087,0.103,0.135
"P31","Entre 30 y 40%",0.075,0.052,0.102,0.092
"P31","Mas del 40%",0.131,0.088,0.237,0.273
"P31","No sabe",0.019,0.044,0.045,0.179
"P32","Gran excedente habitual",0.031,0.009,0.005,0
"P32","Gran excedente excepcional",0.002,0.007,0.005,0.003
"P32","Pequeño excedente habitual",0.088,0.066,0.038,0.148
"P32","Pequeño excedente excepcional",0.089,0.081,0.04,0.041
"P32","Alcanza gastos familia",0.177,0.186,0.096,0.134
"P32","No alcanza gastos familia",0.095,0.127,0.132,0.144
"P32","Solo NBFamiliares",0.32,0.341,0.243,0.215
"P32","No alcanza NBFamiliares",0.185,0.172,0.43,0.269
"P32","No sabe",0.013,0.011,0.011,0.046
"P33","Muy buena",0.095,0.047,0.041,0.022
"P33","Buena",0.214,0.244,0.097,0.03
"P33","Ni buena ni mala",0.544,0.484,0.337,0.314
"P33","Mala",0.086,0.189,0.383,0.592
"P33","Muy mala",0.052,0.024,0.133,0.026
"P33","No sabe",0.009,0.012,0.009,0.016
"P35","Mejor",0.709,0.52,0.143,0.292
"P35","Igual",0.108,0.313,0.126,0.157
"P35","Peor",0.116,0.075,0.651,0.289
"P35","No sabe",0.067,0.092,0.08,0.262
"P36","Muy buena",0.17,0.04,0.033,0.163
"P36","Buena",0.163,0.128,0.043,0.136
"P36","Ni buena ni mala",0.273,0.358,0.132,0.338
"P36","Mala",0.287,0.328,0.4,0.229
"P36","Muy mala",0.097,0.124,0.38,0.124
"P36","No sabe",0.01,0.022,0.012,0.01
"P37","Mejor",0.571,0.334,0.087,0.155
"P37","Igual",0.197,0.41,0.083,0.202
"P37","Peor",0.168,0.18,0.779,0.485
"P37","No sabe",0.064,0.076,0.051,0.158
"P38","Mejor",0.723,0.638,0.183,0.318
"P38","Igual",0.081,0.192,0.106,0.109
"P38","Peor",0.136,0.09,0.651,0.411
