"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.266,0.302,0.23,0.305,0.262,0.245,0.244,0.255,0.287,0.248,0.107,0.446,0.222,0.276,0.273,0.253,0.256,0.078,0.311,6
"Buena",0.177,0.186,0.168,0.144,0.161,0.205,0.223,0.17,0.182,0.177,0.075,0.272,0.209,0.184,0.199,0.199,0.158,0.051,0.316,6
"Ni buena ni mala",0.16,0.159,0.162,0.172,0.142,0.175,0.166,0.19,0.175,0.113,0.131,0.162,0.242,0.157,0.218,0.155,0.141,0.125,0.193,6
"Mala",0.163,0.145,0.181,0.152,0.168,0.153,0.185,0.206,0.162,0.125,0.251,0.066,0.2,0.151,0.144,0.172,0.181,0.265,0.095,6
"Muy mala",0.216,0.193,0.238,0.204,0.248,0.214,0.159,0.148,0.179,0.327,0.409,0.045,0.122,0.214,0.13,0.214,0.252,0.457,0.071,6
"No sabe",0.018,0.015,0.021,0.023,0.019,0.008,0.023,0.031,0.015,0.01,0.027,0.009,0.005,0.018,0.036,0.007,0.012,0.024,0.014,6
"Positiva",0.443,0.488,0.398,0.449,0.423,0.45,0.467,0.425,0.469,0.425,0.182,0.718,0.431,0.46,0.472,0.452,0.414,0.129,0.627,4
"Neutra",0.16,0.159,0.162,0.172,0.142,0.175,0.166,0.19,0.175,0.113,0.131,0.162,0.242,0.157,0.218,0.155,0.141,0.125,0.193,4
"Negativa",0.379,0.338,0.419,0.356,0.416,0.367,0.344,0.354,0.341,0.452,0.66,0.111,0.322,0.365,0.274,0.386,0.433,0.722,0.166,4
"No sabe",0.018,0.015,0.021,0.023,0.019,0.008,0.023,0.031,0.015,0.01,0.027,0.009,0.005,0.018,0.036,0.007,0.012,0.024,0.014,4
"Positiva",0.543,0.594,0.494,0.537,0.52,0.566,0.574,0.535,0.578,0.507,0.235,0.852,0.585,0.576,0.587,0.539,0.499,0.141,0.879,2
"Negativa",0.439,0.391,0.485,0.439,0.461,0.426,0.403,0.434,0.407,0.483,0.738,0.139,0.41,0.406,0.377,0.454,0.489,0.843,0.108,2
"No sabe",0.018,0.015,0.021,0.024,0.019,0.008,0.023,0.031,0.015,0.01,0.027,0.009,0.005,0.018,0.036,0.007,0.012,0.016,0.013,2
