"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.233,0.26,0.207,0.267,0.228,0.215,0.219,0.2,0.24,0.257,0.085,0.414,0.202,0.259,0.203,0.248,0.221,0.049,0.402,6
"Buena",0.18,0.185,0.175,0.153,0.167,0.208,0.214,0.173,0.2,0.162,0.093,0.261,0.191,0.174,0.2,0.194,0.175,0.053,0.264,6
"Ni buena ni mala",0.184,0.192,0.176,0.21,0.163,0.184,0.191,0.208,0.196,0.144,0.165,0.191,0.249,0.163,0.255,0.196,0.17,0.181,0.152,6
"Mala",0.182,0.177,0.186,0.173,0.187,0.186,0.177,0.228,0.168,0.154,0.268,0.085,0.181,0.188,0.172,0.14,0.187,0.282,0.094,6
"Muy mala",0.209,0.177,0.24,0.19,0.242,0.194,0.182,0.168,0.189,0.275,0.373,0.042,0.161,0.206,0.146,0.193,0.24,0.419,0.079,6
"No sabe",0.012,0.009,0.016,0.007,0.013,0.013,0.017,0.023,0.007,0.008,0.016,0.007,0.016,0.01,0.024,0.029,0.007,0.016,0.009,6
"Positiva",0.413,0.445,0.382,0.42,0.395,0.423,0.433,0.373,0.44,0.419,0.178,0.675,0.393,0.433,0.403,0.442,0.396,0.102,0.666,4
"Neutra",0.184,0.192,0.176,0.21,0.163,0.184,0.191,0.208,0.196,0.144,0.165,0.191,0.249,0.163,0.255,0.196,0.17,0.181,0.152,4
"Negativa",0.391,0.354,0.426,0.363,0.429,0.38,0.359,0.396,0.357,0.429,0.641,0.127,0.342,0.394,0.318,0.333,0.427,0.701,0.173,4
"No sabe",0.012,0.009,0.016,0.007,0.013,0.013,0.017,0.023,0.007,0.008,0.016,0.007,0.016,0.01,0.024,0.029,0.007,0.016,0.009,4
