"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.05,0.042,0.058,0.064,0.042,0.036,0.066,0.087,0.043,0.023,0.076,0.02,0.049,0.055,0.046,0.028,0.051,0.093,0.035,6
"Buena",0.083,0.07,0.096,0.077,0.082,0.093,0.083,0.107,0.085,0.059,0.158,0.02,0.063,0.062,0.108,0.053,0.095,0.173,0.04,6
"Ni buena ni mala",0.19,0.152,0.226,0.213,0.191,0.155,0.202,0.218,0.192,0.159,0.314,0.071,0.19,0.171,0.233,0.128,0.196,0.347,0.058,6
"Mala",0.267,0.281,0.253,0.225,0.256,0.305,0.302,0.261,0.263,0.277,0.265,0.261,0.276,0.245,0.256,0.434,0.267,0.239,0.276,6
"Muy mala",0.405,0.452,0.359,0.42,0.42,0.405,0.345,0.32,0.41,0.479,0.182,0.627,0.409,0.461,0.355,0.355,0.384,0.143,0.587,6
"No sabe",0.005,0.003,0.008,0.001,0.009,0.006,0.002,0.007,0.007,0.003,0.005,0.001,0.013,0.006,0.002,0.002,0.007,0.005,0.004,6
"Positiva",0.133,0.112,0.154,0.141,0.124,0.129,0.149,0.194,0.128,0.082,0.234,0.04,0.112,0.117,0.154,0.081,0.146,0.266,0.075,4
"Neutra",0.19,0.152,0.226,0.213,0.191,0.155,0.202,0.218,0.192,0.159,0.314,0.071,0.19,0.171,0.233,0.128,0.196,0.347,0.058,4
"Negativa",0.672,0.733,0.612,0.645,0.676,0.71,0.647,0.581,0.673,0.756,0.447,0.888,0.685,0.706,0.611,0.789,0.651,0.382,0.863,4
"No sabe",0.005,0.003,0.008,0.001,0.009,0.006,0.002,0.007,0.007,0.003,0.005,0.001,0.013,0.006,0.002,0.002,0.007,0.005,0.004,4
"Positiva",0.186,0.153,0.219,0.2,0.173,0.171,0.218,0.257,0.187,0.12,0.338,0.045,0.182,0.151,0.206,0.145,0.214,0.38,0.045,2
"Negativa",0.808,0.844,0.773,0.798,0.818,0.823,0.779,0.736,0.806,0.877,0.657,0.954,0.805,0.843,0.792,0.853,0.779,0.615,0.95,2
"No sabe",0.006,0.003,0.008,0.002,0.009,0.006,0.003,0.007,0.007,0.003,0.005,0.001,0.013,0.006,0.002,0.002,0.007,0.005,0.005,2
