"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P10","Siempre",0.193,0.189,0.132
"P10","Casi siempre",0.277,0.309,0.243
"P10","Casi nunca",0.343,0.338,0.378
"P10","Nunca, pero esta es una excepción",0.187,0.164,0.247
"P11","El gobierno de Javier Milei",0.053,0.599,0.177
"P11","El gobierno de Alberto Fernández",0.845,0.137,0.388
"P11","Ambos",0.067,0.219,0.273
"P11","No sabe",0.035,0.045,0.162
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.264,0.102,0.114
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.357,0.326,0.324
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.163,0.073,0.176
"P12","Retirarla y no presentar nada",0.028,0.448,0.136
"P12","Volverla a presentar igual",0.139,0.011,0.016
"P12","No sabe",0.049,0.04,0.234
"P14","Muy de acuerdo",0.112,0.428,0.091
"P14","De acuerdo",0.038,0.273,0.075
"P14","Ni de acuerdo ni en desacuerdo",0.182,0.198,0.482
"P14","En desacuerdo",0.376,0.06,0.176
"P14","Muy en desacuerdo",0.267,0.024,0.074
"P14","No sabe",0.025,0.017,0.102
"P15","Muy de acuerdo",0.659,0.092,0.216
"P15","De acuerdo",0.163,0.123,0.163
"P15","Ni de acuerdo ni en desacuerdo",0.098,0.3,0.408
"P15","En desacuerdo",0.04,0.293,0.08
"P15","Muy en desacuerdo",0.029,0.128,0.048
"P15","No sabe",0.011,0.064,0.085
"P16","Muy positivo",0.709,0.063,0.174
"P16","Positivo",0.174,0.087,0.201
"P16","Ni positivo ni negativo",0.092,0.218,0.372
"P16","Negativo",0.007,0.339,0.109
"P16","Muy negativo",0.009,0.263,0.047
"P16","No sabe",0.009,0.03,0.097
"P17","Si",0.558,0.216,0.313
"P17","No",0.386,0.722,0.601
"P17","No sabe",0.056,0.062,0.086
"P18","Salva muchas vidas",0.25,0.153,0.224
"P18","Logra disminuir la cantidad de abortos que se producen",0.13,0.162,0.157
"P18","Representa una reasignación del gasto público en algo más necesario",0.241,0.051,0.142
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.172,0.287,0.209
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.123,0.327,0.134
"P18","No sabe",0.084,0.02,0.134
"P20","Si",0.791,0.132,0.421
"P20","No",0.097,0.771,0.506
"P20","No sabe",0.112,0.097,0.073
"P21","Logra disminuir los cargos militantes presentes en el estado",0.327,0.083,0.268
"P21","Evita la manipulación de la información por parte del estado",0.162,0.163,0.165
"P21","Representa una reasignación del gasto público en algo más necesario",0.263,0.048,0.21
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.145,0.396,0.156
"P21","Es parte de la persecución ideológica",0.079,0.271,0.091
"P21","No sabe",0.024,0.039,0.11
"P23","Si",0.843,0.182,0.496
"P23","No",0.071,0.718,0.399
"P23","No sabe",0.086,0.1,0.105
"P24","Es parte de una persecución ideológica",0.08,0.246,0.057
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.072,0.391,0.267
"P24","Representa una reasignación del gasto público en algo mas necesario",0.279,0.112,0.287
"P24","Logra disminuir los cargos militantes presentes en el estado",0.382,0.148,0.242
"P24","Contribuye a la libertad de pensamiento",0.174,0.086,0.09
"P24","No sabe",0.013,0.017,0.057
"P27","Inflación",0.22,0.307,0.265
"P27","Desempleo",0.066,0.149,0.102
"P27","Corrupción",0.51,0.138,0.293
"P27","Inseguridad",0.115,0.092,0.112
"P27","Precio del dólar",0.012,0.025,0.026
"P27","Pobreza",0.036,0.16,0.092
"P27","Narcotráfico",0.014,0.01,0.006
"P27","Tarifas",0.003,0.036,0.025
"P27","Otro",0.018,0.077,0.04
"P27","No sabe",0.006,0.006,0.039
"P31","Sin deuda",0.378,0.267,0.222
"P31","Menos de 10%",0.177,0.13,0.14
"P31","Entre 10 y 20%",0.123,0.125,0.116
"P31","Entre 20 y 30%",0.087,0.113,0.085
"P31","Entre 30 y 40%",0.073,0.093,0.09
"P31","Mas del 40%",0.129,0.231,0.201
"P31","No sabe",0.033,0.041,0.146
"P32","Gran excedente habitual",0.014,0.004,0.007
"P32","Gran excedente excepcional",0.005,0.003,0.013
"P32","Pequeño excedente habitual",0.066,0.046,0.051
"P32","Pequeño excedente excepcional",0.074,0.044,0.039
"P32","Alcanza gastos familia",0.175,0.106,0.072
"P32","No alcanza gastos familia",0.102,0.148,0.149
"P32","Solo NBFamiliares",0.307,0.254,0.248
"P32","No alcanza NBFamiliares",0.245,0.385,0.396
"P32","No sabe",0.012,0.01,0.025
"P33","Muy buena",0.062,0.033,0.045
"P33","Buena",0.203,0.108,0.089
"P33","Ni buena ni mala",0.455,0.341,0.404
"P33","Mala",0.226,0.376,0.34
"P33","Muy mala",0.045,0.129,0.111
"P33","No sabe",0.009,0.013,0.011
"P34","Mejor",0.17,0.035,0.091
"P34","Igual",0.484,0.098,0.294
"P34","Peor",0.314,0.831,0.549
"P34","No sabe",0.032,0.036,0.066
"P35","Mejor",0.585,0.061,0.222
"P35","Igual",0.224,0.125,0.218
"P35","Peor",0.107,0.752,0.358
"P35","No sabe",0.084,0.062,0.202
"P36","Muy buena",0.066,0.049,0.027
"P36","Buena",0.134,0.041,0.046
"P36","Ni buena ni mala",0.315,0.109,0.268
"P36","Mala",0.347,0.362,0.408
"P36","Muy mala",0.122,0.433,0.212
"P36","No sabe",0.016,0.006,0.039
"P37","Mejor",0.4,0.039,0.116
"P37","Igual",0.311,0.06,0.246
"P37","Peor",0.225,0.849,0.533
"P37","No sabe",0.064,0.052,0.105
"P38","Mejor",0.7,0.062,0.277
"P38","Igual",0.147,0.091,0.193
"P38","Peor",0.088,0.8,0.357
"P38","No sabe",0.065,0.047,0.173
"P39","Muy buena",0.503,0.061,0.089
"P39","Buena",0.289,0.056,0.175
"P39","Ni buena ni mala",0.152,0.11,0.376
"P39","Mala",0.032,0.296,0.191
"P39","Muy mala",0.013,0.467,0.093
"P39","No sabe",0.011,0.01,0.076
"P41","Muy buena",0.444,0.031,0.075
"P41","Buena",0.327,0.052,0.192
"P41","Ni buena ni mala",0.133,0.13,0.376
"P41","Mala",0.052,0.328,0.15
"P41","Muy mala",0.028,0.448,0.121
"P41","No sabe",0.016,0.011,0.086
"P42","Muy buena",0.345,0.029,0.072
"P42","Buena",0.348,0.034,0.122
"P42","Ni buena ni mala",0.226,0.131,0.424
"P42","Mala",0.049,0.283,0.177
"P42","Muy mala",0.021,0.502,0.149
"P42","No sabe",0.011,0.021,0.056
"P43","Muy buena",0.447,0.039,0.113
"P43","Buena",0.273,0.077,0.199
"P43","Ni buena ni mala",0.175,0.158,0.314
"P43","Mala",0.067,0.3,0.19
"P43","Muy mala",0.027,0.419,0.145
"P43","No sabe",0.011,0.007,0.039
"P44","Muy buena",0.017,0.078,0.073
"P44","Buena",0.021,0.154,0.055
"P44","Ni buena ni mala",0.077,0.285,0.271
"P44","Mala",0.256,0.283,0.247
"P44","Muy mala",0.627,0.198,0.315
"P44","No sabe",0.002,0.002,0.039
"P45","Muy buena",0.023,0.394,0.159
"P45","Buena",0.03,0.185,0.085
"P45","Ni buena ni mala",0.058,0.16,0.178
"P45","Mala",0.21,0.125,0.227
"P45","Muy mala",0.672,0.127,0.327
"P45","No sabe",0.007,0.009,0.024
"P46","Muy buena",0.191,0.042,0.054
"P46","Buena",0.278,0.05,0.148
"P46","Ni buena ni mala",0.314,0.097,0.258
"P46","Mala",0.138,0.285,0.276
"P46","Muy mala",0.074,0.523,0.237
"P46","No sabe",0.005,0.003,0.027
"P47","Muy buena",0.059,0.048,0.054
"P47","Buena",0.107,0.121,0.112
"P47","Ni buena ni mala",0.276,0.331,0.428
"P47","Mala",0.294,0.282,0.223
"P47","Muy mala",0.245,0.198,0.114
"P47","No sabe",0.019,0.02,0.069
"P48","Muy buena",0.019,0.231,0.095
"P48","Buena",0.02,0.231,0.095
"P48","Ni buena ni mala",0.073,0.281,0.246
