"var","categoria","Si","No","No sabe"
"P10","Siempre",0.189,0.195,0.107
"P10","Casi siempre",0.294,0.294,0.352
"P10","Casi nunca",0.371,0.323,0.319
"P10","Nunca, pero esta es una excepción",0.146,0.188,0.222
"P11","El gobierno de Javier Milei",0.165,0.408,0.228
"P11","El gobierno de Alberto Fernández",0.673,0.367,0.5
"P11","Ambos",0.121,0.163,0.195
"P11","No sabe",0.041,0.062,0.077
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.23,0.134,0.155
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.362,0.337,0.297
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.163,0.104,0.182
"P12","Retirarla y no presentar nada",0.11,0.32,0.207
"P12","Volverla a presentar igual",0.107,0.038,0.037
"P12","No sabe",0.028,0.067,0.122
"P13","Javier Milei",0.657,0.317,0.405
"P13","Los gobernadores",0.222,0.519,0.39
"P13","No sabe",0.121,0.164,0.205
"P14","Muy de acuerdo",0.198,0.288,0.201
"P14","De acuerdo",0.073,0.168,0.131
"P14","Ni de acuerdo ni en desacuerdo",0.182,0.272,0.246
"P14","En desacuerdo",0.296,0.159,0.28
"P14","Muy en desacuerdo",0.235,0.08,0.128
"P14","No sabe",0.016,0.033,0.014
"P15","Muy de acuerdo",0.56,0.25,0.425
"P15","De acuerdo",0.166,0.134,0.112
"P15","Ni de acuerdo ni en desacuerdo",0.117,0.288,0.226
"P15","En desacuerdo",0.086,0.206,0.092
"P15","Muy en desacuerdo",0.048,0.092,0.128
"P15","No sabe",0.023,0.03,0.017
"P16","Muy positivo",0.589,0.229,0.346
"P16","Positivo",0.152,0.141,0.115
"P16","Ni positivo ni negativo",0.122,0.218,0.259
"P16","Negativo",0.088,0.211,0.076
"P16","Muy negativo",0.031,0.173,0.148
"P16","No sabe",0.018,0.028,0.056
"P18","Salva muchas vidas",0.334,0.115,0.246
"P18","Logra disminuir la cantidad de abortos que se producen",0.131,0.157,0.145
