"var","categoria","El gobierno de Javier Milei","El gobierno de Alberto Fernández","Ambos","No sabe"
"P10","Siempre",0.231,0.172,0.129,0.089
"P10","Casi siempre",0.282,0.318,0.226,0.155
"P10","Casi nunca",0.329,0.323,0.474,0.266
"P10","Nunca, pero esta es una excepción",0.158,0.187,0.171,0.49
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.161,0.223,0.082,0.113
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.231,0.421,0.329,0.207
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.057,0.152,0.193,0.103
"P12","Retirarla y no presentar nada",0.495,0.03,0.261,0.21
"P12","Volverla a presentar igual",0.01,0.12,0.03,0.043
"P12","No sabe",0.046,0.054,0.105,0.324
"P13","Javier Milei",0.079,0.767,0.186,0.264
"P13","Los gobernadores",0.831,0.114,0.559,0.318
"P13","No sabe",0.09,0.119,0.255,0.418
"P14","Muy de acuerdo",0.513,0.085,0.232,0.142
"P14","De acuerdo",0.21,0.065,0.232,0.148
"P14","Ni de acuerdo ni en desacuerdo",0.192,0.2,0.36,0.372
"P14","En desacuerdo",0.048,0.365,0.119,0.104
"P14","Muy en desacuerdo",0.019,0.254,0.027,0.091
"P14","No sabe",0.018,0.031,0.03,0.143
"P15","Muy de acuerdo",0.089,0.618,0.154,0.181
"P15","De acuerdo",0.072,0.188,0.15,0.169
"P15","Ni de acuerdo ni en desacuerdo",0.296,0.113,0.39,0.356
"P15","En desacuerdo",0.325,0.037,0.181,0.119
"P15","Muy en desacuerdo",0.147,0.027,0.069,0.084
"P15","No sabe",0.071,0.017,0.056,0.091
"P16","Muy positivo",0.075,0.636,0.105,0.267
"P16","Positivo",0.036,0.214,0.101,0.215
"P16","Ni positivo ni negativo",0.216,0.105,0.384,0.223
"P16","Negativo",0.346,0.016,0.249,0.111
"P16","Muy negativo",0.305,0.014,0.118,0.01
"P16","No sabe",0.022,0.015,0.043,0.174
"P17","Si",0.21,0.526,0.313,0.293
"P17","No",0.742,0.41,0.604,0.619
"P17","No sabe",0.048,0.064,0.083,0.088
"P18","Salva muchas vidas",0.14,0.256,0.178,0.223
"P18","Logra disminuir la cantidad de abortos que se producen",0.137,0.143,0.175,0.153
"P18","Representa una reasignación del gasto público en algo más necesario",0.074,0.216,0.09,0.15
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.276,0.185,0.253,0.199
