"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Inflación",0.262,0.287,0.237,0.259,0.274,0.269,0.225,0.253,0.263,0.269,0.313,0.231,0.278,0.23,0.296,0.284,0.271,0.335,0.261
"Desempleo",0.105,0.088,0.12,0.121,0.105,0.088,0.103,0.123,0.105,0.085,0.14,0.058,0.136,0.113,0.109,0.085,0.098,0.14,0.073
"Corrupción",0.329,0.345,0.315,0.292,0.312,0.358,0.386,0.308,0.351,0.322,0.178,0.475,0.327,0.329,0.325,0.405,0.32,0.142,0.424
"Inseguridad",0.105,0.1,0.11,0.107,0.108,0.101,0.102,0.132,0.111,0.071,0.081,0.124,0.094,0.108,0.074,0.091,0.118,0.09,0.124
"Precio del dólar",0.019,0.016,0.022,0.029,0.016,0.01,0.025,0.02,0.023,0.013,0.023,0.018,0.024,0.018,0.028,0.009,0.017,0.019,0.012
"Pobreza",0.094,0.081,0.108,0.138,0.085,0.074,0.079,0.079,0.073,0.137,0.144,0.045,0.072,0.109,0.091,0.038,0.092,0.144,0.048
"Narcotráfico",0.011,0.011,0.011,0.005,0.014,0.014,0.01,0.014,0.011,0.008,0.012,0.007,0.017,0.01,0.011,0.02,0.011,0.009,0.014
"Tarifas",0.02,0.025,0.014,0.006,0.023,0.029,0.018,0.021,0.015,0.025,0.032,0.013,0.01,0.022,0.011,0.009,0.023,0.038,0.008
"Otro",0.045,0.04,0.05,0.036,0.051,0.049,0.038,0.038,0.037,0.063,0.066,0.023,0.034,0.048,0.044,0.046,0.043,0.069,0.03
"No sabe",0.01,0.007,0.013,0.007,0.012,0.008,0.014,0.012,0.011,0.007,0.011,0.006,0.008,0.013,0.011,0.013,0.007,0.014,0.006
