"var","categoria","Muy positivo","Positivo","Ni positivo ni negativo","Negativo","Muy negativo","No sabe"
"P10","Siempre",0.221,0.135,0.158,0.176,0.222,0.05
"P10","Casi siempre",0.258,0.331,0.31,0.299,0.323,0.29
"P10","Casi nunca",0.339,0.33,0.364,0.35,0.324,0.297
"P10","Nunca, pero esta es una excepción",0.182,0.204,0.168,0.175,0.131,0.363
"P11","El gobierno de Javier Milei",0.062,0.077,0.353,0.674,0.792,0.22
"P11","El gobierno de Alberto Fernández",0.851,0.729,0.274,0.051,0.057,0.235
"P11","Ambos",0.042,0.102,0.299,0.231,0.146,0.202
"P11","No sabe",0.045,0.092,0.074,0.044,0.005,0.343
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.259,0.185,0.143,0.083,0.036,0.063
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.354,0.565,0.397,0.212,0.169,0.187
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.192,0.13,0.105,0.098,0.042,0.091
"P12","Retirarla y no presentar nada",0.019,0.031,0.199,0.56,0.731,0.25
"P12","Volverla a presentar igual",0.147,0.045,0.019,0.003,0.011,0.023
"P12","No sabe",0.029,0.044,0.137,0.044,0.011,0.386
"P13","Javier Milei",0.857,0.538,0.218,0.019,0.035,0.126
"P13","Los gobernadores",0.069,0.244,0.471,0.873,0.902,0.387
"P13","No sabe",0.074,0.218,0.311,0.108,0.063,0.487
"P14","Muy de acuerdo",0.119,0.092,0.207,0.481,0.592,0.094
"P14","De acuerdo",0.039,0.12,0.163,0.221,0.253,0.12
"P14","Ni de acuerdo ni en desacuerdo",0.173,0.282,0.436,0.212,0.079,0.409
"P14","En desacuerdo",0.36,0.34,0.131,0.069,0.041,0.065
"P14","Muy en desacuerdo",0.295,0.134,0.043,0.006,0.021,0.026
"P14","No sabe",0.014,0.032,0.02,0.011,0.014,0.286
"P15","Muy de acuerdo",0.793,0.362,0.112,0.041,0.025,0.095
"P15","De acuerdo",0.098,0.403,0.191,0.037,0.013,0.141
"P15","Ni de acuerdo ni en desacuerdo",0.045,0.149,0.548,0.294,0.174,0.418
"P15","En desacuerdo",0.025,0.045,0.099,0.497,0.378,0.041
"P15","Muy en desacuerdo",0.037,0.024,0.022,0.089,0.328,0.04
"P15","No sabe",0.002,0.017,0.028,0.042,0.082,0.265
"P17","Si",0.606,0.409,0.256,0.22,0.103,0.27
"P17","No",0.336,0.541,0.655,0.749,0.817,0.594
"P17","No sabe",0.058,0.05,0.089,0.031,0.08,0.136
"P18","Salva muchas vidas",0.284,0.208,0.195,0.14,0.089,0.11
"P18","Logra disminuir la cantidad de abortos que se producen",0.116,0.18,0.201,0.182,0.072,0.119
"P18","Representa una reasignación del gasto público en algo más necesario",0.241,0.159,0.133,0.066,0.007,0.067
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.169,0.217,0.225,0.281,0.318,0.266
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.111,0.164,0.174,0.276,0.505,0.319
"P18","No sabe",0.079,0.072,0.072,0.055,0.009,0.119
"P20","Si",0.81,0.569,0.327,0.093,0.058,0.188
"P20","No",0.054,0.35,0.601,0.836,0.847,0.733
"P20","No sabe",0.136,0.081,0.072,0.071,0.095,0.079
"P21","Logra disminuir los cargos militantes presentes en el estado",0.357,0.261,0.176,0.04,0.037,0.155
"P21","Evita la manipulación de la información por parte del estado",0.153,0.255,0.188,0.155,0.072,0.145
"P21","Representa una reasignación del gasto público en algo más necesario",0.261,0.199,0.181,0.035,0.01,0.095
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.11,0.187,0.255,0.456,0.489,0.208
"P21","Es parte de la persecución ideológica",0.095,0.074,0.111,0.258,0.388,0.154
"P21","No sabe",0.024,0.024,0.089,0.056,0.004,0.243
"P23","Si",0.848,0.705,0.382,0.135,0.064,0.252
"P23","No",0.063,0.206,0.559,0.75,0.804,0.637
"P23","No sabe",0.089,0.089,0.059,0.115,0.132,0.111
"P24","Es parte de una persecución ideológica",0.08,0.09,0.065,0.254,0.366,0.166
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.052,0.123,0.326,0.435,0.462,0.437
"P24","Representa una reasignación del gasto público en algo mas necesario",0.276,0.277,0.213,0.109,0.067,0.187
"P24","Logra disminuir los cargos militantes presentes en el estado",0.39,0.372,0.212,0.135,0.055,0.089
"P24","Contribuye a la libertad de pensamiento",0.187,0.116,0.137,0.062,0.041,0.044
"P24","No sabe",0.015,0.022,0.047,0.005,0.009,0.077
"P27","Inflación",0.216,0.296,0.225,0.384,0.286,0.119
"P27","Desempleo",0.046,0.109,0.197,0.131,0.128,0.203
"P27","Corrupción",0.52,0.378,0.268,0.104,0.078,0.366
"P27","Inseguridad",0.15,0.11,0.118,0.034,0.053,0.007
"P27","Precio del dólar",0.009,0.02,0.033,0.027,0.017,0.016
"P27","Pobreza",0.02,0.035,0.108,0.191,0.272,0.073
"P27","Narcotráfico",0.013,0.016,0.008,0.012,0.003,0.029
"P27","Tarifas",0.001,0.017,0.008,0.026,0.052,0.098
"P27","Otro",0.023,0.011,0.028,0.088,0.109,0.064
"P27","No sabe",0.002,0.008,0.007,0.003,0.002,0.025
"P31","Sin deuda",0.399,0.286,0.254,0.235,0.299,0.228
"P31","Menos de 10%",0.17,0.252,0.115,0.141,0.107,0.106
"P31","Entre 10 y 20%",0.141,0.108,0.146,0.099,0.1,0.156
"P31","Entre 20 y 30%",0.091,0.063,0.104,0.086,0.102,0.055
"P31","Entre 30 y 40%",0.057,0.064,0.167,0.102,0.075,0.08
"P31","Mas del 40%",0.112,0.181,0.192,0.295,0.257,0.251
"P31","No sabe",0.03,0.046,0.022,0.042,0.06,0.124
"P32","Gran excedente habitual",0.016,0.002,0.015,0.003,0.001,0.009
"P32","Gran excedente excepcional",0.004,0.007,0,0.006,0.008,0
"P32","Pequeño excedente habitual",0.062,0.061,0.072,0.041,0.084,0.017
"P32","Pequeño excedente excepcional",0.075,0.061,0.051,0.035,0.063,0.033
"P32","Alcanza gastos familia",0.168,0.092,0.078,0.127,0.111,0.06
"P32","No alcanza gastos familia",0.087,0.161,0.135,0.127,0.093,0.302
"P32","Solo NBFamiliares",0.344,0.288,0.278,0.204,0.3,0.171
"P32","No alcanza NBFamiliares",0.225,0.3,0.37,0.45,0.337,0.408
"P32","No sabe",0.019,0.028,0.001,0.007,0.003,0
"P33","Muy buena",0.088,0.016,0.06,0.052,0.03,0.009
"P33","Buena",0.23,0.22,0.063,0.106,0.091,0.065
"P33","Ni buena ni mala",0.465,0.438,0.419,0.284,0.301,0.478
"P33","Mala",0.181,0.213,0.336,0.435,0.403,0.265
"P33","Muy mala",0.028,0.101,0.085,0.103,0.17,0.126
"P33","No sabe",0.008,0.012,0.037,0.02,0.005,0.057
"P34","Mejor",0.232,0.129,0.072,0.012,0.033,0.139
"P34","Igual",0.509,0.377,0.241,0.03,0.057,0.336
"P34","Peor",0.24,0.453,0.638,0.935,0.879,0.525
"P34","No sabe",0.019,0.041,0.049,0.023,0.031,0
"P35","Mejor",0.662,0.333,0.09,0.018,0.034,0.171
"P35","Igual",0.186,0.323,0.227,0.09,0.069,0.248
"P35","Peor",0.086,0.259,0.517,0.86,0.877,0.378
"P35","No sabe",0.066,0.085,0.166,0.032,0.02,0.203
"P36","Muy buena",0.108,0.032,0.052,0.037,0.029,0
"P36","Buena",0.141,0.089,0.038,0.02,0.004,0.008
"P36","Ni buena ni mala",0.325,0.421,0.23,0.077,0.017,0.206
"P36","Mala",0.32,0.31,0.507,0.419,0.186,0.496
"P36","Muy mala",0.088,0.141,0.169,0.44,0.758,0.262
"P36","No sabe",0.018,0.007,0.004,0.007,0.006,0.028
"P37","Mejor",0.497,0.238,0.088,0.004,0.026,0.073
"P37","Igual",0.278,0.42,0.15,0.026,0.013,0.091
"P37","Peor",0.169,0.262,0.626,0.912,0.939,0.741
"P37","No sabe",0.056,0.08,0.136,0.058,0.022,0.095
"P38","Mejor",0.75,0.504,0.158,0.021,0.028,0.175
"P38","Igual",0.123,0.286,0.188,0.069,0.053,0.117
"P38","Peor",0.08,0.124,0.518,0.866,0.912,0.531
"P38","No sabe",0.047,0.086,0.136,0.044,0.007,0.177
"P39","Muy buena",0.593,0.154,0.08,0.032,0.062,0.065
"P39","Buena",0.25,0.455,0.05,0.029,0.003,0.126
"P39","Ni buena ni mala",0.116,0.303,0.435,0.02,0.003,0.294
"P39","Mala",0.031,0.06,0.252,0.451,0.08,0.179
"P39","Muy mala",0.008,0.024,0.144,0.459,0.851,0.202
"P39","No sabe",0.002,0.004,0.039,0.009,0.001,0.134
"P41","Muy buena",0.53,0.221,0.026,0.029,0.007,0.021
"P41","Buena",0.281,0.379,0.075,0.032,0.023,0.142
"P41","Ni buena ni mala",0.119,0.304,0.366,0.057,0.032,0.271
"P41","Mala",0.046,0.042,0.353,0.467,0.096,0.24
"P41","Muy mala",0.018,0.044,0.129,0.409,0.842,0.236
"P41","No sabe",0.006,0.01,0.051,0.006,0,0.09
"P42","Muy buena",0.417,0.208,0.026,0.026,0,0.022
"P42","Buena",0.326,0.329,0.071,0.003,0.008,0.287
"P42","Ni buena ni mala",0.19,0.272,0.41,0.032,0.037,0.221
"P42","Mala",0.045,0.15,0.307,0.454,0.067,0.362
"P42","Muy mala",0.014,0.025,0.17,0.485,0.887,0.084
"P42","No sabe",0.008,0.016,0.016,0,0.001,0.024
"P43","Muy buena",0.516,0.303,0.082,0.025,0.012,0.029
"P43","Buena",0.273,0.345,0.096,0.057,0.039,0.097
"P43","Ni buena ni mala",0.151,0.196,0.368,0.129,0.042,0.441
"P43","Mala",0.035,0.13,0.295,0.376,0.207,0.32
"P43","Muy mala",0.014,0.017,0.14,0.407,0.699,0.056
"P43","No sabe",0.011,0.009,0.019,0.006,0.001,0.057
"P44","Muy buena",0.03,0.067,0.079,0.075,0.045,0
"P44","Buena",0.024,0.1,0.118,0.16,0.134,0.019
"P44","Ni buena ni mala",0.062,0.056,0.251,0.336,0.27,0.372
"P44","Mala",0.242,0.312,0.285,0.269,0.309,0.298
"P44","Muy mala",0.642,0.465,0.263,0.16,0.24,0.311
"P44","No sabe",0,0,0.004,0,0.002,0
"P45","Muy buena",0.036,0.052,0.191,0.455,0.515,0.171
"P45","Buena",0.017,0.118,0.107,0.201,0.177,0.242
"P45","Ni buena ni mala",0.046,0.072,0.216,0.12,0.127,0.104
"P45","Mala",0.189,0.316,0.228,0.147,0.076,0.168
"P45","Muy mala",0.707,0.437,0.238,0.077,0.105,0.3
"P45","No sabe",0.005,0.005,0.02,0,0,0.015
"P46","Muy buena",0.233,0.169,0.071,0.01,0.03,0.024
"P46","Buena",0.315,0.247,0.059,0.033,0.024,0.079
"P46","Ni buena ni mala",0.268,0.301,0.169,0.102,0.033,0.22
"P46","Mala",0.116,0.197,0.401,0.335,0.103,0.182
"P46","Muy mala",0.066,0.082,0.28,0.519,0.81,0.48
"P46","No sabe",0.002,0.004,0.02,0.001,0,0.015
"P47","Muy buena",0.088,0.063,0.031,0.049,0.014,0.019
"P47","Buena",0.114,0.178,0.12,0.076,0.06,0.078
"P47","Ni buena ni mala",0.251,0.309,0.422,0.38,0.244,0.574
"P47","Mala",0.283,0.286,0.248,0.322,0.361,0.098
"P47","Muy mala",0.235,0.14,0.134,0.163,0.309,0.181
"P47","No sabe",0.029,0.024,0.045,0.01,0.012,0.05
"P48","Muy buena",0.049,0.049,0.221,0.284,0.194,0.028
"P48","Buena",0.009,0.081,0.055,0.242,0.273,0.297
"P48","Ni buena ni mala",0.053,0.165,0.274,0.282,0.309,0.189
"P48","Mala",0.224,0.281,0.289,0.122,0.103,0.199
