"var","categoria","Si","No","No sabe"
"P10","Siempre",0.185,0.218,0.148
"P10","Casi siempre",0.27,0.309,0.369
"P10","Casi nunca",0.376,0.337,0.33
"P10","Nunca, pero esta es una excepción",0.169,0.136,0.153
"P11","El gobierno de Javier Milei",0.08,0.632,0.324
"P11","El gobierno de Alberto Fernández",0.778,0.13,0.464
"P11","Ambos",0.078,0.202,0.174
"P11","No sabe",0.064,0.036,0.038
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.214,0.092,0.236
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.416,0.274,0.307
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.176,0.076,0.101
"P12","Retirarla y no presentar nada",0.045,0.494,0.296
"P12","Volverla a presentar igual",0.121,0.02,0.032
"P12","No sabe",0.028,0.044,0.028
"P13","Javier Milei",0.745,0.088,0.426
"P13","Los gobernadores",0.142,0.784,0.439
"P13","No sabe",0.113,0.128,0.135
"P14","Muy de acuerdo",0.133,0.421,0.295
"P14","De acuerdo",0.068,0.233,0.179
"P14","Ni de acuerdo ni en desacuerdo",0.178,0.243,0.161
"P14","En desacuerdo",0.36,0.067,0.197
"P14","Muy en desacuerdo",0.246,0.013,0.127
"P14","No sabe",0.015,0.023,0.041
"P15","Muy de acuerdo",0.621,0.095,0.366
"P15","De acuerdo",0.163,0.103,0.189
"P15","Ni de acuerdo ni en desacuerdo",0.107,0.34,0.15
"P15","En desacuerdo",0.048,0.286,0.197
"P15","Muy en desacuerdo",0.048,0.127,0.09
"P15","No sabe",0.013,0.049,0.008
"P16","Muy positivo",0.641,0.067,0.379
"P16","Positivo",0.178,0.073,0.126
"P16","Ni positivo ni negativo",0.117,0.24,0.101
"P16","Negativo",0.039,0.303,0.185
"P16","Muy negativo",0.016,0.287,0.188
"P16","No sabe",0.009,0.03,0.021
"P17","Si",0.545,0.154,0.435
"P17","No",0.394,0.786,0.499
"P17","No sabe",0.061,0.06,0.066
"P18","Salva muchas vidas",0.263,0.138,0.27
"P18","Logra disminuir la cantidad de abortos que se producen",0.133,0.16,0.081
"P18","Representa una reasignación del gasto público en algo más necesario",0.243,0.043,0.149
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.149,0.334,0.178
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.139,0.301,0.272
"P18","No sabe",0.073,0.024,0.05
"P20","Si",0.747,0.122,0.442
"P20","No",0.137,0.796,0.452
"P20","No sabe",0.116,0.082,0.106
"P21","Logra disminuir los cargos militantes presentes en el estado",0.336,0.075,0.174
"P21","Evita la manipulación de la información por parte del estado",0.177,0.163,0.132
"P21","Representa una reasignación del gasto público en algo más necesario",0.235,0.063,0.182
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.134,0.402,0.308
"P21","Es parte de la persecución ideológica",0.095,0.26,0.141
"P21","No sabe",0.023,0.037,0.063
"P24","Es parte de una persecución ideológica",0.088,0.24,0.096
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.063,0.444,0.28
"P24","Representa una reasignación del gasto público en algo mas necesario",0.281,0.11,0.216
"P24","Logra disminuir los cargos militantes presentes en el estado",0.376,0.13,0.221
"P24","Contribuye a la libertad de pensamiento",0.174,0.055,0.163
"P24","No sabe",0.018,0.021,0.024
"P27","Inflación",0.229,0.317,0.216
"P27","Desempleo",0.058,0.174,0.108
"P27","Corrupción",0.475,0.129,0.324
"P27","Inseguridad",0.135,0.056,0.139
"P27","Precio del dólar",0.024,0.014,0.009
"P27","Pobreza",0.032,0.193,0.11
"P27","Narcotráfico",0.012,0.012,0
"P27","Tarifas",0.009,0.022,0.04
"P27","Otro",0.024,0.075,0.054
"P27","No sabe",0.002,0.008,0
"P31","Sin deuda",0.361,0.246,0.371
"P31","Menos de 10%",0.172,0.142,0.127
"P31","Entre 10 y 20%",0.131,0.117,0.13
"P31","Entre 20 y 30%",0.099,0.089,0.04
"P31","Entre 30 y 40%",0.079,0.102,0.06
"P31","Mas del 40%",0.123,0.264,0.219
"P31","No sabe",0.035,0.04,0.053
"P32","Gran excedente habitual",0.016,0.002,0.005
"P32","Gran excedente excepcional",0.004,0.004,0.006
"P32","Pequeño excedente habitual",0.065,0.06,0.059
"P32","Pequeño excedente excepcional",0.081,0.027,0.083
"P32","Alcanza gastos familia",0.151,0.098,0.118
"P32","No alcanza gastos familia",0.088,0.152,0.12
"P32","Solo NBFamiliares",0.317,0.258,0.325
"P32","No alcanza NBFamiliares",0.257,0.395,0.284
"P32","No sabe",0.021,0.004,0
"P33","Muy buena",0.073,0.044,0.042
"P33","Buena",0.209,0.078,0.209
"P33","Ni buena ni mala",0.456,0.327,0.412
"P33","Mala",0.197,0.406,0.274
"P33","Muy mala",0.056,0.118,0.059
"P33","No sabe",0.009,0.027,0.004
"P34","Mejor",0.195,0.034,0.131
"P34","Igual",0.436,0.116,0.336
"P34","Peor",0.354,0.797,0.521
"P34","No sabe",0.015,0.053,0.012
"P35","Mejor",0.524,0.05,0.357
"P35","Igual",0.215,0.122,0.195
"P35","Peor",0.179,0.761,0.391
"P35","No sabe",0.082,0.067,0.057
"P36","Muy buena",0.078,0.045,0.072
"P36","Buena",0.106,0.033,0.093
"P36","Ni buena ni mala",0.323,0.113,0.236
"P36","Mala",0.342,0.365,0.314
"P36","Muy mala",0.136,0.437,0.281
"P36","No sabe",0.015,0.007,0.004
