"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P06","Al candidato del Frente de Todos",0.133,0.148,0.063
"P06","Al candidato de Juntos por el Cambio",0.812,0.766,0.901
"P06","Al candidato de los liberales - libertarios",0.011,0.01,0.004
"P06","Al candidato de la Izquierda",0,0,0
"P06","A otro candidato",0.031,0.035,0.017
"P06","No sabe",0.013,0.041,0.015
"P07","A Malena Galmarini",0.462,0.558,0.125
"P07","A Julio Zamora",0.268,0.442,0.75
"P07","No sabe",0.27,0,0.125
"P08","Muy buena",0.145,0.134,0.078
"P08","Buena",0.105,0.031,0.08
"P08","Ni buena ni mala",0.331,0.21,0.172
"P08","Mala",0.075,0.185,0.223
"P08","Muy mala",0.335,0.315,0.431
"P08","No sabe",0.009,0.125,0.016
"P09","Muy buena",0.094,0.158,0.138
"P09","Buena",0.135,0.255,0.099
"P09","Ni buena ni mala",0.271,0.157,0.242
"P09","Mala",0.212,0.289,0.261
"P09","Muy mala",0.288,0.141,0.257
"P09","No sabe",0,0,0.003
"P10","Muy buena",0.157,0.243,0.269
"P10","Buena",0.229,0.319,0.358
"P10","Ni buena ni mala",0.32,0.279,0.273
"P10","Mala",0.107,0.023,0.068
"P10","Muy mala",0.128,0.097,0.018
"P10","No sabe",0.059,0.039,0.014
"P11","Muy buena",0.088,0.132,0.015
"P11","Buena",0.057,0.178,0.14
"P11","Ni buena ni mala",0.459,0.178,0.411
"P11","Mala",0.017,0.107,0.082
"P11","Muy mala",0.246,0.042,0.116
"P11","No sabe",0.133,0.363,0.236
"P12","Muy buena",0.137,0.018,0.06
"P12","Buena",0.132,0.23,0.206
"P12","Ni buena ni mala",0.427,0.457,0.405
"P12","Mala",0.024,0.084,0.039
"P12","Muy mala",0.205,0.018,0.152
"P12","No sabe",0.075,0.193,0.138
"P13","La seguridad",0.245,0.438,0.345
"P13","El tránsito",0.117,0.064,0.01
"P13","El arreglo de las calles",0.135,0.132,0.149
"P13","El estado de las escuelas y la educación",0.013,0.006,0.045
"P13","El sistema de salud",0.166,0.049,0.04
"P13","El deporte y la cultura",0.119,0.068,0.059
"P13","La obra pública",0.018,0.042,0.017
"P13","La luminaria",0.027,0.113,0.095
"P13","No sabe",0.16,0.088,0.24
"P14","La seguridad",0.493,0.11,0.156
"P14","El tránsito",0.024,0.071,0.116
"P14","El arreglo de las calles",0.222,0.242,0.193
"P14","El estado de las escuelas y la educación",0.15,0.252,0.209
"P14","El sistema de salud",0.058,0.083,0.125
"P14","El deporte y la cultura",0.011,0.008,0.002
"P14","La obra pública",0.002,0.041,0.045
"P14","La luminaria",0.013,0.012,0.071
"P14","No sabe",0.027,0.181,0.083
"P15","Agua corriente y cloacas",0.568,0.652,0.461
"P15","Energía eléctrica",0.298,0.034,0.097
"P15","Red de gas natural",0.003,0.018,0.061
"P15","Recolección de residuos",0.021,0.157,0.147
"P15","Ninguno",0.11,0.139,0.234
"P16","Los robos",0.503,0.393,0.225
"P16","El narcotráfico",0.127,0.339,0.517
"P16","La ausencia de patrulleros y personal policial",0.267,0.152,0.056
"P16","Otro",0.02,0.096,0.133
"P16","Ninguno",0.083,0.02,0.069
"P21","A Horacio Rodriguez Larreta",0.62,0.36,0.375
"P21","A Mauricio Macri",0.193,0.361,0.262
"P21","A Patricia Bullrich",0.056,0.241,0.264
"P21","A Facundo Manes",0.128,0.031,0.064
"P21","A Martín Lousteau",0.003,0.007,0.035
"P23","Muy buena",0.396,0.025,0
"P23","Buena",0,0.156,0.118
"P23","Ni buena ni mala",0.138,0.043,0.201
"P23","Mala",0.255,0.195,0.067
"P23","Muy mala",0.211,0.578,0.59
"P23","No sabe",0,0.003,0.024
"P24","Muy buena",0.373,0.131,0.224
"P24","Buena",0.225,0.459,0.231
"P24","Ni buena ni mala",0.108,0.162,0.212
"P24","Mala",0.166,0.16,0.067
"P24","Muy mala",0.128,0.088,0.266
"P24","No sabe",0,0,0
"P25","Muy buena",0.189,0.044,0.088
"P25","Buena",0.133,0.019,0.036
"P25","Ni buena ni mala",0.017,0.128,0.058
"P25","Mala",0.048,0.034,0.023
"P25","Muy mala",0.613,0.775,0.79
"P25","No sabe",0,0,0.005
"P26","Muy buena",0.364,0.401,0.322
"P26","Buena",0.156,0.286,0.242
"P26","Ni buena ni mala",0.135,0.23,0.226
"P26","Mala",0.015,0.009,0.056
"P26","Muy mala",0.33,0.074,0.136
"P26","No sabe",0,0,0.018
"P27","Muy buena",0.108,0.169,0.062
"P27","Buena",0.197,0.008,0.179
"P27","Ni buena ni mala",0.12,0.257,0.079
"P27","Mala",0.048,0.058,0.179
"P27","Muy mala",0.527,0.508,0.494
"P27","No sabe",0,0,0.007
"P28","Muy buena",0.477,0.447,0.431
"P28","Buena",0.104,0.274,0.231
"P28","Ni buena ni mala",0.169,0.068,0.193
"P28","Mala",0.018,0.123,0.011
"P28","Muy mala",0.232,0.088,0.134
"P28","No sabe",0,0,0
"P29","Muy buena",0.423,0.09,0.172
"P29","Buena",0.345,0.137,0.102
"P29","Ni buena ni mala",0.171,0.62,0.32
"P29","Mala",0.049,0.043,0.134
"P29","Muy mala",0.003,0.08,0.265
"P29","No sabe",0.009,0.03,0.007
