"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P08","Muy buena",0.312,0.035,0.064,0.176,0.033,0.097
"P08","Buena",0.243,0.085,0.032,0.205,0.059,0.106
"P08","Ni buena ni mala",0.227,0.215,0.205,0.172,0.281,0.244
"P08","Mala",0.077,0.199,0.256,0.126,0.157,0.1
"P08","Muy mala",0.088,0.437,0.339,0.236,0.28,0.118
"P08","No sabe",0.053,0.029,0.104,0.085,0.19,0.335
"P09","Muy buena",0.387,0.079,0.07,0.159,0.069,0.122
"P09","Buena",0.329,0.116,0.045,0.184,0.124,0.206
"P09","Ni buena ni mala",0.159,0.293,0.257,0.274,0.269,0.324
"P09","Mala",0.059,0.253,0.291,0.085,0.16,0.187
"P09","Muy mala",0.051,0.242,0.303,0.273,0.208,0.113
"P09","No sabe",0.015,0.017,0.034,0.025,0.17,0.048
"P10","Muy buena",0.099,0.278,0.109,0.012,0.166,0.071
"P10","Buena",0.109,0.315,0.189,0.054,0.09,0.123
"P10","Ni buena ni mala",0.259,0.304,0.315,0.269,0.279,0.37
"P10","Mala",0.223,0.047,0.127,0.159,0.156,0.088
"P10","Muy mala",0.229,0.03,0.158,0.405,0.181,0.126
"P10","No sabe",0.081,0.026,0.102,0.101,0.128,0.222
"P11","Muy buena",0.105,0.022,0.016,0.091,0,0.047
"P11","Buena",0.052,0.068,0.071,0.129,0.043,0
"P11","Ni buena ni mala",0.39,0.426,0.242,0.119,0.234,0.247
"P11","Mala",0.089,0.091,0.118,0.199,0.143,0.028
"P11","Muy mala",0.031,0.089,0.18,0.18,0.221,0.016
"P11","No sabe",0.333,0.304,0.373,0.282,0.359,0.662
"P12","Muy buena",0.08,0.072,0.047,0.006,0.025,0.003
"P12","Buena",0.074,0.163,0.119,0.046,0.023,0.081
"P12","Ni buena ni mala",0.348,0.452,0.302,0.203,0.343,0.2
"P12","Mala",0.142,0.075,0.108,0.111,0.091,0.042
"P12","Muy mala",0.12,0.084,0.195,0.402,0.234,0.046
"P12","No sabe",0.236,0.154,0.229,0.232,0.284,0.628
"P13","La seguridad",0.279,0.301,0.296,0.118,0.27,0.191
"P13","El tránsito",0.041,0.042,0.065,0.053,0.033,0.034
"P13","El arreglo de las calles",0.141,0.113,0.068,0.147,0.047,0.147
"P13","El estado de las escuelas y la educación",0.082,0.039,0.021,0.034,0.098,0.089
"P13","El sistema de salud",0.139,0.048,0.049,0.148,0.02,0.039
"P13","El deporte y la cultura",0.116,0.105,0.129,0.228,0.19,0.228
"P13","La obra pública",0.085,0.031,0.013,0.021,0.055,0
"P13","La luminaria",0.028,0.12,0.058,0.108,0.129,0.112
"P13","No sabe",0.089,0.201,0.301,0.143,0.158,0.16
"P14","La seguridad",0.21,0.204,0.244,0.228,0.243,0.269
"P14","El tránsito",0.133,0.092,0.081,0.018,0.206,0.068
"P14","El arreglo de las calles",0.102,0.178,0.137,0.012,0.087,0.176
"P14","El estado de las escuelas y la educación",0.207,0.209,0.21,0.41,0.122,0.163
"P14","El sistema de salud",0.15,0.117,0.111,0.146,0.178,0.126
"P14","El deporte y la cultura",0.031,0.025,0.011,0,0.056,0.041
"P14","La obra pública",0.019,0.05,0.034,0.087,0.037,0.003
"P14","La luminaria",0.012,0.043,0.045,0,0.001,0.035
"P14","No sabe",0.136,0.082,0.127,0.099,0.07,0.119
"P15","Agua corriente y cloacas",0.498,0.511,0.474,0.559,0.464,0.412
"P15","Energía eléctrica",0.087,0.156,0.181,0.055,0.213,0.195
"P15","Red de gas natural",0.045,0.04,0.063,0.021,0.025,0.105
"P15","Recolección de residuos",0.111,0.13,0.108,0.152,0.101,0.148
"P15","Ninguno",0.259,0.163,0.174,0.213,0.197,0.14
"P16","Los robos",0.337,0.33,0.318,0.272,0.279,0.378
"P16","El narcotráfico",0.192,0.348,0.268,0.132,0.277,0.191
"P16","La ausencia de patrulleros y personal policial",0.211,0.144,0.127,0.239,0.201,0.157
"P16","Otro",0.146,0.121,0.177,0.258,0.093,0.206
"P16","Ninguno",0.114,0.057,0.11,0.099,0.15,0.068
"P17","Frente de Todos y el peronismo",0.728,0.071,0.021,0.259,0.145,0.115
"P17","Cambiemos",0.052,0.758,0.041,0,0.105,0.083
"P17","Liberales Libertarios",0.087,0.076,0.925,0,0.193,0.087
"P17","Izquierda",0.013,0.014,0.007,0.698,0.025,0.035
"P17","No sabe",0.12,0.081,0.006,0.043,0.532,0.68
"P19","A Alberto Fernández",0.387,0.319,0,0.527,0,0.377
"P19","A Sergio Massa",0.27,0.034,0.061,0.364,0.194,0.279
"P19","A algún candidato del peronismo",0.076,0.647,0.939,0,0.168,0.24
"P19","A algún candidato del kirchnerismo",0.267,0,0,0.109,0.638,0.104
"P20","Seguro la votaria",0.649,0.29,0,0.942,0.637,0.612
"P20","Quizás la votaría",0.207,0.09,0.061,0.036,0.363,0.388
"P20","Nunca la votaría",0.144,0.62,0.939,0.022,0,0
"P21","A Horacio Rodriguez Larreta",0.65,0.407,0.523,0,0.359,0.384
"P21","A Mauricio Macri",0.076,0.307,0.123,0,0.219,0
"P21","A Patricia Bullrich",0.041,0.214,0.354,0,0.232,0.616
"P21","A Facundo Manes",0.203,0.053,0,0,0.19,0
"P21","A Martín Lousteau",0.03,0.019,0,0,0,0
