"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Martín Lousteau"
"P06","Al candidato del Frente de Todos",0.157,0.029,0.02,0.299,0.164
"P06","Al candidato de Juntos por el Cambio",0.794,0.947,0.873,0.632,0.836
"P06","Al candidato de los liberales - libertarios",0.009,0.003,0.013,0,0
"P06","Al candidato de la Izquierda",0,0,0,0,0
"P06","A otro candidato",0.021,0.021,0.029,0.069,0
"P06","No sabe",0.019,0,0.065,0,0
"P07","A Malena Galmarini",0.396,0.423,0,0.405,0
"P07","A Julio Zamora",0.56,0.379,1,0.595,0
"P07","No sabe",0.044,0.198,0,0,1
"P08","Muy buena",0.239,0.022,0.005,0,0
"P08","Buena",0.106,0.029,0.034,0.17,0
"P08","Ni buena ni mala",0.322,0.182,0.105,0.146,0.093
"P08","Mala",0.155,0.121,0.311,0.129,0.138
"P08","Muy mala",0.165,0.532,0.54,0.502,0.605
"P08","No sabe",0.013,0.114,0.005,0.053,0.164
"P09","Muy buena",0.175,0.085,0.067,0.288,0
"P09","Buena",0.165,0.164,0.119,0.139,0.042
"P09","Ni buena ni mala",0.315,0.103,0.25,0.05,0.353
"P09","Mala",0.218,0.347,0.259,0.054,0.562
"P09","Muy mala",0.127,0.301,0.298,0.469,0.043
"P09","No sabe",0,0,0.007,0,0
"P10","Muy buena",0.211,0.288,0.294,0.04,0.043
"P10","Buena",0.391,0.265,0.328,0.093,0
"P10","Ni buena ni mala",0.294,0.366,0.175,0.116,0.793
"P10","Mala",0.068,0.037,0.029,0.235,0.164
"P10","Muy mala",0.013,0.016,0.128,0.442,0
"P10","No sabe",0.023,0.028,0.046,0.074,0
"P11","Muy buena",0.136,0.015,0.014,0,0
"P11","Buena",0.211,0.123,0,0.075,0
"P11","Ni buena ni mala",0.366,0.361,0.382,0.126,0.706
"P11","Mala",0.022,0.068,0.191,0.08,0
"P11","Muy mala",0.145,0.094,0.045,0.431,0
"P11","No sabe",0.12,0.339,0.368,0.288,0.294
"P12","Muy buena",0.091,0.037,0.081,0.021,0
"P12","Buena",0.145,0.281,0.235,0.066,0.098
"P12","Ni buena ni mala",0.545,0.284,0.374,0.318,0.653
"P12","Mala",0.014,0.102,0.06,0,0.085
"P12","Muy mala",0.115,0.083,0.123,0.431,0
"P12","No sabe",0.09,0.213,0.127,0.164,0.164
"P13","La seguridad",0.357,0.298,0.389,0.256,0.633
"P13","El tránsito",0.074,0.057,0.003,0.049,0
"P13","El arreglo de las calles",0.168,0.17,0.052,0.155,0
"P13","El estado de las escuelas y la educación",0.03,0.008,0.033,0.015,0.164
"P13","El sistema de salud",0.038,0.046,0.072,0.431,0
"P13","El deporte y la cultura",0.076,0.101,0.077,0,0
"P13","La obra pública",0.01,0.033,0.054,0,0
"P13","La luminaria",0.063,0.049,0.198,0.017,0.034
"P13","No sabe",0.184,0.238,0.122,0.077,0.169
"P14","La seguridad",0.337,0.181,0.127,0.084,0
"P14","El tránsito",0.041,0.038,0.146,0.164,0.569
"P14","El arreglo de las calles",0.155,0.205,0.283,0.462,0.033
"P14","El estado de las escuelas y la educación",0.189,0.242,0.189,0.216,0.241
"P14","El sistema de salud",0.071,0.194,0.051,0.037,0
"P14","El deporte y la cultura",0.014,0,0,0,0
"P14","La obra pública",0.011,0.048,0.069,0.015,0
"P14","La luminaria",0.054,0.017,0.06,0,0
"P14","No sabe",0.128,0.075,0.075,0.022,0.157
"P15","Agua corriente y cloacas",0.574,0.526,0.501,0.62,0.171
"P15","Energía eléctrica",0.134,0.158,0.097,0.104,0.074
"P15","Red de gas natural",0.012,0.028,0.104,0,0
"P15","Recolección de residuos",0.053,0.166,0.146,0.225,0.227
"P15","Ninguno",0.227,0.122,0.152,0.051,0.528
"P16","Los robos",0.357,0.28,0.323,0.546,0.281
"P16","El narcotráfico",0.413,0.38,0.308,0.324,0.098
"P16","La ausencia de patrulleros y personal policial",0.083,0.271,0.095,0.066,0.093
"P16","Otro",0.072,0.047,0.185,0.039,0.528
"P16","Ninguno",0.075,0.022,0.089,0.025,0
"P22","Seguro lo votaria",0.358,0.176,0.067,0.45,0.043
"P22","Quizás lo votaría",0.233,0.371,0.328,0.124,0.096
"P22","Nunca lo votaría",0.409,0.453,0.605,0.426,0.861
"P23","Muy buena",0.141,0.152,0.015,0,0
"P23","Buena",0.166,0.02,0.027,0.234,0
"P23","Ni buena ni mala",0.105,0.124,0.092,0.549,0.225
"P23","Mala",0.183,0.158,0.098,0.094,0.036
"P23","Muy mala",0.402,0.546,0.715,0.123,0.739
"P23","No sabe",0.003,0,0.053,0,0
"P24","Muy buena",0.194,0.402,0.182,0.037,0.047
"P24","Buena",0.23,0.388,0.403,0.038,0.108
"P24","Ni buena ni mala",0.21,0.071,0.175,0.225,0.584
"P24","Mala",0.196,0.011,0.129,0.034,0.082
"P24","Muy mala",0.17,0.128,0.111,0.666,0.179
"P24","No sabe",0,0,0,0,0
"P25","Muy buena",0.166,0.043,0.003,0.245,0
"P25","Buena",0.018,0.176,0,0,0
"P25","Ni buena ni mala",0.123,0.009,0.041,0.042,0
"P25","Mala",0.034,0.031,0.044,0,0
"P25","Muy mala",0.657,0.741,0.904,0.713,1
"P25","No sabe",0.002,0,0.008,0,0
"P26","Muy buena",0.492,0.334,0.205,0.076,0.155
"P26","Buena",0.199,0.198,0.368,0.069,0.622
"P26","Ni buena ni mala",0.153,0.326,0.213,0.068,0
"P26","Mala",0.005,0.016,0.094,0.095,0
"P26","Muy mala",0.149,0.126,0.12,0.624,0.046
"P26","No sabe",0.002,0,0,0.068,0.177
"P27","Muy buena",0.2,0.046,0.019,0,0
"P27","Buena",0.183,0.154,0.01,0.188,0
"P27","Ni buena ni mala",0.138,0.269,0.018,0.019,0
"P27","Mala",0.171,0.026,0.095,0.142,0.106
"P27","Muy mala",0.308,0.505,0.858,0.651,0.715
"P27","No sabe",0,0,0,0,0.179
"P28","Muy buena",0.414,0.403,0.719,0.064,0.108
"P28","Buena",0.26,0.222,0.147,0.082,0.048
"P28","Ni buena ni mala",0.209,0.165,0,0.077,0.619
"P28","Mala",0.007,0.13,0,0.032,0.179
"P28","Muy mala",0.11,0.08,0.134,0.745,0.046
"P28","No sabe",0,0,0,0,0
"P29","Muy buena",0.368,0.114,0.101,0,0
"P29","Buena",0.181,0.116,0.119,0.564,0.07
"P29","Ni buena ni mala",0.334,0.474,0.357,0.085,0.619
"P29","Mala",0.059,0.061,0.184,0.031,0.265
"P29","Muy mala",0.056,0.222,0.199,0.308,0.046
"P29","No sabe",0.002,0.013,0.04,0.012,0
