"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguìa","Jure","opciones"
"Muy buena",0.241,0.281,0.197,0.214,0.248,0.309,0.198,0.331,0.206,0.114,0.528,0.244,0.042,0,0,0,6
"Buena",0.156,0.123,0.194,0.147,0.168,0.144,0.143,0.126,0.202,0.069,0.158,0.283,0.047,0,0,0,6
"Ni buena ni mala",0.322,0.337,0.305,0.254,0.365,0.406,0.176,0.273,0.351,0.353,0.252,0.26,0.439,0.647,0.79,0.512,6
"Mala",0.072,0.055,0.09,0.068,0.067,0.087,0.122,0.068,0.057,0.137,0,0.061,0.142,0,0.21,0.159,6
"Muy mala",0.06,0.074,0.044,0.111,0.039,0,0,0.016,0.098,0.042,0,0.04,0.162,0,0,0.27,6
"No sabe",0.149,0.13,0.17,0.206,0.113,0.054,0.361,0.186,0.086,0.285,0.062,0.112,0.168,0.353,0,0.059,6
"Positiva",0.397,0.404,0.391,0.361,0.416,0.453,0.341,0.457,0.408,0.183,0.686,0.527,0.089,0,0,0,4
"Neutra",0.322,0.337,0.305,0.254,0.365,0.406,0.176,0.273,0.351,0.353,0.252,0.26,0.439,0.647,0.79,0.512,4
"Negativa",0.132,0.129,0.134,0.179,0.106,0.087,0.122,0.084,0.155,0.179,0,0.101,0.304,0,0.21,0.429,4
"No sabe",0.149,0.13,0.17,0.206,0.113,0.054,0.361,0.186,0.086,0.285,0.062,0.112,0.168,0.353,0,0.059,4
