"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguìa","Jure","opciones"
"Muy buena",0.206,0.273,0.13,0.189,0.255,0.059,0.279,0.328,0.13,0.137,0.228,0.383,0.15,0,0,0.137,6
"Buena",0.177,0.179,0.175,0.192,0.179,0.163,0.022,0.189,0.209,0.02,0.245,0.257,0.049,0,0,0,6
"Ni buena ni mala",0.264,0.192,0.346,0.295,0.224,0.365,0.086,0.169,0.347,0.228,0.284,0.209,0.144,0.443,0.609,0.296,6
"Mala",0.076,0.098,0.051,0,0.107,0.182,0.085,0.066,0.078,0.095,0.044,0.022,0.295,0,0.391,0.129,6
"Muy mala",0.137,0.138,0.136,0.17,0.114,0.106,0.216,0.088,0.115,0.366,0.082,0.105,0.263,0.557,0,0.438,6
"No sabe",0.14,0.12,0.162,0.154,0.121,0.125,0.312,0.16,0.121,0.154,0.117,0.024,0.099,0,0,0,6
"Positiva",0.383,0.452,0.305,0.381,0.434,0.222,0.301,0.517,0.339,0.157,0.473,0.64,0.199,0,0,0.137,4
"Neutra",0.264,0.192,0.346,0.295,0.224,0.365,0.086,0.169,0.347,0.228,0.284,0.209,0.144,0.443,0.609,0.296,4
"Negativa",0.213,0.236,0.187,0.17,0.221,0.288,0.301,0.154,0.193,0.461,0.126,0.127,0.558,0.557,0.391,0.567,4
"No sabe",0.14,0.12,0.162,0.154,0.121,0.125,0.312,0.16,0.121,0.154,0.117,0.024,0.099,0,0,0,4
