"var","categoria","Liliana Alvarado por Nos Une Río Negro","Hernán Cáceres por Cambia Cinco Saltos","Quique Rossi por Avancemos Cinco Saltos","María Elena Vogel por Juntos Somos Río Negro","Silvina Gastiazoro por Nueva Generación","Miguel Vidal por el Partido Socialista","Martín Palumbo por Vamos Con Todos","Norberto Soto por la UCR","No sabe"
"P05","Siempre",0.278,0.106,0.136,0.153,0.118,0.152,0.523,0.184,0.102
"P05","Casi siempre",0.235,0.196,0.264,0.269,0.232,0.244,0.279,0.323,0.198
"P05","Casi nunca",0.357,0.459,0.323,0.324,0.261,0.418,0.06,0.329,0.354
"P05","Nunca, pero esta es una excepción",0.13,0.239,0.277,0.254,0.389,0.186,0.138,0.164,0.346
"P07","Muy de acuerdo",0.216,0.165,0.15,0.227,0,0.143,0.22,0.411,0.193
"P07","De acuerdo",0.364,0.39,0.337,0.336,0.526,0.314,0,0.26,0.199
"P07","Ni a favor ni en contra",0.253,0.244,0.301,0.245,0.202,0.2,0.436,0.075,0.362
"P07","En desacuerdo",0.095,0.072,0.105,0.097,0.067,0.086,0.311,0.12,0.075
"P07","Muy en desacuerdo",0.065,0.129,0.107,0.095,0.205,0.189,0.033,0.134,0.13
"P07","No sabe",0.007,0,0,0,0,0.068,0,0,0.041
"P08","Muy buena",0.236,0.008,0,0.053,0.036,0,0,0,0.012
"P08","Buena",0.368,0.083,0.054,0.162,0.312,0.032,0,0.183,0.095
"P08","Ni buena ni mala",0.321,0.443,0.396,0.355,0.204,0.174,0.136,0.238,0.301
"P08","Mala",0.056,0.275,0.296,0.345,0.164,0.18,0.379,0.113,0.144
"P08","Muy mala",0.012,0.168,0.242,0.057,0.239,0.159,0.485,0.411,0.185
"P08","No sabe",0.007,0.023,0.012,0.028,0.045,0.455,0,0.055,0.263
"P10","A Liliana Alvarado por Nos Une Río Negro con el apoyo del kirchnerismo, Martín Doñate y La Cámpora",0.762,0.052,0.007,0.074,0.146,0.074,0,0.293,0.048
"P10","A Hernán Cáceres por Cambia Cinco Saltos con el apoyo de una parte del PRO",0.114,0.741,0.133,0.119,0.102,0.132,0,0.088,0.084
"P10","A Quique Rossi  por Avancemos Cinco Saltos",0.006,0.073,0.743,0.061,0,0,0.099,0,0.011
"P10","A María Elena Vogel por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.034,0.048,0.089,0.7,0.059,0.042,0.073,0.033,0.079
"P10","A Silvina Gastiazoro por Nueva Generación",0,0,0.013,0,0.623,0.033,0,0,0
"P10","A Miguel Vidal por el Partido Socialista con el apoyo de una parte del PRO y de Anibal Tortoriello",0,0,0,0,0.036,0.552,0,0,0.021
"P10","A Martín Palumbo por Vamos Con Todos con el apoyo del Movimiento Evita y de Silvia Horne",0.015,0,0,0,0,0.015,0.756,0,0.017
"P10","A Norberto Soto por la UCR con el apoyo del radicalismo",0,0,0,0,0,0.04,0.033,0.544,0
"P10","No sabe",0.069,0.086,0.015,0.046,0.034,0.112,0.039,0.042,0.74
"P11","La votaría",0.68,0.114,0.03,0.118,0.152,0,0.105,0.168,0.056
"P11","Puede que la vote",0.204,0.198,0.103,0.213,0.115,0.158,0.1,0,0.23
