"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.146,0.159,0.134,0.271,0.104,0.119,0.138,0.181,0.154,0.106,0.179,0.12,0.02,0.256,0.09,0.176,0.133,0.159,6
"Buena",0.205,0.249,0.158,0.199,0.21,0.22,0.166,0.203,0.199,0.214,0.206,0.297,0.144,0.247,0.113,0.282,0.218,0.192,6
"Ni buena ni mala",0.37,0.322,0.42,0.341,0.41,0.327,0.359,0.366,0.388,0.35,0.363,0.276,0.42,0.356,0.358,0.389,0.385,0.357,6
"Mala",0.144,0.142,0.146,0.109,0.146,0.17,0.147,0.121,0.167,0.132,0.149,0.149,0.122,0.08,0.232,0.08,0.139,0.148,6
"Muy mala",0.109,0.105,0.113,0.067,0.116,0.1,0.171,0.099,0.07,0.169,0.079,0.115,0.262,0.052,0.172,0.055,0.101,0.116,6
"No sabe",0.026,0.023,0.029,0.013,0.014,0.064,0.019,0.03,0.022,0.029,0.024,0.043,0.032,0.009,0.035,0.018,0.024,0.028,6
"Positiva",0.351,0.408,0.292,0.47,0.314,0.339,0.304,0.384,0.353,0.32,0.385,0.417,0.164,0.503,0.203,0.458,0.351,0.351,4
"Neutra",0.37,0.322,0.42,0.341,0.41,0.327,0.359,0.366,0.388,0.35,0.363,0.276,0.42,0.356,0.358,0.389,0.385,0.357,4
"Negativa",0.253,0.247,0.259,0.176,0.262,0.27,0.318,0.22,0.237,0.301,0.228,0.264,0.384,0.132,0.404,0.135,0.24,0.264,4
"No sabe",0.026,0.023,0.029,0.013,0.014,0.064,0.019,0.03,0.022,0.029,0.024,0.043,0.032,0.009,0.035,0.018,0.024,0.028,4
