"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.154,0.146,0.163,0.212,0.118,0.154,0.178,0.213,0.163,0.086,0.172,0.137,0.199,0.015,0.293,0.056,0.15,0.158,6
"Buena",0.171,0.167,0.176,0.151,0.153,0.204,0.214,0.161,0.143,0.222,0.159,0.23,0.256,0.014,0.313,0.074,0.162,0.18,6
"Ni buena ni mala",0.141,0.105,0.18,0.072,0.175,0.123,0.189,0.153,0.138,0.136,0.113,0.151,0.202,0.031,0.193,0.106,0.137,0.145,6
"Mala",0.223,0.267,0.175,0.273,0.198,0.24,0.178,0.176,0.256,0.219,0.228,0.205,0.218,0.274,0.112,0.294,0.211,0.233,6
"Muy mala",0.307,0.312,0.301,0.292,0.35,0.272,0.241,0.297,0.291,0.337,0.322,0.277,0.125,0.666,0.083,0.467,0.332,0.284,6
"No sabe",0.004,0.003,0.005,0,0.006,0.007,0,0,0.009,0,0.006,0,0,0,0.006,0.003,0.008,0,6
"Positiva",0.325,0.313,0.339,0.363,0.271,0.358,0.392,0.374,0.306,0.308,0.331,0.367,0.455,0.029,0.606,0.13,0.312,0.338,4
"Neutra",0.141,0.105,0.18,0.072,0.175,0.123,0.189,0.153,0.138,0.136,0.113,0.151,0.202,0.031,0.193,0.106,0.137,0.145,4
"Negativa",0.53,0.579,0.476,0.565,0.548,0.512,0.419,0.473,0.547,0.556,0.55,0.482,0.343,0.94,0.195,0.761,0.543,0.517,4
"No sabe",0.004,0.003,0.005,0,0.006,0.007,0,0,0.009,0,0.006,0,0,0,0.006,0.003,0.008,0,4
