"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.204,0.211,0.196,0.33,0.189,0.169,0.107,0.262,0.179,0.188,0.226,0.1,0.105,0.416,0.073,0.305,0.234,0.176,6
"Buena",0.172,0.172,0.172,0.282,0.128,0.152,0.178,0.133,0.231,0.126,0.157,0.241,0.119,0.23,0.061,0.258,0.147,0.194,6
"Ni buena ni mala",0.262,0.283,0.241,0.165,0.306,0.272,0.255,0.322,0.257,0.217,0.275,0.278,0.258,0.289,0.172,0.323,0.274,0.252,6
"Mala",0.136,0.123,0.149,0.077,0.134,0.183,0.154,0.151,0.165,0.082,0.113,0.183,0.188,0.015,0.24,0.059,0.119,0.151,6
"Muy mala",0.209,0.197,0.221,0.146,0.23,0.202,0.254,0.121,0.144,0.373,0.21,0.169,0.324,0.049,0.432,0.041,0.204,0.213,6
"No sabe",0.017,0.014,0.021,0,0.013,0.022,0.052,0.011,0.024,0.014,0.019,0.029,0.006,0.001,0.022,0.014,0.022,0.014,6
"Positiva",0.376,0.383,0.368,0.612,0.317,0.321,0.285,0.395,0.41,0.314,0.383,0.341,0.224,0.646,0.134,0.563,0.381,0.37,4
"Neutra",0.262,0.283,0.241,0.165,0.306,0.272,0.255,0.322,0.257,0.217,0.275,0.278,0.258,0.289,0.172,0.323,0.274,0.252,4
"Negativa",0.345,0.32,0.37,0.223,0.364,0.385,0.408,0.272,0.309,0.455,0.323,0.352,0.512,0.064,0.672,0.1,0.323,0.364,4
"No sabe",0.017,0.014,0.021,0,0.013,0.022,0.052,0.011,0.024,0.014,0.019,0.029,0.006,0.001,0.022,0.014,0.022,0.014,4
