"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.168,0.19,0.144,0.159,0.182,0.138,0.189,0.243,0.155,0.116,0.265,0.085,0.049,0,0.22,0.133,0.193,0.143,6
"Buena",0.252,0.235,0.269,0.176,0.253,0.283,0.334,0.17,0.31,0.246,0.278,0.352,0.175,0.126,0.241,0.274,0.223,0.279,6
"Ni buena ni mala",0.396,0.392,0.401,0.35,0.414,0.431,0.351,0.414,0.342,0.455,0.351,0.407,0.449,0.619,0.403,0.379,0.391,0.401,6
"Mala",0.1,0.114,0.086,0.203,0.064,0.082,0.073,0.082,0.113,0.099,0.061,0.103,0.186,0.1,0.072,0.113,0.094,0.106,6
"Muy mala",0.046,0.036,0.057,0.069,0.05,0.03,0.018,0.078,0.024,0.048,0.016,0.008,0.115,0.086,0.035,0.057,0.066,0.028,6
"No sabe",0.038,0.033,0.043,0.043,0.037,0.036,0.035,0.013,0.056,0.036,0.029,0.045,0.026,0.069,0.029,0.044,0.033,0.043,6
"Positiva",0.42,0.425,0.413,0.335,0.435,0.421,0.523,0.413,0.465,0.362,0.543,0.437,0.224,0.126,0.461,0.407,0.416,0.422,4
"Neutra",0.396,0.392,0.401,0.35,0.414,0.431,0.351,0.414,0.342,0.455,0.351,0.407,0.449,0.619,0.403,0.379,0.391,0.401,4
"Negativa",0.146,0.15,0.143,0.272,0.114,0.112,0.091,0.16,0.137,0.147,0.077,0.111,0.301,0.186,0.107,0.17,0.16,0.134,4
"No sabe",0.038,0.033,0.043,0.043,0.037,0.036,0.035,0.013,0.056,0.036,0.029,0.045,0.026,0.069,0.029,0.044,0.033,0.043,4
