"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.093,0.107,0.079,0.216,0.042,0.081,0.082,0.168,0.103,0.014,0.117,0.121,0.004,0,0.088,0.098,0.078,0.107,6
"Buena",0.121,0.134,0.107,0.102,0.093,0.149,0.204,0.093,0.154,0.1,0.126,0.178,0.079,0.04,0.155,0.101,0.113,0.128,6
"Ni buena ni mala",0.247,0.197,0.299,0.078,0.297,0.291,0.279,0.253,0.234,0.257,0.225,0.295,0.267,0.28,0.277,0.211,0.269,0.225,6
"Mala",0.322,0.325,0.319,0.393,0.31,0.32,0.243,0.229,0.343,0.378,0.322,0.285,0.391,0.36,0.305,0.337,0.323,0.322,6
"Muy mala",0.195,0.233,0.155,0.211,0.219,0.15,0.165,0.232,0.138,0.241,0.202,0.08,0.251,0.265,0.161,0.225,0.207,0.185,6
"No sabe",0.022,0.004,0.041,0,0.039,0.009,0.027,0.025,0.028,0.01,0.008,0.041,0.008,0.055,0.014,0.028,0.01,0.033,6
"Positiva",0.214,0.241,0.186,0.318,0.135,0.23,0.286,0.261,0.257,0.114,0.243,0.299,0.083,0.04,0.243,0.199,0.191,0.235,4
"Neutra",0.247,0.197,0.299,0.078,0.297,0.291,0.279,0.253,0.234,0.257,0.225,0.295,0.267,0.28,0.277,0.211,0.269,0.225,4
"Negativa",0.517,0.558,0.474,0.604,0.529,0.47,0.408,0.461,0.481,0.619,0.524,0.365,0.642,0.625,0.466,0.562,0.53,0.507,4
"No sabe",0.022,0.004,0.041,0,0.039,0.009,0.027,0.025,0.028,0.01,0.008,0.041,0.008,0.055,0.014,0.028,0.01,0.033,4
