"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.149,0.148,0.151,0.214,0.102,0.175,0.157,0.207,0.149,0.098,0.188,0.212,0.041,0,0.195,0.118,0.164,0.136,6
"Buena",0.182,0.207,0.154,0.186,0.152,0.194,0.256,0.146,0.212,0.172,0.173,0.185,0.222,0.12,0.225,0.154,0.183,0.18,6
"Ni buena ni mala",0.361,0.309,0.417,0.324,0.412,0.315,0.332,0.234,0.416,0.401,0.358,0.389,0.379,0.416,0.329,0.384,0.321,0.398,6
"Mala",0.167,0.189,0.145,0.169,0.158,0.193,0.152,0.145,0.151,0.209,0.171,0.138,0.147,0.259,0.153,0.167,0.189,0.148,6
"Muy mala",0.102,0.126,0.076,0.107,0.124,0.081,0.052,0.196,0.038,0.104,0.088,0.027,0.149,0.15,0.051,0.142,0.133,0.073,6
"No sabe",0.039,0.021,0.057,0,0.052,0.042,0.051,0.072,0.034,0.016,0.022,0.049,0.062,0.055,0.047,0.035,0.01,0.065,6
"Positiva",0.331,0.355,0.305,0.4,0.254,0.369,0.413,0.353,0.361,0.27,0.361,0.397,0.263,0.12,0.42,0.272,0.347,0.316,4
"Neutra",0.361,0.309,0.417,0.324,0.412,0.315,0.332,0.234,0.416,0.401,0.358,0.389,0.379,0.416,0.329,0.384,0.321,0.398,4
"Negativa",0.269,0.315,0.221,0.276,0.282,0.274,0.204,0.341,0.189,0.313,0.259,0.165,0.296,0.409,0.204,0.309,0.322,0.221,4
"No sabe",0.039,0.021,0.057,0,0.052,0.042,0.051,0.072,0.034,0.016,0.022,0.049,0.062,0.055,0.047,0.035,0.01,0.065,4
