"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","opciones"
"Muy buena",0.179,0.153,0.205,0.139,0.193,0.173,0.204,0.335,0.162,0.112,0.219,0.189,0.124,0.084,0.26,0.129,6
"Buena",0.227,0.216,0.237,0.106,0.232,0.296,0.262,0.152,0.246,0.246,0.24,0.293,0.321,0.066,0.315,0.171,6
"Ni buena ni mala",0.269,0.248,0.29,0.248,0.312,0.226,0.237,0.173,0.335,0.246,0.255,0.24,0.276,0.308,0.236,0.287,6
"Mala",0.184,0.238,0.129,0.218,0.15,0.203,0.213,0.175,0.144,0.234,0.171,0.125,0.139,0.301,0.119,0.219,6
"Muy mala",0.119,0.117,0.121,0.271,0.102,0.071,0.031,0.14,0.09,0.141,0.1,0.122,0.126,0.19,0.043,0.174,6
"No sabe",0.022,0.028,0.018,0.018,0.011,0.031,0.053,0.025,0.023,0.021,0.015,0.031,0.014,0.051,0.027,0.02,6
"Positiva",0.406,0.369,0.442,0.245,0.425,0.469,0.466,0.487,0.408,0.358,0.459,0.482,0.445,0.15,0.575,0.3,4
"Neutra",0.269,0.248,0.29,0.248,0.312,0.226,0.237,0.173,0.335,0.246,0.255,0.24,0.276,0.308,0.236,0.287,4
"Negativa",0.303,0.355,0.25,0.489,0.252,0.274,0.244,0.315,0.234,0.375,0.271,0.247,0.265,0.491,0.162,0.393,4
"No sabe",0.022,0.028,0.018,0.018,0.011,0.031,0.053,0.025,0.023,0.021,0.015,0.031,0.014,0.051,0.027,0.02,4
