"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.362,0.43,0.291,0.516,0.344,0.331,0.222,0.391,0.358,0.342,0.4,0.228,0.2,0.761,0.113,0.552,0.391,0.335,6
"Buena",0.132,0.101,0.164,0.16,0.105,0.124,0.195,0.111,0.158,0.114,0.11,0.263,0.034,0.074,0.055,0.195,0.108,0.154,6
"Ni buena ni mala",0.145,0.107,0.183,0.06,0.185,0.148,0.137,0.2,0.143,0.097,0.16,0.142,0.15,0.104,0.14,0.136,0.168,0.123,6
"Mala",0.116,0.111,0.122,0.083,0.121,0.108,0.169,0.112,0.157,0.065,0.116,0.104,0.147,0.015,0.208,0.049,0.107,0.125,6
"Muy mala",0.228,0.23,0.227,0.181,0.235,0.24,0.263,0.151,0.17,0.374,0.199,0.22,0.443,0.045,0.46,0.055,0.208,0.246,6
"No sabe",0.017,0.021,0.013,0,0.01,0.049,0.014,0.035,0.014,0.008,0.015,0.043,0.026,0.001,0.024,0.013,0.018,0.017,6
"Positiva",0.494,0.531,0.455,0.676,0.449,0.455,0.417,0.502,0.516,0.456,0.51,0.491,0.234,0.835,0.168,0.747,0.499,0.489,4
"Neutra",0.145,0.107,0.183,0.06,0.185,0.148,0.137,0.2,0.143,0.097,0.16,0.142,0.15,0.104,0.14,0.136,0.168,0.123,4
"Negativa",0.344,0.341,0.349,0.264,0.356,0.348,0.432,0.263,0.327,0.439,0.315,0.324,0.59,0.06,0.668,0.104,0.315,0.371,4
"No sabe",0.017,0.021,0.013,0,0.01,0.049,0.014,0.035,0.014,0.008,0.015,0.043,0.026,0.001,0.024,0.013,0.018,0.017,4
