"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.147,0.157,0.135,0.141,0.116,0.169,0.225,0.224,0.136,0.093,0.178,0.111,0.181,0,0.219,0.085,0.136,0.157,6
"Buena",0.193,0.193,0.195,0.24,0.162,0.222,0.173,0.169,0.198,0.21,0.192,0.29,0.303,0.035,0.272,0.144,0.17,0.215,6
"Ni buena ni mala",0.287,0.261,0.315,0.193,0.316,0.311,0.302,0.205,0.351,0.272,0.268,0.318,0.215,0.222,0.305,0.273,0.298,0.277,6
"Mala",0.192,0.194,0.19,0.215,0.19,0.183,0.175,0.186,0.18,0.213,0.202,0.163,0.178,0.309,0.128,0.248,0.204,0.181,6
"Muy mala",0.15,0.186,0.111,0.193,0.176,0.098,0.078,0.194,0.088,0.195,0.142,0.051,0.123,0.368,0.059,0.207,0.173,0.128,6
"No sabe",0.031,0.009,0.054,0.018,0.04,0.017,0.047,0.022,0.047,0.017,0.018,0.067,0,0.066,0.017,0.043,0.019,0.042,6
"Positiva",0.34,0.35,0.33,0.381,0.278,0.391,0.398,0.393,0.334,0.303,0.37,0.401,0.484,0.035,0.491,0.229,0.306,0.372,4
"Neutra",0.287,0.261,0.315,0.193,0.316,0.311,0.302,0.205,0.351,0.272,0.268,0.318,0.215,0.222,0.305,0.273,0.298,0.277,4
"Negativa",0.342,0.38,0.301,0.408,0.366,0.281,0.253,0.38,0.268,0.408,0.344,0.214,0.301,0.677,0.187,0.455,0.377,0.309,4
"No sabe",0.031,0.009,0.054,0.018,0.04,0.017,0.047,0.022,0.047,0.017,0.018,0.067,0,0.066,0.017,0.043,0.019,0.042,4
