"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.27,0.257,0.284,0.334,0.228,0.268,0.306,0.361,0.246,0.22,0.262,0.27,0.12,0.498,0.076,0.421,0.33,0.217,6
"Buena",0.238,0.299,0.173,0.309,0.255,0.166,0.168,0.252,0.25,0.207,0.271,0.227,0.164,0.367,0.116,0.33,0.175,0.294,6
"Ni buena ni mala",0.11,0.077,0.144,0.103,0.126,0.105,0.072,0.093,0.135,0.089,0.119,0.099,0.116,0.04,0.098,0.112,0.114,0.106,6
"Mala",0.144,0.126,0.164,0.123,0.126,0.182,0.182,0.108,0.189,0.114,0.124,0.161,0.219,0.021,0.214,0.09,0.113,0.172,6
"Muy mala",0.234,0.238,0.23,0.131,0.257,0.279,0.272,0.186,0.174,0.367,0.218,0.243,0.377,0.074,0.492,0.043,0.26,0.211,6
"No sabe",0.004,0.003,0.005,0,0.008,0,0,0,0.006,0.003,0.006,0,0.004,0,0.004,0.004,0.008,0,6
"Positiva",0.508,0.556,0.457,0.643,0.483,0.434,0.474,0.613,0.496,0.427,0.533,0.497,0.284,0.865,0.192,0.751,0.505,0.511,4
"Neutra",0.11,0.077,0.144,0.103,0.126,0.105,0.072,0.093,0.135,0.089,0.119,0.099,0.116,0.04,0.098,0.112,0.114,0.106,4
"Negativa",0.378,0.364,0.394,0.254,0.383,0.461,0.454,0.294,0.363,0.481,0.342,0.404,0.596,0.095,0.706,0.133,0.373,0.383,4
"No sabe",0.004,0.003,0.005,0,0.008,0,0,0,0.006,0.003,0.006,0,0.004,0,0.004,0.004,0.008,0,4
