"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.356,0.408,0.301,0.468,0.37,0.283,0.22,0.469,0.331,0.285,0.374,0.24,0.201,0.702,0.086,0.56,0.376,0.338,6
"Buena",0.152,0.17,0.134,0.164,0.123,0.17,0.205,0.091,0.189,0.158,0.164,0.249,0.049,0.087,0.095,0.202,0.131,0.172,6
"Ni buena ni mala",0.111,0.077,0.147,0.023,0.156,0.122,0.097,0.161,0.103,0.075,0.119,0.106,0.083,0.12,0.124,0.089,0.114,0.108,6
"Mala",0.134,0.099,0.171,0.154,0.104,0.143,0.187,0.088,0.187,0.101,0.104,0.192,0.25,0.017,0.204,0.083,0.111,0.154,6
"Muy mala",0.243,0.243,0.243,0.191,0.238,0.282,0.291,0.191,0.184,0.377,0.233,0.213,0.413,0.074,0.485,0.063,0.261,0.227,6
"No sabe",0.004,0.003,0.004,0,0.009,0,0,0,0.006,0.004,0.006,0,0.004,0,0.006,0.003,0.007,0.001,6
"Positiva",0.508,0.578,0.435,0.632,0.493,0.453,0.425,0.56,0.52,0.443,0.538,0.489,0.25,0.789,0.181,0.762,0.507,0.51,4
"Neutra",0.111,0.077,0.147,0.023,0.156,0.122,0.097,0.161,0.103,0.075,0.119,0.106,0.083,0.12,0.124,0.089,0.114,0.108,4
"Negativa",0.377,0.342,0.414,0.345,0.342,0.425,0.478,0.279,0.371,0.478,0.337,0.405,0.663,0.091,0.689,0.146,0.372,0.381,4
"No sabe",0.004,0.003,0.004,0,0.009,0,0,0,0.006,0.004,0.006,0,0.004,0,0.006,0.003,0.007,0.001,4
